timestamp,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
1773664257.262,5207,5206,5207,5207,5204,5207,5202,5207,5202,5188,5199,5203,5207,5210,5209,5202
1773664258.288,5213,5217,5210,2974,5209,5212,4611,2971,5208,3000,5216,5207,4359,3328,5211,2975
1773664259.309,5222,2960,5221,5216,5220,5210,2873,2980,5213,4055,5156,5207,4053,5209,2879,4634
1773664260.330,5219,5219,5215,5219,5219,5206,5215,5209,5217,3020,3186,5217,5215,5207,5221,3227
1773664261.350,5219,5217,5219,5217,2909,5216,2931,2987,5210,5051,5119,4454,3693,5210,4567,5216
1773664262.370,5218,5218,4232,5218,2974,2959,2975,2946,5218,3049,3000,3580,4534,3917,4246,3357
1773664263.396,2961,5220,5210,2976,5220,2973,5216,2929,5216,5206,3000,2956,3000,2989,5219,2977
1773664264.417,5218,2977,5217,2951,5219,2977,2967,2973,5211,3240,4651,3000,3000,2902,2977,5218
1773664265.437,5220,5214,3366,2994,5220,2953,2947,2908,4024,3000,3000,5212,3000,3000,2987,4447
1773664266.456,2977,5219,5219,4331,4166,5215,4337,3678,2975,3000,3000,3388,3994,4700,2966,2971
1773664267.475,5215,5218,5214,5220,4264,5219,5221,2977,5212,4700,3000,5211,4876,2998,2943,2766
1773664268.501,5220,5218,4517,5222,2948,5222,2783,2958,5215,3000,3028,5212,3000,3000,2925,3053
1773664269.520,5216,2979,5214,2975,2980,2979,2963,5223,5216,4447,5218,2822,2979,3000,2998,5221
1773664270.540,5219,2964,5222,5222,2971,5219,2951,2769,5192,5240,4869,5214,2947,5215,2615,2959
1773664271.564,5219,5208,5217,5219,5216,5219,5216,2840,5219,4487,4700,3208,3000,3000,3128,4706
1773664272.585,2964,2978,5219,2924,2959,2966,2972,5226,5187,3000,4700,4838,3000,3000,2979,4727
1773664273.610,5213,5210,2965,5203,5219,5220,4803,4365,3248,3560,2977,5210,3000,3000,3026,2969
1773664274.630,3850,4359,5213,5213,5209,5213,5209,2969,3069,5217,5213,2954,5215,4389,3668,2937
1773664275.651,4075,5219,5220,5219,5219,5216,5216,5220,5211,5198,5208,5203,3000,5212,5186,5219
1773664276.672,5217,2971,5215,2969,5216,5217,2982,2965,5193,4574,5215,5210,3000,4700,2977,2967
1773664277.691,5211,3068,5210,5213,4226,2971,2973,2962,5209,4293,3781,5209,3000,3000,2976,2968
1773664278.717,5211,5216,5214,5220,2938,5220,2839,4007,5214,3000,3000,4046,5202,3000,2622,2970
1773664279.739,2973,5217,5218,2975,5217,2971,2970,2969,5211,3000,3000,2974,4700,5206,5178,3258
1773664280.759,5219,5217,4303,5219,3803,5217,5215,2978,5210,5216,2945,5212,5217,5208,3007,2996
1773664281.780,5219,5218,5220,5220,2972,5219,2977,5215,5212,4300,3000,5200,3000,2887,4710,5224
1773664282.800,5222,4036,5217,5218,5217,2979,2968,3973,5213,3000,3000,3796,5219,2848,2996,2952
1773664283.824,5215,5213,2974,5217,2977,5211,2976,5217,5212,2973,4849,5209,2769,3858,3023,5222
1773664284.844,5210,5210,5210,5210,5210,5209,5209,5210,5208,5208,5205,5208,5208,5210,5210,5207
1773664285.864,5219,5219,5215,4641,5219,5212,5222,2942,5211,5210,4211,3000,3000,5205,2977,2977
1773664286.883,5216,5219,5218,5219,4036,5216,4071,2898,5030,4760,3000,3000,3000,5219,5217,5225
1773664287.904,2978,5219,2969,5201,2977,5221,2927,2944,3121,3000,3000,3031,3000,3000,3164,2981
