timestamp,device,r_per_s,w_per_s,rMB_per_s,wMB_per_s,avg_r_lat_ms,avg_w_lat_ms,io_util_pct,ios_in_progress
1773664256.460,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664256.460,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664256.460,nvme0n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664256.460,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664256.661,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664256.661,nvme1n1,0.0,363.8,0.00,2.47,0.00,0.16,6.0,0
1773664256.661,nvme0n1,0.0,5.0,0.00,0.02,0.00,0.00,0.0,0
1773664256.661,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664256.861,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664256.861,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664256.861,nvme0n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664256.861,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664257.062,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664257.062,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664257.062,nvme0n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664257.062,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664257.262,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664257.262,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664257.262,nvme0n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664257.262,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664257.486,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664257.486,nvme1n1,22.3,8.9,1.24,0.03,0.00,0.50,0.4,0
1773664257.486,nvme0n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664257.486,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664257.686,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664257.686,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664257.686,nvme0n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664257.686,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664257.887,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664257.887,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664257.887,nvme0n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664257.887,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664258.087,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664258.087,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664258.087,nvme0n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664258.087,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664258.288,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664258.288,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664258.288,nvme0n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664258.288,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664258.507,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664258.507,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664258.507,nvme0n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664258.507,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664258.708,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664258.708,nvme1n1,0.0,39.9,0.00,0.29,0.00,0.12,0.5,0
1773664258.708,nvme0n1,0.0,39.9,0.00,0.29,0.00,0.25,1.0,0
1773664258.708,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664258.908,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664258.908,nvme1n1,0.0,15.0,0.00,0.18,0.00,0.00,0.5,0
1773664258.908,nvme0n1,0.0,15.0,0.00,0.18,0.00,0.00,0.5,0
1773664258.908,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664259.109,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664259.109,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664259.109,nvme0n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664259.109,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664259.309,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664259.309,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664259.309,nvme0n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664259.309,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664259.528,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664259.528,nvme1n1,0.0,4.6,0.00,0.11,0.00,0.00,0.0,0
1773664259.528,nvme0n1,0.0,4.6,0.00,0.11,0.00,0.00,0.0,0
1773664259.528,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664259.728,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664259.728,nvme1n1,0.0,10.0,0.00,0.04,0.00,0.00,0.0,0
1773664259.728,nvme0n1,0.0,10.0,0.00,0.04,0.00,0.50,0.5,0
1773664259.728,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664259.929,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664259.929,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664259.929,nvme0n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664259.929,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664260.129,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664260.129,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664260.129,nvme0n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664260.129,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664260.330,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664260.330,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664260.330,nvme0n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664260.330,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664260.548,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664260.548,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664260.548,nvme0n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664260.548,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664260.748,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664260.748,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664260.748,nvme0n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664260.748,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664260.949,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664260.949,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664260.949,nvme0n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664260.949,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664261.149,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664261.149,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664261.149,nvme0n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773664261.149,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
