timestamp,irq,desc,total_rate,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15
1773664257.262,66,IR-PCI-MSIX-0000:02:00.0 2-edge nvme0q2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1773664257.262,69,IR-PCI-MSIX-0000:0d:00.0 1-edge nvme1q1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1773664257.262,81,IR-PCI-MSIX-0000:0d:00.0 7-edge nvme1q7,31,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
1773664257.262,98,IR-PCI-MSIX-0000:0e:00.0 0-edge xhci_hcd,1232,0,0,0,0,1232,0,0,0,0,0,0,0,0,0,0,0
1773664257.262,106,IR-PCI-MSIX-0000:10:00.0 0-edge xhci_hcd,738,0,0,0,0,0,0,0,0,0,0,0,738,0,0,0,0
1773664257.262,132,IR-PCI-MSIX-0000:7a:00.4 0-edge xhci_hcd,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,1296,0,0
1773664257.262,167,IR-PCI-MSIX-0000:0c:00.0 0-edge enp12s0,1222,0,0,0,0,0,0,0,0,1222,0,0,0,0,0,0,0
1773664257.262,174,IR-PCI-MSI-0000:01:00.0 0-edge nvidia,1758,0,0,0,0,0,0,1758,0,0,0,0,0,0,0,0,0
1773664257.262,LOC,Local timer interrupts,27238,2642,2740,2709,2597,2724,2686,2600,2175,1577,454,427,335,273,509,1399,1391
1773664257.262,IWI,IRQ work interrupts,3276,199,209,281,273,282,270,301,281,92,66,61,49,46,67,386,411
1773664257.262,RES,Rescheduling interrupts,21688,1131,1198,1381,1018,919,1843,2317,2987,1397,1099,1022,849,671,1019,1342,1494
1773664257.262,CAL,Function call interrupts,239,10,10,7,12,7,11,11,21,7,7,4,3,6,13,54,56
1773664257.262,TLB,TLB shootdowns,151,11,11,7,14,7,13,12,21,7,7,4,4,6,13,8,6
1773664258.288,71,IR-PCI-MSIX-0000:0d:00.0 2-edge nvme1q2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1773664258.288,96,IR-PCI-MSIX-0000:0d:00.0 15-edge nvme1q15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1773664258.288,97,IR-PCI-MSIX-0000:0d:00.0 16-edge nvme1q16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1773664258.288,98,IR-PCI-MSIX-0000:0e:00.0 0-edge xhci_hcd,1228,0,0,0,0,1228,0,0,0,0,0,0,0,0,0,0,0
1773664258.288,106,IR-PCI-MSIX-0000:10:00.0 0-edge xhci_hcd,678,0,0,0,0,0,0,0,0,0,0,0,678,0,0,0,0
1773664258.288,132,IR-PCI-MSIX-0000:7a:00.4 0-edge xhci_hcd,1298,0,0,0,0,0,0,0,0,0,0,0,0,0,1298,0,0
1773664258.288,167,IR-PCI-MSIX-0000:0c:00.0 0-edge enp12s0,1567,0,0,0,0,0,0,0,0,1567,0,0,0,0,0,0,0
1773664258.288,174,IR-PCI-MSI-0000:01:00.0 0-edge nvidia,1748,0,0,0,0,0,0,1748,0,0,0,0,0,0,0,0,0
1773664258.288,LOC,Local timer interrupts,22928,2797,2745,2773,2435,2352,2090,1758,1531,1750,137,103,200,143,90,1008,1016
1773664258.288,IWI,IRQ work interrupts,3099,292,202,289,247,292,243,298,233,47,30,26,28,34,13,406,417
1773664258.288,RES,Rescheduling interrupts,19201,1827,1693,1893,1817,2100,1270,1796,2271,707,564,520,440,436,256,694,917
1773664258.288,CAL,Function call interrupts,94,5,3,6,4,4,5,3,3,4,4,4,4,4,4,15,23
1773664258.288,TLB,TLB shootdowns,61,5,3,6,4,4,5,3,3,4,4,4,4,4,4,2,4
1773664259.309,70,IR-PCI-MSIX-0000:02:00.0 4-edge nvme0q4,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1773664259.309,74,IR-PCI-MSIX-0000:02:00.0 6-edge nvme0q6,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1773664259.309,75,IR-PCI-MSIX-0000:0d:00.0 4-edge nvme1q4,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1773664259.309,79,IR-PCI-MSIX-0000:0d:00.0 6-edge nvme1q6,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1773664259.309,98,IR-PCI-MSIX-0000:0e:00.0 0-edge xhci_hcd,1230,0,0,0,0,1230,0,0,0,0,0,0,0,0,0,0,0
1773664259.309,106,IR-PCI-MSIX-0000:10:00.0 0-edge xhci_hcd,702,0,0,0,0,0,0,0,0,0,0,0,702,0,0,0,0
1773664259.309,132,IR-PCI-MSIX-0000:7a:00.4 0-edge xhci_hcd,1299,0,0,0,0,0,0,0,0,0,0,0,0,0,1299,0,0
1773664259.309,167,IR-PCI-MSIX-0000:0c:00.0 0-edge enp12s0,1797,0,0,0,0,0,0,0,0,1797,0,0,0,0,0,0,0
1773664259.309,174,IR-PCI-MSI-0000:01:00.0 0-edge nvidia,1745,0,0,0,0,0,0,1745,0,0,0,0,0,0,0,0,0
1773664259.309,LOC,Local timer interrupts,21259,2998,2393,2622,2433,2506,1925,1297,1250,1461,287,140,88,49,114,818,880
1773664259.309,IWI,IRQ work interrupts,3035,282,197,271,253,260,291,282,226,26,24,29,21,19,23,403,427
1773664259.309,RES,Rescheduling interrupts,19023,2128,1219,2211,2303,1826,2503,1471,2340,378,290,351,338,269,349,397,649
1773664259.309,CAL,Function call interrupts,194,9,5,13,9,9,6,5,6,5,5,7,4,5,4,63,41
1773664259.309,TLB,TLB shootdowns,101,12,5,14,10,9,6,5,5,5,5,7,4,5,4,4,3
1773664260.330,71,IR-PCI-MSIX-0000:0d:00.0 2-edge nvme1q2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1773664260.330,74,IR-PCI-MSIX-0000:02:00.0 6-edge nvme0q6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1773664260.330,90,IR-PCI-MSIX-0000:02:00.0 14-edge nvme0q14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1773664260.330,95,IR-PCI-MSIX-0000:0d:00.0 14-edge nvme1q14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1773664260.330,98,IR-PCI-MSIX-0000:0e:00.0 0-edge xhci_hcd,1229,0,0,0,0,1229,0,0,0,0,0,0,0,0,0,0,0
1773664260.330,106,IR-PCI-MSIX-0000:10:00.0 0-edge xhci_hcd,718,0,0,0,0,0,0,0,0,0,0,0,718,0,0,0,0
