timestamp,total_mb,used_mb,free_mb,available_mb,buffers_mb,cached_mb,swap_used_mb,swap_free_mb,dirty_mb,writeback_mb
1773664256.460,94177,44911,6761,42550,18,42487,7909,130545,1.0,0.0
1773664256.661,94177,44909,6760,42552,18,42490,7909,130545,0.5,0.0
1773664256.861,94177,44911,6759,42550,18,42490,7909,130545,0.7,0.0
1773664257.062,94177,44916,6754,42545,18,42490,7909,130545,0.7,0.0
1773664257.262,94177,44919,6750,42542,18,42490,7909,130545,0.7,0.0
1773664257.486,94177,44920,6750,42542,18,42490,7909,130545,0.7,0.0
1773664257.686,94177,44920,6749,42541,18,42490,7909,130545,0.7,0.0
1773664257.887,94177,44920,6749,42541,18,42490,7909,130545,0.7,0.0
1773664258.087,94177,44923,6746,42539,18,42490,7909,130545,0.7,0.0
1773664258.288,94177,44923,6746,42538,18,42490,7909,130545,0.7,0.0
1773664258.507,94177,44939,6730,42522,18,42490,7909,130545,0.7,0.0
1773664258.708,94177,44940,6729,42521,18,42490,7909,130545,0.8,0.0
1773664258.908,94177,44942,6727,42519,18,42490,7909,130545,0.8,0.0
1773664259.109,94177,44944,6725,42518,18,42490,7909,130545,0.9,0.0
1773664259.309,94177,44946,6723,42515,18,42490,7909,130545,0.9,0.0
1773664259.528,94177,44953,6716,42508,18,42490,7909,130545,0.9,0.0
1773664259.728,94177,44952,6717,42510,18,42490,7909,130545,1.0,0.0
1773664259.929,94177,44953,6717,42509,18,42490,7909,130545,1.0,0.0
1773664260.129,94177,44955,6714,42506,18,42490,7909,130545,1.0,0.0
1773664260.330,94177,44957,6712,42504,18,42490,7909,130545,1.0,0.0
1773664260.548,94177,44968,6701,42493,18,42490,7909,130545,1.0,0.0
1773664260.748,94177,44955,6714,42506,18,42490,7909,130545,1.1,0.0
1773664260.949,94177,44957,6712,42504,18,42490,7909,130545,1.1,0.0
1773664261.149,94177,44959,6710,42503,18,42490,7909,130545,1.1,0.0
1773664261.350,94177,44960,6709,42501,18,42490,7909,130545,1.1,0.0
1773664261.568,94177,44971,6698,42490,18,42490,7909,130545,1.1,0.0
1773664261.768,94177,44972,6697,42489,18,42491,7909,130545,1.1,0.0
1773664261.969,94177,44974,6695,42487,18,42491,7909,130545,1.1,0.0
1773664262.170,94177,44975,6694,42486,18,42491,7909,130545,1.1,0.0
1773664262.370,94177,44977,6692,42484,18,42491,7909,130545,1.1,0.0
1773664262.594,94177,44996,6673,42466,18,42491,7909,130545,1.1,0.0
1773664262.794,94177,44991,6677,42470,18,42491,7909,130545,1.1,0.0
1773664262.995,94177,44994,6675,42467,18,42491,7909,130545,1.1,0.0
1773664263.195,94177,45004,6665,42457,18,42491,7909,130545,1.1,0.0
1773664263.396,94177,45001,6668,42461,18,42491,7909,130545,1.1,0.0
1773664263.615,94177,44989,6679,42472,18,42491,7909,130545,1.1,0.0
1773664263.815,94177,44978,6691,42483,18,42491,7909,130545,1.1,0.0
1773664264.016,94177,44980,6689,42481,18,42491,7909,130545,1.1,0.0
1773664264.217,94177,44980,6689,42481,18,42491,7909,130545,1.1,0.0
1773664264.417,94177,44982,6687,42480,18,42491,7909,130545,1.1,0.0
1773664264.635,94177,44981,6687,42480,18,42491,7909,130545,1.1,0.0
1773664264.836,94177,44979,6690,42483,18,42491,7909,130545,1.1,0.0
1773664265.036,94177,44980,6689,42481,18,42491,7909,130545,1.1,0.0
1773664265.237,94177,44980,6680,42481,18,42500,7909,130545,1.1,0.0
1773664265.437,94177,44982,6678,42479,18,42500,7909,130545,1.1,0.0
1773664265.654,94177,45000,6660,42462,18,42500,7909,130545,1.1,0.0
1773664265.855,94177,44995,6665,42466,18,42500,7909,130545,1.1,0.0
1773664266.055,94177,44996,6663,42465,18,42500,7909,130545,1.1,0.0
1773664266.255,94177,44999,6661,42462,18,42500,7909,130545,1.1,0.0
1773664266.456,94177,44992,6668,42469,18,42500,7909,130545,1.2,0.0
1773664266.673,94177,44981,6679,42480,18,42500,7909,130545,1.2,0.0
1773664266.874,94177,44971,6689,42490,18,42500,7909,130545,1.2,0.0
1773664267.074,94177,44973,6686,42488,18,42500,7909,130545,1.2,0.0
1773664267.275,94177,44975,6684,42486,18,42500,7909,130545,1.2,0.0
1773664267.475,94177,44976,6682,42484,18,42501,7909,130545,1.3,0.0
1773664267.699,94177,44967,6692,42494,18,42501,7909,130545,1.3,0.0
1773664267.900,94177,44969,6689,42491,18,42501,7909,130545,1.3,0.0
1773664268.100,94177,44970,6688,42490,18,42501,7909,130545,1.3,0.0
1773664268.301,94177,44972,6687,42488,18,42501,7909,130545,1.3,0.0
1773664268.501,94177,44971,6685,42486,18,42503,7909,130545,1.4,0.0
1773664268.718,94177,44951,6706,42507,18,42503,7909,130545,1.5,0.0
1773664268.919,94177,44953,6704,42505,18,42503,7909,130545,1.5,0.0
1773664269.119,94177,44953,6703,42504,18,42503,7909,130545,1.5,0.0
1773664269.320,94177,44954,6702,42504,18,42503,7909,130545,1.5,0.0
1773664269.520,94177,44955,6701,42502,18,42503,7909,130545,1.5,0.0
1773664269.738,94177,44954,6702,42503,18,42503,7909,130545,1.6,0.0
1773664269.939,94177,44956,6700,42502,18,42504,7909,130545,1.6,0.0
1773664270.139,94177,44957,6699,42501,18,42504,7909,130545,1.6,0.0
1773664270.340,94177,44959,6696,42498,18,42504,7909,130545,1.6,0.0
1773664270.540,94177,44955,6695,42502,18,42509,7909,130545,1.6,0.0
1773664270.761,94177,44954,6697,42504,18,42508,7909,130545,1.6,0.0
1773664270.962,94177,44956,6695,42502,18,42508,7909,130545,1.6,0.0
1773664271.162,94177,44958,6693,42500,18,42508,7909,130545,1.6,0.0
1773664271.363,94177,44961,6690,42497,18,42508,7909,130545,1.6,0.0
1773664271.564,94177,44964,6687,42494,18,42508,7909,130545,1.6,0.0
1773664271.782,94177,44956,6695,42502,18,42508,7909,130545,1.6,0.0
1773664271.983,94177,44959,6693,42500,18,42508,7909,130545,1.6,0.0
1773664272.184,94177,44961,6691,42498,18,42508,7909,130545,1.6,0.0
1773664272.385,94177,44962,6690,42497,18,42508,7909,130545,1.6,0.0
1773664272.585,94177,44964,6687,42494,18,42508,7909,130545,1.6,0.0
1773664272.808,94177,44957,6694,42501,18,42508,7909,130545,1.6,0.0
1773664273.009,94177,44959,6692,42499,18,42508,7909,130545,1.6,0.0
1773664273.209,94177,44961,6691,42498,18,42508,7909,130545,1.6,0.0
1773664273.410,94177,44962,6689,42496,18,42508,7909,130545,1.6,0.0
1773664273.610,94177,44965,6686,42494,18,42508,7909,130545,1.6,0.0
