timestamp,cpu_some10,cpu_some60,mem_some10,mem_some60,mem_full10,mem_full60,io_some10,io_some60,io_full10,io_full60
1773664257.262,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664258.288,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664259.309,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664260.330,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664261.350,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664262.370,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664263.396,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664264.417,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664265.437,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664266.456,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664267.475,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664268.501,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664269.520,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664270.540,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664271.564,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664272.585,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664273.610,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664274.630,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664275.651,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664276.672,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664277.691,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664278.717,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664279.739,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664280.759,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664281.780,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664282.800,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664283.824,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664284.844,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664285.864,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664286.883,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664287.904,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664288.931,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664289.950,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664290.969,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664291.992,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664293.012,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664294.039,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664295.057,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664296.077,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664297.098,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664298.118,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664299.143,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664300.165,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664301.185,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664302.206,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664303.226,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664304.251,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664305.271,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664306.292,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664307.314,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664308.334,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664309.362,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664310.383,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664311.403,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664312.422,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664313.443,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664314.470,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664315.491,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664316.510,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664317.531,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664318.550,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664319.576,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664320.595,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664321.616,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664322.638,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664323.658,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664324.684,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664325.704,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664326.725,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664327.743,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664328.764,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664329.792,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664330.811,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664331.831,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664332.851,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664333.871,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664334.899,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
