WARNING: BPFTRACE_MAP_KEYS_MAX is deprecated. Use BPFTRACE_MAX_MAP_KEYS instead.
Attaching 2 probes...
13:41:53 pid=27101 comm=kworker/0:1 fence_wait_ms=6
13:41:54 pid=2429 comm=kworker/u65:2 fence_wait_ms=6
13:41:54 pid=27101 comm=kworker/0:1 fence_wait_ms=6
13:41:55 pid=2429 comm=kworker/u65:2 fence_wait_ms=6
13:48:01 pid=2429 comm=kworker/u65:2 fence_wait_ms=6
13:48:02 pid=2429 comm=kworker/u65:2 fence_wait_ms=6
13:48:02 pid=21503 comm=kworker/7:0 fence_wait_ms=6
13:48:03 pid=28912 comm=kworker/u65:1 fence_wait_ms=7
13:51:40 pid=24253 comm=kworker/2:2 fence_wait_ms=25
13:51:40 pid=21503 comm=kworker/7:0 fence_wait_ms=25
13:51:40 pid=27070 comm=kworker/8:0 fence_wait_ms=25
13:51:41 pid=2074 comm=kworker/5:0 fence_wait_ms=24
13:51:41 pid=21503 comm=kworker/7:0 fence_wait_ms=24
13:51:41 pid=19709 comm=kworker/1:1 fence_wait_ms=24
13:51:41 pid=6856 comm=kworker/0:0 fence_wait_ms=6
13:51:41 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:42 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:42 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:42 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:42 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:42 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:43 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:43 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:43 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:43 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:44 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:44 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:44 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:44 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:44 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:45 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:45 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:45 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:45 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:46 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:46 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:46 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:46 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:47 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:47 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:47 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:47 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:47 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:48 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:48 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:48 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:48 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:48 pid=28912 comm=kworker/u65:1 fence_wait_ms=6
13:51:49 pid=2429 comm=kworker/u65:2 fence_wait_ms=7
