timestamp,ctxt_s,pgfault_s,pgmajfault_s,pgscan_kswapd_s,pgscan_direct_s,pgsteal_kswapd_s,pgsteal_direct_s,allocstall_s,compact_stall_s,tlb_shootdown_s,nr_dirty,nr_writeback,pswpin_s,pswpout_s,wset_refault_anon_s,wset_refault_file_s,thp_fault_fallback_s
1773664257.262,86968,17257,26,0,0,0,0,0.0,0.0,0,184,0,22,0,23,511,0
1773664258.288,80427,4066,0,0,0,0,0,0.0,0.0,0,184,0,0,0,0,69,0
1773664259.309,80820,13572,2,0,0,0,0,0.0,0.0,0,233,0,2,0,2,0,0
1773664260.330,82569,8328,0,0,0,0,0,0.0,0.0,0,251,1,0,0,0,0,0
1773664261.350,82732,8394,0,0,0,0,0,0.0,0.0,0,274,0,0,0,0,0,0
1773664262.370,87474,21758,9,0,0,0,0,0.0,0.0,0,282,0,8,0,8,12,0
1773664263.396,84324,15146,4,0,0,0,0,0.0,0.0,0,283,0,4,0,0,0,0
1773664264.417,79858,8672,1,0,0,0,0,0.0,0.0,0,289,0,1,0,5,0,0
1773664265.437,83222,9453,77,0,0,0,0,0.0,0.0,0,291,0,75,0,75,1268,0
1773664266.456,89935,33556,80,0,0,0,0,0.0,0.0,0,295,0,79,0,79,0,0
1773664267.475,84088,6023,2,0,0,0,0,0.0,0.0,0,327,0,2,0,3,0,0
1773664268.501,80553,4655,0,0,0,0,0,0.0,0.0,0,350,0,0,0,0,0,0
1773664269.520,80276,9420,1,0,0,0,0,0.0,0.0,0,395,0,1,0,1,0,0
1773664270.540,86632,8183,7,0,0,0,0,0.0,0.0,0,400,0,3,0,3,1369,0
1773664271.564,92148,5419,0,0,0,0,0,0.0,0.0,0,406,0,0,0,0,53,0
1773664272.585,89015,8544,0,0,0,0,0,0.0,0.0,0,410,0,0,0,0,0,0
1773664273.610,79274,4252,0,0,0,0,0,0.0,0.0,0,414,0,0,0,0,0,0
1773664274.630,86019,6798,0,0,0,0,0,0.0,0.0,0,433,0,0,0,0,0,0
1773664275.651,87682,28945,2,0,0,0,0,0.0,0.0,0,438,0,1,0,1,30,0
1773664276.672,82261,4174,0,0,0,0,0,0.0,0.0,0,443,0,0,0,0,0,0
1773664277.691,77854,4003,0,0,0,0,0,0.0,0.0,0,549,0,0,0,0,0,0
1773664278.717,79411,9104,1,0,0,0,0,0.0,0.0,0,552,0,1,0,1,0,0
1773664279.739,76794,3991,0,0,0,0,0,0.0,0.0,0,556,0,0,0,0,0,0
1773664280.759,89313,15130,3,0,0,0,0,0.0,0.0,0,560,0,3,0,3,0,0
1773664281.780,80960,8291,0,0,0,0,0,0.0,0.0,0,564,0,0,0,0,0,0
1773664282.800,75418,8897,1,0,0,0,0,0.0,0.0,0,570,0,1,0,1,0,0
1773664283.824,77425,4759,0,0,0,0,0,0.0,0.0,0,573,0,0,0,0,0,0
1773664284.844,78352,9637,1,0,0,0,0,0.0,0.0,0,549,0,0,0,0,670,0
1773664285.864,80868,12116,13,0,0,0,0,0.0,0.0,0,236,12,1,0,1,307,0
1773664286.883,81629,20748,11,0,0,0,0,0.0,0.0,0,564,0,7,0,8,1936,0
1773664287.904,71440,8580,0,0,0,0,0,0.0,0.0,0,1895,0,0,0,0,0,0
1773664288.931,69926,8303,1,0,0,0,0,0.0,0.0,0,1988,0,0,0,0,665,0
1773664289.950,72115,4110,0,0,0,0,0,0.0,0.0,0,1954,0,0,0,0,0,0
1773664290.969,72881,8414,0,0,0,0,0,0.0,0.0,0,1984,0,0,0,0,0,0
1773664291.992,71103,10982,7,0,0,0,0,0.0,0.0,0,2036,0,7,0,7,0,0
1773664293.012,69851,12697,0,0,0,0,0,0.0,0.0,0,2059,0,0,0,0,0,0
1773664294.039,70046,8038,0,0,0,0,0,0.0,0.0,0,2067,4,0,0,0,0,0
1773664295.057,70890,4053,0,0,0,0,0,0.0,0.0,0,2091,0,0,0,0,0,0
1773664296.077,69453,4021,0,0,0,0,0,0.0,0.0,0,2108,0,0,0,0,0,0
1773664297.098,70623,8264,0,0,0,0,0,0.0,0.0,0,2113,0,0,0,0,0,0
1773664298.118,73860,8496,0,0,0,0,0,0.0,0.0,0,2117,0,0,0,0,0,0
1773664299.143,70100,13893,1,0,0,0,0,0.0,0.0,0,2139,5,1,0,1,0,0
1773664300.165,69424,4810,1,0,0,0,0,0.0,0.0,0,2158,0,1,0,1,4,0
1773664301.185,77344,10761,1,0,0,0,0,0.0,0.0,0,2159,0,0,0,0,0,0
1773664302.206,74331,4234,0,0,0,0,0,0.0,0.0,0,2163,0,0,0,0,0,0
1773664303.226,73489,9974,0,0,0,0,0,0.0,0.0,0,2167,0,0,0,0,0,0
1773664304.251,88062,83108,37,0,0,0,0,0.0,0.0,0,2036,325,0,0,0,213,0
1773664305.271,74263,8460,0,0,0,0,0,0.0,0.0,0,2025,0,0,0,0,45,0
1773664306.292,74212,8651,24,0,0,0,0,0.0,0.0,0,2054,0,24,0,24,0,0
1773664307.314,70269,3968,0,0,0,0,0,0.0,0.0,0,2057,0,0,0,0,0,0
1773664308.334,69107,8410,0,0,0,0,0,0.0,0.0,0,2064,0,0,0,0,0,0
1773664309.362,69551,4009,1,0,0,0,0,0.0,0.0,0,2090,4,1,0,1,0,0
1773664310.383,69469,3988,1,0,0,0,0,0.0,0.0,0,2106,2,1,0,1,0,0
1773664311.403,70090,8310,0,0,0,0,0,0.0,0.0,0,2109,0,0,0,0,0,0
1773664312.422,69753,3950,0,0,0,0,0,0.0,0.0,0,2112,0,0,0,0,0,0
1773664313.443,74072,4139,35,0,0,0,0,0.0,0.0,0,2122,0,35,0,35,4,0
1773664314.470,81477,13165,487,0,0,0,0,0.0,0.0,0,2167,4,478,0,408,82,0
1773664315.491,75091,4540,21,0,0,0,0,0.0,0.0,0,2173,0,16,0,86,126,0
1773664316.510,75096,30646,7,0,0,0,0,0.0,0.0,0,2154,11,3,0,3,0,0
