timestamp,mem_used_mib,mem_total_mib,mem_free_mib,temp_c,gpu_util_pct,mem_util_pct,gpu_clock_mhz,mem_clock_mhz,power_w,pcie_tx_kbs,pcie_rx_kbs,throttle_reasons,perf_state
1773664257.262,18749, 24564, 5324, 57, 68, 34, 2730, 10251, 222.21, P2, 0, 0, 0
1773664258.288,18749, 24564, 5324, 57, 66, 33, 2730, 10251, 225.15, P2, 0, 0, 0
1773664259.309,18749, 24564, 5324, 57, 74, 36, 2730, 10251, 225.60, P2, 0, 0, 0
1773664260.330,18749, 24564, 5324, 58, 65, 33, 2730, 10251, 221.90, P2, 0, 0, 0
1773664261.350,18749, 24564, 5324, 56, 77, 39, 2730, 10251, 221.03, P2, 0, 0, 0
1773664262.370,18749, 24564, 5324, 57, 80, 42, 2730, 10251, 220.39, P2, 0, 0, 0
1773664263.396,18749, 24564, 5324, 57, 66, 33, 2730, 10251, 220.58, P2, 0, 0, 0
1773664264.417,18749, 24564, 5324, 57, 65, 33, 2730, 10251, 217.51, P2, 0, 0, 0
1773664265.437,18749, 24564, 5324, 58, 69, 33, 2730, 10251, 222.02, P2, 0, 0, 0
1773664266.456,18749, 24564, 5324, 58, 87, 43, 2730, 10251, 222.12, P2, 0, 0, 0
1773664267.475,18749, 24564, 5324, 56, 60, 32, 2730, 10251, 225.65, P2, 0, 0, 0
1773664268.501,18749, 24564, 5324, 57, 68, 34, 2730, 10251, 222.43, P2, 0, 0, 0
1773664269.520,18749, 24564, 5324, 56, 76, 38, 2730, 10251, 223.11, P2, 0, 0, 0
1773664270.540,18755, 24564, 5318, 59, 99, 50, 2715, 10251, 256.26, P2, 0, 0, 0
1773664271.564,18755, 24564, 5318, 60, 99, 50, 2715, 10251, 285.55, P2, 0, 0, 0
1773664272.585,18755, 24564, 5318, 61, 99, 51, 2715, 10251, 272.47, P2, 0, 0, 0
1773664273.610,18755, 24564, 5318, 57, 76, 39, 2715, 10251, 226.26, P2, 0, 0, 0
1773664274.630,18755, 24564, 5318, 57, 77, 37, 2715, 10251, 228.55, P2, 0, 0, 0
1773664275.651,18755, 24564, 5318, 58, 68, 35, 2715, 10251, 228.72, P2, 0, 0, 0
1773664276.672,18755, 24564, 5318, 56, 68, 34, 2715, 10251, 230.03, P2, 0, 0, 0
1773664277.691,18755, 24564, 5318, 58, 72, 36, 2715, 10251, 229.32, P2, 0, 0, 0
1773664278.717,18755, 24564, 5318, 58, 68, 34, 2715, 10251, 224.76, P2, 0, 0, 0
1773664279.739,18755, 24564, 5318, 56, 69, 35, 2715, 10251, 225.18, P2, 0, 0, 0
1773664280.759,18755, 24564, 5318, 60, 85, 42, 2715, 10251, 251.65, P2, 0, 0, 0
1773664281.780,18755, 24564, 5318, 59, 69, 35, 2715, 10251, 249.11, P2, 0, 0, 0
1773664282.800,18755, 24564, 5318, 58, 67, 34, 2715, 10251, 224.92, P2, 0, 0, 0
1773664283.824,18755, 24564, 5318, 58, 70, 36, 2715, 10251, 227.72, P2, 0, 0, 0
