timestamp,rel_offset_s,category,message
1773664295.485,39.2,WEATHER,"KAID had a METAR from the future (161235Z)"
1773664355.350,99.1,WEATHER,"KAID had a METAR from the future (161235Z)"
1773664415.115,158.9,WEATHER,"KAID had a METAR from the future (161235Z)"
1773664475.014,218.8,WEATHER,"KAID had a METAR from the future (161235Z)"
1773664512.613,256.4,WEATHER,"Will fetch 'https://weatherservice.x-plane.com/api/v1/manifest/debug/2026-03-16T12:35:15Z' for epoch '1773664515"
1773664513.014,256.8,WEATHER,"Parsing weather manifest ID '80579'"
1773664534.779,278.5,WEATHER,"KAID had a METAR from the future (161215Z)"
1773664594.377,338.1,WEATHER,"KAID had a METAR from the future (161215Z)"
1773664654.078,397.8,WEATHER,"KAID had a METAR from the future (161215Z)"
1773664668.027,411.8,AIRPORT,"Loading sim objects for airport EGSL"
1773664687.376,431.1,AIRPORT,"Loading sim objects for airport EG83"
1773664713.710,457.5,WEATHER,"KAID had a METAR from the future (161215Z)"
1773664773.375,517.1,WEATHER,"KAID had a METAR from the future (161215Z)"
1773664785.958,529.7,DSF,"+50+002.dsf (20ms)"
1773664785.992,529.7,DSF,"+50+002.dsf (23ms)"
1773664785.992,529.7,DSF,"+50+002.dsf (17ms)"
1773664786.025,529.8,DSF,"+50+002.dsf (1ms)"
1773664786.092,529.8,DSF,"+50+002.dsf (62ms)"
1773664786.292,530.0,DSF,"+50+002.dsf (213ms)"
1773664786.292,530.0,DSF,"+50+002.dsf (8ms)"
1773664786.825,530.6,DSF,"+50+002.dsf (524ms)"
1773664789.823,533.6,DSF,"+52+002.dsf (4ms)"
1773664789.823,533.6,DSF,"+52+002.dsf (0ms)"
1773664789.889,533.6,DSF,"+50+002.dsf (3029ms)"
1773664793.692,537.4,DSF,"+51+002.dsf (39ms)"
1773664793.726,537.5,DSF,"+51+002.dsf (26ms)"
1773664793.726,537.5,DSF,"+51+002.dsf (5ms)"
1773664793.726,537.5,DSF,"+51+002.dsf (1ms)"
1773664793.792,537.5,DSF,"+51+002.dsf (54ms)"
1773664793.959,537.7,DSF,"+51+002.dsf (171ms)"
1773664793.959,537.7,DSF,"+51+002.dsf (5ms)"
