timestamp,rel_s,fps,frame_time_ms,cpu_time_ms,gpu_time_ms,lat,lon,elev_m,agl_m,gs_kts,ias_kts,sim_time_s,paused
1773664256.234,0.00,30.0,33.34,13.65,19.69,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,0
1773664256.234,0.00,30.0,33.34,13.65,19.69,51.893375,0.000000,0.0,0.0,0.0,0.0,0.0,0
1773664256.234,0.00,30.0,33.34,13.65,19.69,51.893375,0.255762,104.2,0.0,0.0,0.0,0.0,0
1773664256.234,0.00,30.0,33.34,13.65,19.69,51.893375,0.255762,104.2,-0.1,12.7,0.0,0.0,0
1773664256.235,0.00,30.0,33.34,13.65,19.69,51.893375,0.255762,104.2,-0.1,12.7,18.6,0.0,0
1773664256.235,0.00,30.0,33.34,13.65,19.69,51.893375,0.255762,104.2,-0.1,12.7,18.6,0.0,0
1773664256.235,0.00,29.6,33.78,14.09,19.69,51.893375,0.255762,104.2,-0.1,12.7,18.6,3709.1,0
1773664256.244,0.01,29.6,33.78,15.59,18.19,51.893375,0.255762,104.2,-0.1,12.7,18.6,3709.1,0
1773664256.276,0.04,29.6,33.78,15.59,18.19,51.893387,0.255762,104.2,-0.1,12.7,18.6,3709.1,0
1773664256.310,0.08,29.6,33.78,15.59,18.19,51.893387,0.255752,104.2,-0.1,12.7,18.6,3709.1,0
1773664256.343,0.11,29.6,33.78,15.59,18.19,51.893387,0.255752,104.2,-0.1,12.6,18.6,3709.1,0
1773664256.377,0.14,29.6,33.78,15.59,18.19,51.893387,0.255752,104.2,-0.1,12.6,18.3,3709.1,0
1773664256.410,0.18,30.0,33.30,15.11,18.19,51.893387,0.255752,104.2,-0.1,12.6,18.3,3709.3,0
1773664256.477,0.24,30.0,33.30,15.11,18.19,51.893387,0.255752,104.2,-0.1,12.6,18.3,3709.3,0
1773664256.511,0.28,30.0,33.30,15.11,18.19,51.893398,0.255742,104.2,-0.1,12.6,18.3,3709.3,0
1773664256.543,0.31,30.0,33.30,15.11,18.19,51.893398,0.255742,104.2,-0.1,12.6,18.3,3709.3,0
1773664256.577,0.34,30.0,33.30,15.11,18.19,51.893398,0.255742,104.2,-0.1,12.6,18.2,3709.3,0
1773664256.610,0.38,30.3,32.97,14.78,18.19,51.893398,0.255742,104.2,-0.1,12.6,18.2,3709.5,0
1773664256.693,0.46,30.3,32.97,14.78,18.19,51.893398,0.255742,104.2,-0.1,12.6,18.2,3709.5,0
1773664256.727,0.49,30.3,32.97,14.78,18.19,51.893410,0.255731,104.2,-0.1,12.6,18.2,3709.5,0
1773664256.759,0.53,30.3,32.97,14.78,18.19,51.893410,0.255731,104.2,-0.1,12.6,18.2,3709.5,0
1773664256.792,0.56,30.3,32.97,14.78,18.19,51.893410,0.255731,104.2,-0.1,12.6,18.0,3709.5,0
1773664256.826,0.59,30.3,33.03,14.84,18.19,51.893410,0.255731,104.2,-0.1,12.6,18.0,3709.7,0
1773664256.927,0.69,30.3,33.03,14.84,18.19,51.893421,0.255722,104.2,-0.1,12.6,18.0,3709.7,0
1773664256.962,0.73,30.3,33.03,14.84,18.19,51.893421,0.255722,104.2,-0.1,12.6,18.0,3709.7,0
1773664256.995,0.76,30.3,33.03,14.84,18.19,51.893421,0.255722,104.2,-0.1,12.6,18.0,3709.7,0
1773664257.060,0.83,29.7,33.70,15.51,18.19,51.893421,0.255722,104.2,-0.1,12.6,18.0,3709.9,0
1773664257.159,0.93,29.7,33.70,15.10,18.60,51.893433,0.255710,104.2,-0.1,12.6,18.0,3709.9,0
1773664257.193,0.96,29.7,33.70,15.10,18.60,51.893433,0.255710,104.2,-0.1,12.6,18.0,3709.9,0
1773664257.226,0.99,29.7,33.70,15.10,18.60,51.893433,0.255710,104.2,-0.1,12.6,17.8,3709.9,0
1773664257.276,1.04,30.9,32.32,13.72,18.60,51.893433,0.255710,104.2,-0.1,12.6,17.8,3710.2,0
1773664257.377,1.14,30.9,32.32,13.72,18.60,51.893444,0.255700,104.2,-0.1,12.6,17.8,3710.2,0
1773664257.410,1.18,30.9,32.32,13.72,18.60,51.893444,0.255700,104.2,-0.1,12.6,17.8,3710.2,0
1773664257.444,1.21,30.9,32.32,13.72,18.60,51.893444,0.255700,104.2,-0.1,12.6,17.7,3710.2,0
1773664257.476,1.24,29.9,33.48,14.88,18.60,51.893444,0.255700,104.2,-0.1,12.6,17.7,3710.4,0
1773664257.610,1.38,29.9,33.48,14.88,18.60,51.893456,0.255688,104.2,-0.1,12.6,17.7,3710.4,0
1773664257.642,1.41,29.9,33.48,14.88,18.60,51.893456,0.255688,104.2,-0.1,12.6,17.7,3710.4,0
1773664257.677,1.44,29.9,33.48,14.88,18.60,51.893456,0.255688,104.2,-0.1,12.6,17.5,3710.4,0
1773664257.710,1.48,29.4,34.05,15.45,18.60,51.893456,0.255688,104.2,-0.1,12.6,17.5,3710.6,0
1773664257.810,1.58,29.4,34.05,15.45,18.60,51.893463,0.255679,104.2,-0.1,12.6,17.5,3710.6,0
1773664257.858,1.62,29.4,34.05,15.45,18.60,51.893463,0.255679,104.2,-0.1,12.6,17.5,3710.6,0
1773664257.893,1.66,29.4,34.05,15.45,18.60,51.893463,0.255679,104.2,-0.1,12.6,17.4,3710.6,0
1773664257.927,1.69,29.7,33.64,15.04,18.60,51.893463,0.255679,104.2,-0.1,12.6,17.4,3710.8,0
1773664258.026,1.79,29.7,33.64,15.04,18.60,51.893475,0.255668,104.2,-0.1,12.6,17.4,3710.8,0
1773664258.060,1.83,29.7,33.64,15.04,18.60,51.893475,0.255668,104.2,-0.1,12.6,17.4,3710.8,0
1773664258.093,1.86,29.7,33.64,15.04,18.60,51.893475,0.255668,104.2,-0.1,12.6,17.2,3710.8,0
1773664258.127,1.89,30.5,32.76,14.16,18.60,51.893475,0.255668,104.2,-0.1,12.6,17.2,3711.0,0
1773664258.260,2.03,30.5,32.76,15.13,17.63,51.893486,0.255656,104.2,-0.1,12.6,17.2,3711.0,0
1773664258.294,2.06,30.5,32.76,15.13,17.63,51.893486,0.255656,104.2,-0.1,12.7,17.2,3711.0,0
1773664258.326,2.09,30.5,32.76,15.13,17.63,51.893486,0.255656,104.2,-0.1,12.7,17.1,3711.0,0
1773664258.360,2.13,30.2,33.12,15.49,17.63,51.893486,0.255656,104.2,-0.1,12.7,17.1,3711.2,0
1773664258.477,2.24,30.2,33.12,15.49,17.63,51.893497,0.255646,104.2,-0.1,12.7,17.1,3711.2,0
1773664258.510,2.28,30.2,33.12,15.49,17.63,51.893497,0.255646,104.2,-0.1,12.7,17.1,3711.2,0
1773664258.543,2.31,30.2,33.12,15.49,17.63,51.893497,0.255646,104.2,-0.1,12.7,17.0,3711.2,0
1773664258.576,2.34,30.0,33.31,15.68,17.63,51.893497,0.255646,104.2,-0.1,12.7,17.0,3711.5,0
1773664258.676,2.44,30.0,33.31,15.68,17.63,51.893509,0.255636,104.2,-0.1,12.7,17.0,3711.5,0
1773664258.742,2.51,30.0,33.31,15.68,17.63,51.893509,0.255636,104.2,-0.1,12.7,17.0,3711.5,0
1773664258.776,2.54,30.0,33.31,15.68,17.63,51.893509,0.255636,104.2,-0.1,12.7,16.8,3711.5,0
1773664258.810,2.58,29.7,33.70,16.07,17.63,51.893509,0.255636,104.2,-0.1,12.7,16.8,3711.7,0
1773664258.876,2.64,29.7,33.70,16.07,17.63,51.893517,0.255626,104.2,-0.1,12.7,16.8,3711.7,0
1773664258.945,2.71,29.7,33.70,16.07,17.63,51.893517,0.255626,104.2,-0.1,12.6,16.8,3711.7,0
1773664258.976,2.74,29.7,33.70,16.07,17.63,51.893517,0.255626,104.2,-0.1,12.6,16.7,3711.7,0
1773664259.044,2.81,29.7,33.71,16.08,17.63,51.893517,0.255626,104.2,-0.1,12.6,16.7,3711.9,0
1773664259.093,2.86,29.7,33.71,16.25,17.46,51.893528,0.255615,104.2,-0.1,12.6,16.7,3711.9,0
1773664259.160,2.93,29.7,33.71,16.25,17.46,51.893528,0.255615,104.2,-0.1,12.5,16.7,3711.9,0
1773664259.193,2.96,29.7,33.71,16.25,17.46,51.893528,0.255615,104.2,-0.1,12.5,16.6,3711.9,0
1773664259.259,3.03,30.0,33.30,15.83,17.46,51.893528,0.255615,104.2,-0.1,12.5,16.6,3712.1,0
1773664259.293,3.06,30.0,33.30,15.83,17.46,51.893539,0.255606,104.2,-0.1,12.5,16.6,3712.1,0
1773664259.377,3.14,30.0,33.30,15.83,17.46,51.893539,0.255606,104.2,-0.1,12.4,16.6,3712.1,0
1773664259.410,3.18,30.0,33.30,15.83,17.46,51.893539,0.255606,104.2,-0.1,12.4,16.4,3712.1,0
1773664259.476,3.24,30.0,33.36,15.90,17.46,51.893539,0.255606,104.2,-0.1,12.4,16.4,3712.4,0
1773664259.510,3.28,30.0,33.36,15.90,17.46,51.893551,0.255595,104.2,-0.1,12.4,16.4,3712.4,0
1773664259.576,3.34,30.0,33.36,15.90,17.46,51.893551,0.255595,104.2,-0.1,12.3,16.4,3712.4,0
1773664259.643,3.41,30.0,33.36,15.90,17.46,51.893551,0.255595,104.2,-0.1,12.3,16.2,3712.4,0
1773664259.677,3.44,30.0,33.34,15.88,17.46,51.893551,0.255595,104.2,-0.1,12.3,16.2,3712.6,0
1773664259.743,3.51,30.0,33.34,15.88,17.46,51.893562,0.255585,104.2,-0.1,12.3,16.2,3712.6,0
1773664259.809,3.58,30.0,33.34,15.88,17.46,51.893562,0.255585,104.2,-0.1,12.1,16.2,3712.6,0
1773664259.843,3.61,30.0,33.34,15.88,17.46,51.893562,0.255585,104.2,-0.1,12.1,15.9,3712.6,0
1773664259.878,3.64,54.3,18.40,0.94,17.46,51.893562,0.255585,104.2,-0.1,12.1,15.9,3712.8,0
1773664259.945,3.71,54.3,18.40,0.94,17.46,51.893570,0.255576,104.2,-0.1,12.1,15.9,3712.8,0
1773664260.011,3.78,54.3,18.40,0.94,17.46,51.893570,0.255576,104.2,-0.1,12.0,15.9,3712.8,0
1773664260.076,3.84,54.3,18.40,0.94,17.46,51.893570,0.255576,104.2,-0.1,12.0,15.5,3712.8,0
1773664260.110,3.88,29.9,33.40,15.94,17.46,51.893570,0.255576,104.2,-0.1,12.0,15.5,3713.0,0
1773664260.177,3.94,29.9,33.40,15.51,17.90,51.893581,0.255566,104.1,-0.1,12.0,15.5,3713.0,0
1773664260.209,3.97,29.9,33.40,15.51,17.90,51.893581,0.255566,104.1,-0.1,11.9,15.5,3713.0,0
1773664260.277,4.04,29.9,33.40,15.51,17.90,51.893581,0.255566,104.1,-0.1,11.9,15.0,3713.0,0
1773664260.344,4.11,29.7,33.63,15.73,17.90,51.893581,0.255566,104.1,-0.1,11.9,15.0,3713.2,0
1773664260.377,4.14,29.7,33.63,15.73,17.90,51.893593,0.255558,104.1,-0.1,11.9,15.0,3713.2,0
1773664260.411,4.18,29.7,33.63,15.73,17.90,51.893593,0.255558,104.1,-0.1,11.9,15.0,3713.2,0
1773664260.492,4.26,29.7,33.63,15.73,17.90,51.893593,0.255558,104.1,-0.1,11.9,14.5,3713.2,0
1773664260.560,4.33,30.3,32.98,15.08,17.90,51.893593,0.255558,104.1,-0.1,11.9,14.5,3713.5,0
1773664260.593,4.36,30.3,32.98,15.08,17.90,51.893604,0.255550,104.1,-0.1,11.9,14.5,3713.5,0
1773664260.626,4.39,30.3,32.98,15.08,17.90,51.893604,0.255550,104.1,-0.1,11.9,14.5,3713.5,0
1773664260.692,4.46,30.3,32.98,15.08,17.90,51.893604,0.255550,104.1,-0.1,11.9,14.0,3713.5,0
1773664260.794,4.56,29.9,33.39,15.50,17.90,51.893604,0.255550,104.1,-0.1,11.9,14.0,3713.7,0
1773664260.826,4.59,29.9,33.39,15.50,17.90,51.893616,0.255541,104.1,-0.1,11.9,14.0,3713.7,0
1773664260.894,4.66,29.9,33.39,15.50,17.90,51.893616,0.255541,104.1,-0.1,11.9,13.4,3713.7,0
1773664261.026,4.79,29.8,33.57,15.67,17.90,51.893616,0.255541,104.1,-0.1,11.9,13.4,3713.9,0
1773664261.059,4.83,29.8,33.57,15.67,17.90,51.893627,0.255532,104.2,-0.1,11.8,13.4,3713.9,0
1773664261.110,4.88,29.8,33.57,15.67,17.90,51.893627,0.255532,104.2,-0.1,11.8,12.9,3713.9,0
1773664261.244,5.01,30.7,32.61,14.72,17.90,51.893627,0.255532,104.2,-0.1,11.8,12.9,3714.1,0
1773664261.276,5.04,30.7,32.61,15.68,16.93,51.893635,0.255524,104.2,-0.1,11.6,12.9,3714.1,0
1773664261.309,5.07,30.7,32.61,15.68,16.93,51.893635,0.255524,104.2,-0.1,11.6,12.5,3714.1,0
1773664261.461,5.23,29.8,33.51,16.57,16.93,51.893635,0.255524,104.2,-0.1,11.6,12.5,3714.4,0
1773664261.494,5.26,29.8,33.51,16.57,16.93,51.893646,0.255516,104.2,-0.1,11.4,12.5,3714.4,0
