timestamp,device,r_per_s,w_per_s,rMB_per_s,wMB_per_s,avg_r_lat_ms,avg_w_lat_ms,io_util_pct,ios_in_progress
1774102911.079,nvme1n1,1574.5,0.0,20.87,0.00,0.12,0.00,18.5,0
1774102911.079,nvme0n1,1579.5,0.0,21.65,0.00,0.11,0.00,17.5,0
1774102911.079,nvme2n1,1489.5,0.0,20.23,0.00,0.10,0.00,15.5,0
1774102911.079,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774102911.279,nvme1n1,1596.1,0.0,21.61,0.00,0.15,0.00,23.4,0
1774102911.279,nvme0n1,1451.5,44.9,19.37,0.70,0.11,0.33,16.5,0
1774102911.279,nvme2n1,1476.4,44.9,19.78,0.70,0.10,0.22,16.0,0
1774102911.279,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774102911.480,nvme1n1,1600.5,0.0,26.21,0.00,0.18,0.00,29.4,0
1774102911.480,nvme0n1,1615.4,0.0,26.35,0.00,0.15,0.00,23.4,0
1774102911.480,nvme2n1,1595.5,0.0,24.68,0.00,0.13,0.00,21.4,0
1774102911.480,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774102911.680,nvme1n1,1561.6,0.0,21.28,0.00,0.12,0.00,18.0,0
1774102911.680,nvme0n1,1646.5,0.0,22.74,0.00,0.10,0.00,17.5,0
1774102911.680,nvme2n1,1546.7,0.0,21.54,0.00,0.10,0.00,16.0,0
1774102911.680,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774102911.881,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774102911.881,nvme0n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774102911.881,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774102911.881,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774102912.113,nvme1n1,2683.6,0.0,37.41,0.00,0.14,0.00,37.0,0
1774102912.113,nvme0n1,2692.2,0.0,37.80,0.00,0.13,0.00,34.0,0
1774102912.113,nvme2n1,2614.8,0.0,37.23,0.00,0.11,0.00,29.2,0
1774102912.113,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774102912.314,nvme1n1,20.0,0.0,0.35,0.00,0.50,0.00,1.0,0
1774102912.314,nvme0n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774102912.314,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774102912.314,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774102912.514,nvme1n1,1550.3,0.0,22.32,0.00,0.16,0.00,24.4,0
1774102912.514,nvme0n1,1610.2,0.0,23.95,0.00,0.13,0.00,19.9,0
1774102912.514,nvme2n1,1590.2,0.0,23.27,0.00,0.12,0.00,19.4,0
1774102912.514,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774102912.715,nvme1n1,1495.5,0.0,17.88,0.00,0.16,0.00,23.9,0
1774102912.715,nvme0n1,1580.2,0.0,19.12,0.00,0.14,0.00,21.4,0
1774102912.715,nvme2n1,1410.7,0.0,16.90,0.00,0.12,0.00,16.9,0
1774102912.715,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774102912.916,nvme1n1,1559.3,0.0,23.35,0.00,0.11,0.00,17.4,0
1774102912.916,nvme0n1,1534.4,0.0,21.91,0.00,0.12,0.00,17.9,0
1774102912.916,nvme2n1,1544.3,0.0,22.32,0.00,0.11,0.00,16.9,0
1774102912.916,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774102913.138,nvme1n1,1408.1,0.0,19.86,0.00,0.17,0.00,23.4,0
1774102913.138,nvme0n1,1336.1,0.0,18.40,0.00,0.13,0.00,18.0,0
1774102913.138,nvme2n1,1358.6,0.0,19.19,0.00,0.12,0.00,16.6,0
1774102913.138,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774102913.338,nvme1n1,1571.2,0.0,23.13,0.00,0.14,0.00,21.9,0
1774102913.338,nvme0n1,1646.0,0.0,23.95,0.00,0.13,0.00,21.9,0
1774102913.338,nvme2n1,1501.4,0.0,22.23,0.00,0.13,0.00,20.0,0
1774102913.338,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
