timestamp,pid,name,cpu_pct,rss_mb,swap_mb,io_read_mbs,io_write_mbs,threads
1774102912.916,2221,kwin_wayland_wr,0.0,18,0,0.00,0.00,2
1774102912.916,2234,kwin_wayland,1.9,487,0,0.00,0.00,5
1774102912.916,2380,plasmashell,1.0,828,0,0.00,0.00,12
1774102912.916,2850,firefox-bin,0.0,952,0,0.00,0.00,100
1774102912.916,2856,crashhelper[firefox],0.0,3,0,0.00,0.00,2
1774102912.916,2923,forkserver[firefox],0.0,28,0,0.00,0.00,1
1774102912.916,2925,Socket Process[firefox],0.0,37,0,0.00,0.00,6
1774102912.916,2940,Privileged Cont[firefox],0.0,136,0,0.00,0.00,29
1774102912.916,2951,RDD Process[firefox],0.0,61,0,0.00,0.00,5
1774102912.916,3025,WebExtensions[firefox],0.0,152,0,0.00,0.00,28
1774102912.916,3113,Utility Process[firefox],0.0,34,0,0.00,0.00,5
1774102912.916,3559,Isolated Web Co[firefox],0.0,298,0,0.00,0.00,28
1774102912.916,3735,Isolated Web Co[firefox],0.0,352,0,0.00,0.00,36
1774102912.916,21405,kioworker[plasmashell],0.0,31,0,0.00,0.00,3
1774102912.916,21515,easyeffects,0.0,248,0,0.00,0.00,10
1774102912.916,21754,qemu-system-x86,5.8,4300,0,0.00,0.00,29
1774102912.916,22576,xearthlayer,197.1,7638,0,50.92,0.01,549
1774102912.916,23269,Isolated Web Co[firefox],0.0,173,0,0.00,0.00,29
1774102912.916,23360,Web Content[firefox],0.0,77,0,0.00,0.00,27
1774102912.916,24147,Web Content[firefox],0.0,77,0,0.00,0.00,27
1774102912.916,24627,Web Content[firefox],0.0,76,0,0.00,0.00,27
1774102912.916,26601,python3[X-Plane],0.0,14,0,0.00,0.00,1
1774102913.940,2221,kwin_wayland_wr,0.0,18,0,0.00,0.00,2
1774102913.940,2234,kwin_wayland,3.9,487,0,0.00,0.00,5
1774102913.940,2380,plasmashell,0.0,828,0,0.00,0.00,12
1774102913.940,2850,firefox-bin,0.0,952,0,0.00,0.00,100
1774102913.940,2856,crashhelper[firefox],0.0,3,0,0.00,0.00,2
1774102913.940,2923,forkserver[firefox],0.0,28,0,0.00,0.00,1
1774102913.940,2925,Socket Process[firefox],0.0,37,0,0.00,0.00,6
1774102913.940,2940,Privileged Cont[firefox],0.0,136,0,0.00,0.00,29
1774102913.940,2951,RDD Process[firefox],0.0,61,0,0.00,0.00,5
1774102913.940,3025,WebExtensions[firefox],0.0,152,0,0.00,0.00,28
1774102913.940,3113,Utility Process[firefox],0.0,34,0,0.00,0.00,5
1774102913.940,3559,Isolated Web Co[firefox],0.0,298,0,0.00,0.00,28
1774102913.940,3735,Isolated Web Co[firefox],1.0,352,0,0.00,0.00,36
1774102913.940,21405,kioworker[plasmashell],0.0,31,0,0.00,0.00,3
1774102913.940,21515,easyeffects,0.0,248,0,0.00,0.00,10
1774102913.940,21754,qemu-system-x86,5.9,4300,0,0.00,0.00,29
1774102913.940,22576,xearthlayer,194.2,7312,0,62.01,0.00,549
1774102913.940,23269,Isolated Web Co[firefox],0.0,173,0,0.00,0.00,29
1774102913.940,23360,Web Content[firefox],0.0,77,0,0.00,0.00,27
