timestamp,cpu_some10,cpu_some60,mem_some10,mem_some60,mem_full10,mem_full60,io_some10,io_some60,io_full10,io_full60
1774102911.881,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102912.916,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102913.940,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102914.963,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102915.985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102917.007,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102918.040,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102919.062,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102920.088,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102921.110,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102922.134,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102923.165,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102924.190,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102925.218,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102926.243,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102927.268,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102928.301,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102929.326,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102930.351,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102931.375,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102932.400,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102933.429,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102934.451,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102935.475,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102936.498,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102937.521,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102938.548,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102939.571,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102940.593,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102941.616,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102942.640,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102943.669,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102944.692,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102945.715,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102946.738,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102947.762,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102948.791,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102949.814,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102950.837,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102951.859,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102952.881,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102953.912,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102954.934,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102955.957,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102956.979,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774102957.998,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
