WARNING: BPFTRACE_MAP_KEYS_MAX is deprecated. Use BPFTRACE_MAX_MAP_KEYS instead.
Attaching 2 probes...
15:24:19 pid=227 comm=kworker/0:2 fence_wait_ms=25
15:24:19 pid=152 comm=kworker/1:1 fence_wait_ms=25
15:24:19 pid=21897 comm=kworker/3:2 fence_wait_ms=25
15:24:19 pid=227 comm=kworker/0:2 fence_wait_ms=25
15:24:19 pid=855 comm=kworker/6:2 fence_wait_ms=24
15:24:20 pid=227 comm=kworker/0:2 fence_wait_ms=24
15:24:20 pid=21936 comm=kworker/4:6 fence_wait_ms=24
15:24:20 pid=171 comm=kworker/11:1 fence_wait_ms=24
15:24:20 pid=15050 comm=kworker/13:0 fence_wait_ms=25
15:24:20 pid=171 comm=kworker/11:1 fence_wait_ms=25
15:24:20 pid=227 comm=kworker/0:2 fence_wait_ms=25
15:24:20 pid=227 comm=kworker/0:2 fence_wait_ms=25
15:24:21 pid=15050 comm=kworker/13:0 fence_wait_ms=25
15:24:21 pid=709 comm=kworker/5:3 fence_wait_ms=25
15:24:21 pid=855 comm=kworker/6:2 fence_wait_ms=25
15:24:21 pid=152 comm=kworker/1:1 fence_wait_ms=24
15:24:21 pid=21882 comm=kworker/u65:5 fence_wait_ms=6
15:24:21 pid=15043 comm=kworker/2:3 fence_wait_ms=26
15:24:21 pid=15043 comm=kworker/2:3 fence_wait_ms=25
15:24:22 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:22 pid=709 comm=kworker/5:3 fence_wait_ms=24
15:24:22 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:22 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:24:23 pid=227 comm=kworker/0:2 fence_wait_ms=24
15:24:23 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:23 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:24:23 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:23 pid=21936 comm=kworker/4:6 fence_wait_ms=24
15:24:23 pid=152 comm=kworker/1:1 fence_wait_ms=6
15:24:23 pid=21897 comm=kworker/3:2 fence_wait_ms=6
15:24:24 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:24 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:24:24 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:24 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:24 pid=227 comm=kworker/0:2 fence_wait_ms=6
15:24:24 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:24 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:24:24 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:25 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:25 pid=15043 comm=kworker/2:3 fence_wait_ms=24
15:24:25 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:25 pid=152 comm=kworker/1:1 fence_wait_ms=24
15:24:25 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:25 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:24:25 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:26 pid=15043 comm=kworker/2:3 fence_wait_ms=24
15:24:26 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:26 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:26 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:26 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:26 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:27 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:27 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:27 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:27 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:27 pid=855 comm=kworker/6:2 fence_wait_ms=23
15:24:28 pid=21897 comm=kworker/3:2 fence_wait_ms=24
15:24:28 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:28 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:28 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:28 pid=227 comm=kworker/0:2 fence_wait_ms=24
15:24:28 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:28 pid=21936 comm=kworker/4:6 fence_wait_ms=25
15:24:28 pid=15043 comm=kworker/2:3 fence_wait_ms=24
15:24:28 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:29 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:29 pid=855 comm=kworker/6:2 fence_wait_ms=24
15:24:29 pid=21897 comm=kworker/3:2 fence_wait_ms=6
15:24:29 pid=227 comm=kworker/0:2 fence_wait_ms=6
15:24:29 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:29 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:29 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:29 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:29 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:29 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:30 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:30 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:30 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:30 pid=15043 comm=kworker/2:3 fence_wait_ms=22
15:24:30 pid=227 comm=kworker/0:2 fence_wait_ms=6
15:24:31 pid=855 comm=kworker/6:2 fence_wait_ms=23
15:24:31 pid=227 comm=kworker/0:2 fence_wait_ms=6
15:24:32 pid=21936 comm=kworker/4:6 fence_wait_ms=24
15:24:32 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:24:32 pid=21936 comm=kworker/4:6 fence_wait_ms=24
15:24:32 pid=1823 comm=kworker/9:2 fence_wait_ms=23
15:24:32 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:24:32 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:24:33 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:24:33 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:33 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:33 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:24:33 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:33 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:33 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:33 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:33 pid=172 comm=kworker/12:1 fence_wait_ms=23
15:24:34 pid=175 comm=kworker/14:1 fence_wait_ms=24
15:24:34 pid=23415 comm=kworker/7:2 fence_wait_ms=25
15:24:34 pid=15043 comm=kworker/2:3 fence_wait_ms=24
15:24:34 pid=855 comm=kworker/6:2 fence_wait_ms=23
15:24:34 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:24:35 pid=15043 comm=kworker/2:3 fence_wait_ms=24
15:24:35 pid=709 comm=kworker/5:3 fence_wait_ms=24
15:24:35 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:35 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:24:35 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:24:35 pid=152 comm=kworker/1:1 fence_wait_ms=24
15:24:35 pid=709 comm=kworker/5:3 fence_wait_ms=24
