timestamp,ctxt_s,pgfault_s,pgmajfault_s,pgscan_kswapd_s,pgscan_direct_s,pgsteal_kswapd_s,pgsteal_direct_s,allocstall_s,compact_stall_s,tlb_shootdown_s,nr_dirty,nr_writeback,pswpin_s,pswpout_s,wset_refault_anon_s,wset_refault_file_s,thp_fault_fallback_s
1774102911.881,34833,961515,5,0,0,0,0,0.0,0.0,0,258,12,0,0,0,0,0
1774102912.916,37697,1121260,0,0,0,0,0,0.0,0.0,0,264,0,0,0,0,0,0
1774102913.940,43111,932893,0,0,0,0,0,0.0,0.0,0,269,0,0,0,0,0,0
1774102914.963,39890,1078176,0,0,0,0,0,0.0,0.0,0,274,0,0,0,0,0,0
1774102915.985,46849,1008576,0,0,0,0,0,0.0,0.0,0,243,0,0,0,0,0,0
1774102917.007,35531,1066364,0,133558,0,133420,0,0.0,0.0,0,247,0,0,0,0,0,0
1774102918.040,36587,941804,0,0,0,0,0,0.0,0.0,0,249,0,0,0,0,0,0
1774102919.062,44927,1060755,0,0,0,0,0,0.0,0.0,0,256,0,0,0,0,1,0
1774102920.088,42876,948899,0,0,0,0,0,0.0,0.0,0,260,0,0,0,0,0,0
1774102921.110,42367,1068794,3,0,0,0,0,0.0,0.0,0,318,0,0,0,0,23,0
1774102922.134,41319,970123,0,0,0,0,0,0.0,0.0,0,325,0,0,0,0,0,0
1774102923.165,29802,1054017,0,0,0,0,0,0.0,0.0,0,334,0,0,0,0,8,0
1774102924.190,26700,1074307,1,0,0,0,0,0.0,0.0,0,342,0,0,0,0,0,0
1774102925.218,23195,939103,0,0,0,0,0,0.0,0.0,0,378,0,0,0,0,0,0
1774102926.243,17549,1100654,0,0,0,0,0,0.0,0.0,0,381,0,0,0,0,0,0
1774102927.268,20883,928719,0,0,0,0,0,0.0,0.0,0,442,0,0,0,0,0,0
1774102928.301,25219,1109700,1,0,0,0,0,0.0,0.0,0,444,0,0,0,0,0,0
1774102929.326,17054,911458,0,0,0,0,0,0.0,0.0,0,448,0,0,0,0,0,0
1774102930.351,17727,1085674,0,0,0,0,0,0.0,0.0,0,451,0,0,0,0,0,0
1774102931.375,24663,947742,0,0,0,0,0,0.0,0.0,0,452,0,0,0,0,0,0
1774102932.400,18028,743154,0,0,0,0,0,0.0,0.0,0,431,0,0,0,0,0,0
