timestamp,mem_used_mib,mem_total_mib,mem_free_mib,temp_c,gpu_util_pct,mem_util_pct,gpu_clock_mhz,mem_clock_mhz,power_w,pcie_tx_kbs,pcie_rx_kbs,throttle_reasons,perf_state
1774102911.881,2254, 24564, 21819, 41, 2, 25, 210, 405, 21.32, P8, 0, 0, 0
1774102912.916,2254, 24564, 21819, 41, 1, 26, 210, 405, 21.48, P8, 0, 0, 0
1774102913.940,2254, 24564, 21819, 41, 2, 27, 210, 405, 21.97, P8, 0, 0, 0
1774102914.963,2254, 24564, 21819, 41, 0, 31, 210, 405, 21.46, P8, 0, 0, 0
1774102915.985,2254, 24564, 21819, 41, 0, 27, 210, 405, 21.08, P8, 0, 0, 0
1774102917.007,2254, 24564, 21819, 41, 0, 28, 210, 405, 21.04, P8, 0, 0, 0
1774102918.040,2254, 24564, 21819, 41, 0, 27, 210, 405, 21.23, P8, 0, 0, 0
1774102919.062,2254, 24564, 21819, 41, 0, 31, 210, 405, 21.40, P8, 0, 0, 0
1774102920.088,2254, 24564, 21819, 41, 0, 34, 210, 405, 20.91, P8, 0, 0, 0
1774102921.110,2254, 24564, 21819, 41, 0, 37, 210, 405, 21.28, P8, 0, 0, 0
1774102922.134,2253, 24564, 21820, 41, 4, 28, 210, 405, 21.54, P8, 0, 0, 0
1774102923.165,2253, 24564, 21820, 41, 4, 32, 210, 405, 21.92, P8, 0, 0, 0
1774102924.190,2253, 24564, 21820, 41, 4, 28, 210, 405, 21.93, P8, 0, 0, 0
1774102925.218,2253, 24564, 21820, 41, 2, 31, 210, 405, 22.30, P8, 0, 0, 0
1774102926.243,2253, 24564, 21820, 41, 4, 29, 210, 405, 22.02, P8, 0, 0, 0
1774102927.268,2253, 24564, 21820, 41, 2, 30, 210, 405, 21.66, P8, 0, 0, 0
1774102928.301,2253, 24564, 21820, 41, 4, 26, 210, 405, 22.30, P8, 0, 0, 0
1774102929.326,2253, 24564, 21820, 41, 4, 30, 210, 405, 22.21, P8, 0, 0, 0
1774102930.351,2253, 24564, 21820, 41, 0, 36, 210, 405, 21.91, P8, 0, 0, 0
1774102931.375,2253, 24564, 21820, 41, 6, 28, 210, 405, 22.30, P8, 0, 0, 0
1774102932.400,2253, 24564, 21820, 41, 4, 26, 210, 405, 22.16, P8, 0, 0, 0
1774102933.429,2253, 24564, 21820, 41, 2, 30, 210, 405, 21.79, P8, 0, 0, 0
1774102934.451,2253, 24564, 21820, 41, 4, 26, 210, 405, 22.14, P8, 0, 0, 0
1774102935.475,2253, 24564, 21820, 41, 4, 30, 210, 405, 22.04, P8, 0, 0, 0
1774102936.498,2253, 24564, 21820, 41, 0, 27, 210, 405, 21.72, P8, 0, 0, 0
1774102937.521,2253, 24564, 21820, 41, 0, 29, 210, 405, 21.16, P8, 0, 0, 0
1774102938.548,2253, 24564, 21820, 41, 2, 25, 210, 405, 21.32, P8, 0, 0, 0
1774102939.571,2250, 24564, 21823, 41, 0, 21, 210, 405, 21.28, P8, 0, 0, 0
1774102940.593,2250, 24564, 21823, 41, 0, 29, 210, 405, 21.35, P8, 0, 0, 0
1774102941.616,2250, 24564, 21823, 41, 0, 25, 210, 405, 20.92, P8, 0, 0, 0
1774102942.640,2250, 24564, 21823, 41, 0, 29, 210, 405, 21.09, P8, 0, 0, 0
1774102943.669,2250, 24564, 21823, 41, 2, 37, 210, 405, 21.83, P8, 0, 0, 0
1774102944.692,2250, 24564, 21823, 41, 4, 30, 210, 405, 22.11, P8, 0, 0, 0
1774102945.715,2250, 24564, 21823, 41, 8, 26, 210, 405, 21.92, P8, 0, 0, 0
1774102946.738,2250, 24564, 21823, 41, 6, 31, 210, 405, 21.87, P8, 0, 0, 0
1774102947.762,2250, 24564, 21823, 41, 4, 25, 210, 405, 22.03, P8, 0, 0, 0
1774102948.791,2250, 24564, 21823, 41, 6, 26, 210, 405, 22.25, P8, 0, 0, 0
1774102949.814,2250, 24564, 21823, 41, 2, 28, 210, 405, 22.31, P8, 0, 0, 0
1774102950.837,2250, 24564, 21823, 41, 0, 23, 210, 405, 22.23, P8, 0, 0, 0
1774102951.859,2250, 24564, 21823, 41, 2, 34, 210, 405, 21.52, P8, 0, 0, 0
1774102952.881,2250, 24564, 21823, 42, 4, 28, 210, 405, 21.91, P8, 0, 0, 0
1774102953.912,2250, 24564, 21823, 41, 4, 29, 210, 405, 22.27, P8, 0, 0, 0
1774102954.934,2250, 24564, 21823, 41, 4, 24, 210, 405, 21.56, P8, 0, 0, 0
1774102955.957,2250, 24564, 21823, 42, 0, 27, 210, 405, 21.01, P8, 0, 0, 0
1774102956.979,2250, 24564, 21823, 41, 0, 29, 210, 405, 20.83, P8, 0, 0, 0
1774102957.998,2250, 24564, 21823, 41, 0, 26, 210, 405, 20.89, P8, 0, 0, 0
1774102959.027,2250, 24564, 21823, 41, 0, 25, 210, 405, 21.41, P8, 0, 0, 0
1774102960.050,3024, 24564, 21048, 43, 0, 25, 2565, 10501, 52.76, P0, 0, 0, 0
1774102961.071,4292, 24564, 19781, 44, 14, 4, 2745, 10251, 80.26, P2, 0, 0, 0
1774102962.089,4775, 24564, 19298, 44, 1, 1, 2745, 10251, 77.26, P2, 0, 0, 0
1774102963.109,4380, 24564, 19692, 43, 7, 2, 2565, 10251, 70.57, P2, 0, 0, 0
1774102964.134,4413, 24564, 19660, 43, 1, 1, 2565, 10251, 69.88, P2, 0, 0, 0
1774102965.152,4400, 24564, 19672, 44, 0, 1, 2565, 10251, 68.82, P2, 0, 0, 0
1774102966.170,4400, 24564, 19672, 44, 0, 1, 2565, 10251, 68.76, P2, 0, 0, 0
1774102967.188,4400, 24564, 19672, 44, 0, 1, 2565, 10251, 68.17, P2, 0, 0, 0
1774102968.206,4400, 24564, 19672, 44, 0, 1, 2565, 10251, 69.05, P2, 0, 0, 0
1774102969.230,4402, 24564, 19671, 44, 0, 1, 2565, 10251, 68.29, P2, 0, 0, 0
1774102970.248,4402, 24564, 19671, 44, 0, 0, 2565, 10251, 68.49, P2, 0, 0, 0
1774102971.267,4403, 24564, 19669, 44, 0, 0, 2565, 10251, 68.20, P2, 0, 0, 0
1774102972.285,4403, 24564, 19669, 44, 0, 0, 2565, 10251, 67.21, P2, 0, 0, 0
1774102973.305,4407, 24564, 19666, 44, 0, 0, 2565, 10251, 67.82, P2, 0, 0, 0
1774102974.332,4594, 24564, 19479, 44, 0, 1, 2565, 10251, 68.92, P2, 0, 0, 0
1774102975.351,4594, 24564, 19479, 44, 0, 0, 2565, 10251, 68.46, P2, 0, 0, 0
1774102976.369,4594, 24564, 19479, 44, 0, 0, 2565, 10251, 67.35, P2, 0, 0, 0
1774102977.387,4594, 24564, 19479, 44, 0, 0, 2565, 10251, 67.38, P2, 0, 0, 0
1774102978.404,4594, 24564, 19479, 44, 0, 0, 2565, 10251, 67.52, P2, 0, 0, 0
1774102979.429,4594, 24564, 19479, 44, 0, 0, 2565, 10251, 67.56, P2, 0, 0, 0
1774102980.446,4594, 24564, 19479, 44, 0, 0, 2565, 10251, 67.62, P2, 0, 0, 0
1774102981.462,4594, 24564, 19479, 44, 0, 0, 2565, 10251, 67.99, P2, 0, 0, 0
1774102982.479,4594, 24564, 19479, 44, 0, 0, 2565, 10251, 68.09, P2, 0, 0, 0
1774102983.495,4594, 24564, 19479, 44, 0, 0, 2565, 10251, 67.91, P2, 0, 0, 0
1774102984.519,4850, 24564, 19223, 44, 0, 0, 2565, 10251, 70.27, P2, 0, 0, 0
1774102985.537,4850, 24564, 19223, 45, 9, 4, 2565, 10251, 80.76, P2, 0, 0, 0
1774102986.554,4850, 24564, 19223, 45, 9, 4, 2565, 10251, 80.24, P2, 0, 0, 0
1774102987.572,4850, 24564, 19223, 45, 9, 4, 2565, 10251, 80.43, P2, 0, 0, 0
1774102988.590,4850, 24564, 19223, 45, 9, 4, 2565, 10251, 80.75, P2, 0, 0, 0
1774102989.614,4850, 24564, 19223, 45, 9, 4, 2565, 10251, 80.65, P2, 0, 0, 0
1774102990.632,4850, 24564, 19223, 45, 9, 4, 2565, 10251, 80.59, P2, 0, 0, 0
1774102991.650,4850, 24564, 19223, 45, 9, 4, 2565, 10251, 80.50, P2, 0, 0, 0
1774102992.669,4854, 24564, 19219, 46, 9, 4, 2745, 10251, 81.75, P2, 0, 0, 0
1774102993.739,4891, 24564, 19182, 46, 12, 5, 2745, 10251, 92.39, P2, 0, 0, 0
1774102994.763,4891, 24564, 19182, 46, 8, 4, 2745, 10251, 93.07, P2, 0, 0, 0
1774102995.781,4891, 24564, 19182, 46, 9, 4, 2565, 10251, 83.11, P2, 0, 0, 0
1774102996.798,4891, 24564, 19182, 46, 9, 4, 2565, 10251, 80.79, P2, 0, 0, 0
1774102997.817,4891, 24564, 19182, 46, 9, 4, 2565, 10251, 80.75, P2, 0, 0, 0
1774102998.836,4891, 24564, 19181, 46, 13, 5, 2565, 10251, 83.47, P2, 0, 0, 0
1774102999.860,4891, 24564, 19182, 46, 9, 5, 2565, 10251, 82.62, P2, 0, 0, 0
1774103000.879,4891, 24564, 19182, 46, 11, 6, 2565, 10251, 83.80, P2, 0, 0, 0
