timestamp,rel_s,fps,frame_time_ms,cpu_time_ms,gpu_time_ms,lat,lon,elev_m,agl_m,gs_kts,ias_kts,sim_time_s,paused
1774103214.499,3.02,19.9,50.25,0.00,1239.92,43.628674,1.375947,154.8,-0.1,0.8,-0.4,0.3,0
1774103214.713,3.23,35.0,28.56,0.00,1239.92,43.628674,1.375947,154.7,-0.1,0.2,-1.0,0.5,0
1774103214.927,3.44,29.2,34.27,0.00,1239.92,43.628674,1.375947,154.7,-0.1,0.2,-1.5,0.7,0
1774103215.143,3.66,27.4,36.56,0.00,1239.92,43.628674,1.375947,154.7,-0.1,0.2,-1.8,0.9,0
1774103215.356,3.87,42.9,23.31,0.00,1239.92,43.628674,1.375947,154.8,-0.1,0.1,-2.0,1.1,0
1774103215.571,4.09,32.6,30.67,0.00,160.51,43.628674,1.375947,154.8,-0.1,0.1,-2.0,1.3,0
1774103215.867,4.38,19.9,50.23,0.00,160.51,43.628674,1.375947,154.7,-0.1,0.1,-1.9,1.6,0
1774103216.071,4.59,40.6,24.62,0.00,160.51,43.628674,1.375947,154.7,-0.1,0.0,-1.8,1.8,0
1774103216.302,4.82,29.9,33.48,0.00,160.51,43.628674,1.375947,154.7,-0.1,0.0,-1.5,2.0,0
1774103216.503,5.02,30.6,32.72,9.69,23.03,43.628674,1.375947,154.7,-0.1,0.0,-1.3,2.2,0
1774103216.737,5.25,29.4,34.05,11.02,23.03,43.628674,1.375947,154.7,-0.1,0.0,-1.1,2.5,0
1774103216.970,5.49,29.6,33.76,10.74,23.03,43.628674,1.375947,154.7,-0.1,0.0,-0.8,2.7,0
1774103217.205,5.72,29.8,33.51,10.48,23.03,43.628674,1.375947,154.7,-0.1,0.0,-0.5,2.9,0
1774103217.405,5.92,30.2,33.13,10.11,23.03,43.628674,1.375947,154.7,-0.1,0.0,-0.2,3.1,0
1774103217.640,6.16,29.6,33.81,12.82,20.98,43.628674,1.375947,154.7,-0.1,0.0,0.3,3.4,0
1774103217.872,6.39,30.3,33.02,12.04,20.98,43.628674,1.375947,154.7,-0.1,0.0,0.8,3.6,0
1774103218.071,6.59,29.7,33.65,12.67,20.98,43.628674,1.375947,154.7,-0.1,0.0,1.2,3.8,0
1774103218.305,6.82,29.7,33.71,12.73,20.98,43.628674,1.375947,154.7,-0.1,0.0,1.6,4.0,0
1774103218.503,7.02,30.0,33.39,13.00,20.38,43.628674,1.375947,154.7,-0.1,0.0,1.9,4.2,0
1774103218.706,7.22,29.6,33.79,13.40,20.38,43.628674,1.375947,154.7,-0.1,0.0,2.1,4.4,0
1774103218.937,7.45,30.4,32.88,12.50,20.38,43.628674,1.375947,154.7,-0.1,0.0,2.3,4.7,0
1774103219.138,7.65,29.8,33.53,13.15,20.38,43.628674,1.375947,154.7,-0.1,0.0,2.5,4.9,0
1774103219.339,7.86,29.2,34.30,13.92,20.38,43.628674,1.375947,154.7,-0.1,0.0,2.6,5.1,0
1774103220.378,8.89,38.3,26.13,0.00,87.44,43.628674,1.375947,154.7,-0.1,0.0,2.8,5.3,0
1774103220.588,9.10,44.4,22.53,13.28,9.25,43.628674,1.375947,154.7,-0.1,0.0,3.0,5.5,0
1774103220.802,9.32,30.0,33.34,24.10,9.25,43.628674,1.375947,154.7,-0.1,0.0,3.3,5.7,0
1774103221.002,9.52,29.4,34.01,24.76,9.25,43.628674,1.375947,154.7,-0.1,0.0,3.8,5.9,0
1774103221.236,9.75,29.7,33.72,24.47,9.25,43.628674,1.375947,154.7,-0.1,0.0,4.2,6.1,0
1774103221.436,9.95,30.4,32.85,23.60,9.25,43.628674,1.375947,154.7,-0.1,0.0,4.7,6.3,0
1774103221.637,10.15,29.4,34.05,12.46,21.59,43.628674,1.375947,154.7,-0.1,0.0,5.1,6.5,0
1774103221.868,10.39,19.9,50.25,28.66,21.59,43.628674,1.375947,154.7,-0.1,0.0,5.4,6.7,0
