timestamp,device,r_per_s,w_per_s,rMB_per_s,wMB_per_s,avg_r_lat_ms,avg_w_lat_ms,io_util_pct,ios_in_progress
1773644463.797,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644463.797,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644463.797,nvme0n1,7398.1,0.0,115.60,0.00,0.08,0.00,57.5,0
1773644463.797,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644463.998,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644463.998,nvme1n1,5.0,0.0,0.08,0.00,1.00,0.00,0.0,0
1773644463.998,nvme0n1,7102.9,0.0,110.98,0.00,0.08,0.00,57.9,0
1773644463.998,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644464.198,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644464.198,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644464.198,nvme0n1,6479.9,0.0,101.25,0.00,0.09,0.00,58.9,0
1773644464.198,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644464.398,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644464.398,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644464.398,nvme0n1,6106.4,0.0,95.41,0.00,0.10,0.00,58.9,0
1773644464.398,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644464.599,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644464.599,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644464.599,nvme0n1,6634.6,0.0,103.67,0.00,0.08,0.00,53.4,0
1773644464.599,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644464.825,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644464.825,nvme1n1,30.9,0.0,1.29,0.00,0.14,0.00,0.4,0
1773644464.825,nvme0n1,6486.9,0.0,101.36,0.00,0.09,0.00,58.3,0
1773644464.825,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644465.026,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644465.026,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644465.026,nvme0n1,7378.9,0.0,115.30,0.00,0.08,0.00,61.4,0
1773644465.026,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644465.226,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644465.226,nvme1n1,5.0,0.0,0.08,0.00,0.00,0.00,0.0,0
1773644465.226,nvme0n1,6161.2,0.0,96.27,0.00,0.09,0.00,56.4,0
1773644465.226,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644465.426,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644465.426,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644465.426,nvme0n1,6321.7,0.0,98.78,0.00,0.09,0.00,56.4,0
1773644465.426,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644465.627,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644465.627,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644465.627,nvme0n1,7068.7,0.0,110.45,0.00,0.08,0.00,55.9,0
1773644465.627,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644465.847,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644465.847,nvme1n1,4.5,68.2,0.07,0.28,0.00,0.00,0.5,0
1773644465.847,nvme0n1,5851.3,0.0,91.43,0.00,0.09,0.00,52.7,0
1773644465.847,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644466.047,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644466.047,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644466.047,nvme0n1,6625.0,0.0,103.52,0.00,0.09,0.00,58.4,0
1773644466.047,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644466.248,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644466.248,nvme1n1,5.0,0.0,0.08,0.00,0.00,0.00,0.0,0
1773644466.248,nvme0n1,6704.4,0.0,104.76,0.00,0.09,0.00,58.9,0
1773644466.248,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644466.448,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644466.448,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1773644466.448,nvme0n1,6833.3,0.0,106.77,0.00,0.08,0.00,54.4,0
