timestamp,total_mb,used_mb,free_mb,available_mb,buffers_mb,cached_mb,swap_used_mb,swap_free_mb,dirty_mb,writeback_mb
1773644463.797,94177,8776,80041,80087,217,5144,0,138454,0.7,0.0
1773644463.998,94177,8814,79979,80053,217,5166,0,138454,0.7,0.0
1773644464.198,94177,8851,79922,80022,217,5187,0,138454,0.7,0.0
1773644464.398,94177,8897,79858,79985,217,5206,0,138454,0.7,0.0
1773644464.599,94177,8937,79797,79953,217,5227,0,138454,0.7,0.0
1773644464.825,94177,8992,79718,79905,217,5250,0,138454,0.7,0.0
1773644465.026,94177,9023,79663,79876,217,5273,0,138454,0.7,0.0
1773644465.226,94177,9055,79613,79851,217,5292,0,138454,0.7,0.0
1773644465.426,94177,9095,79553,79820,217,5312,0,138454,0.7,0.0
1773644465.627,94177,9134,79492,79787,217,5335,0,138454,0.7,0.0
1773644465.847,94177,9187,79418,79746,217,5355,0,138454,0.7,0.0
1773644466.047,94177,9221,79364,79719,217,5376,0,138454,0.7,0.0
1773644466.248,94177,9271,79293,79675,217,5397,0,138454,0.7,0.0
1773644466.448,94177,9301,79241,79652,217,5418,0,138454,0.7,0.0
1773644466.649,94177,9351,79169,79610,217,5440,0,138454,0.7,0.0
1773644466.868,94177,9386,79111,79582,217,5463,0,138454,0.7,0.0
1773644467.069,94177,9421,79055,79553,217,5484,0,138454,0.7,0.0
1773644467.269,94177,9450,79006,79531,217,5505,0,138454,0.7,0.0
1773644467.470,94177,9491,78944,79498,217,5525,0,138454,0.7,0.0
1773644467.670,94177,9529,78885,79469,217,5546,0,138454,0.7,0.0
1773644467.891,94177,9587,78803,79424,217,5570,0,138454,0.7,0.0
1773644468.092,94177,9615,78754,79404,217,5590,0,138454,0.7,0.0
1773644468.292,94177,9649,78701,79377,217,5610,0,138454,0.7,0.0
1773644468.492,94177,9686,78644,79348,217,5630,0,138454,0.7,0.0
1773644468.693,94177,9717,78592,79322,217,5651,0,138454,0.7,0.0
1773644468.915,94177,9761,78527,79288,217,5673,0,138454,0.7,0.0
1773644469.115,94177,9793,78475,79262,217,5693,0,138454,0.7,0.0
1773644469.316,94177,9826,78419,79236,217,5715,0,138454,0.7,0.0
1773644469.516,94177,9871,78355,79198,217,5734,0,138454,0.7,0.0
1773644469.716,94177,9898,78309,79180,217,5753,0,138454,0.8,0.0
1773644469.942,94177,9957,78225,79130,217,5778,0,138454,0.8,0.0
1773644470.142,94177,9992,78170,79102,217,5799,0,138454,0.8,0.0
1773644470.343,94177,10036,78105,79066,217,5820,0,138454,0.8,0.0
1773644470.543,94177,10071,78049,79037,217,5840,0,138454,0.8,0.0
1773644470.744,94177,10107,77994,79009,217,5859,0,138454,0.8,0.0
1773644470.963,94177,10148,77932,78977,217,5880,0,138454,0.8,0.0
1773644471.164,94177,10183,77878,78949,217,5899,0,138454,0.8,0.0
1773644471.364,94177,10218,77824,78923,217,5919,0,138454,0.8,0.0
1773644471.565,94177,10257,77764,78892,217,5939,0,138454,0.8,0.0
1773644471.765,94177,10295,77706,78863,217,5960,0,138454,0.8,0.0
1773644471.986,94177,10339,77640,78827,217,5981,0,138454,0.8,0.0
1773644472.186,94177,10371,77589,78803,217,6001,0,138454,0.8,0.0
1773644472.387,94177,10414,77524,78767,217,6022,0,138454,0.8,0.0
1773644472.587,94177,10448,77470,78741,217,6042,0,138454,0.8,0.0
1773644472.787,94177,10484,77415,78713,217,6061,0,138454,0.8,0.0
1773644473.006,94177,10534,77342,78672,217,6084,0,138454,0.8,0.0
1773644473.207,94177,10568,77289,78646,217,6103,0,138454,0.8,0.0
1773644473.407,94177,10603,77236,78621,217,6121,0,138454,0.8,0.0
1773644473.608,94177,10647,77175,78589,217,6139,0,138454,0.8,0.0
1773644473.808,94177,10685,77117,78560,217,6158,0,138454,0.8,0.0
1773644474.029,94177,10735,77045,78519,217,6180,0,138454,0.8,0.0
1773644474.229,94177,10775,76982,78485,217,6203,0,138454,0.8,0.0
1773644474.430,94177,10829,76909,78441,217,6223,0,138454,0.8,0.0
1773644474.630,94177,10869,76849,78411,217,6242,0,138454,0.9,0.0
1773644474.831,94177,10908,76790,78381,217,6262,0,138454,0.9,0.0
1773644475.057,94177,10969,76708,78335,217,6283,0,138454,0.9,0.0
1773644475.257,94177,11009,76650,78314,217,6301,0,138454,0.9,0.0
1773644475.458,94177,11048,76592,78293,217,6320,0,138454,0.9,0.0
1773644475.658,94177,11050,76589,78293,217,6322,0,138454,0.9,0.0
1773644475.859,94177,11050,76588,78293,217,6322,0,138454,0.9,0.0
1773644476.079,94177,11050,76588,78293,217,6322,0,138454,0.9,0.0
1773644476.279,94177,11058,76580,78285,217,6322,0,138454,0.9,0.0
1773644476.480,94177,11058,76580,78285,217,6322,0,138454,0.9,0.0
1773644476.680,94177,11059,76579,78285,217,6322,0,138454,0.9,0.0
1773644476.881,94177,11060,76578,78283,217,6322,0,138454,0.9,0.0
1773644477.100,94177,11060,76578,78283,217,6322,0,138454,0.9,0.0
1773644477.301,94177,11061,76577,78283,217,6322,0,138454,0.9,0.0
1773644477.501,94177,11061,76577,78282,217,6322,0,138454,0.9,0.0
1773644477.702,94177,11061,76577,78282,217,6322,0,138454,0.9,0.0
1773644477.902,94177,11062,76576,78281,217,6322,0,138454,0.9,0.0
1773644478.122,94177,11063,76575,78280,217,6322,0,138454,0.9,0.0
1773644478.322,94177,11064,76574,78279,217,6322,0,138454,0.9,0.0
1773644478.523,94177,11064,76574,78279,217,6322,0,138454,0.9,0.0
1773644478.723,94177,11064,76574,78279,217,6322,0,138454,0.9,0.0
1773644478.924,94177,11064,76573,78279,217,6322,0,138454,0.9,0.0
1773644479.145,94177,11065,76573,78278,217,6322,0,138454,0.9,0.0
1773644479.345,94177,11065,76572,78278,217,6322,0,138454,0.9,0.0
1773644479.546,94177,11066,76572,78278,217,6322,0,138454,0.9,0.0
1773644479.746,94177,11066,76571,78277,217,6322,0,138454,0.7,0.0
1773644479.947,94177,11067,76571,78277,217,6322,0,138454,0.7,0.0
1773644480.172,94177,11067,76571,78276,217,6322,0,138454,0.7,0.0
1773644480.372,94177,11067,76570,78276,217,6322,0,138454,0.7,0.0
1773644480.573,94177,11067,76570,78276,217,6322,0,138454,0.7,0.0
1773644480.773,94177,11065,76560,78278,217,6335,0,138454,0.7,0.0
1773644480.974,94177,11324,76057,78273,217,6578,0,138454,0.7,0.0
1773644481.194,94177,11795,75286,78311,217,6879,0,138454,0.7,0.0
1773644481.395,94177,12196,74637,78299,217,7127,0,138454,0.7,0.0
1773644481.595,94177,12671,73859,78285,217,7430,0,138454,0.7,0.0
1773644481.796,94177,13207,73066,78262,217,7687,0,138454,0.7,0.0
1773644481.996,94177,13569,72586,78116,217,7805,0,138454,0.7,0.0
1773644482.217,94177,14120,71733,78111,217,8107,0,138454,0.7,0.0
1773644482.418,94177,14675,70929,78080,217,8356,0,138454,0.7,0.0
1773644482.618,94177,15179,70163,78079,217,8618,0,138454,0.7,0.0
1773644482.819,94177,15615,69522,78020,217,8823,0,138454,0.7,0.0
1773644483.019,94177,15827,69283,77854,217,8850,0,138454,0.7,0.0
1773644483.239,94177,16340,68543,77820,217,9077,0,138454,0.7,0.0
1773644483.440,94177,16878,67747,77782,217,9335,0,138454,0.7,0.0
1773644483.640,94177,17390,66980,77771,217,9590,0,138454,0.7,0.0
1773644483.841,94177,17908,66213,77754,217,9839,0,138454,0.7,0.0
1773644484.041,94177,18422,65441,77734,217,10097,0,138454,0.7,0.0
1773644484.263,94177,18983,64589,77707,217,10388,0,138454,0.7,0.0
1773644484.464,94177,19498,63825,77691,217,10637,0,138454,0.7,0.0
1773644484.664,94177,19996,63063,77665,217,10900,0,138454,0.7,0.0
1773644484.865,94177,20328,62597,77609,217,11035,0,138454,0.7,0.0
1773644485.065,94177,20425,62481,77541,217,11053,0,138454,0.7,0.0
1773644485.289,94177,20608,62288,77380,217,11064,0,138454,0.7,0.0
1773644485.490,94177,20901,61908,77274,217,11152,0,138454,0.7,0.0
1773644485.690,94177,21437,61133,77242,217,11390,0,138454,0.7,0.0
1773644485.891,94177,21950,60363,77212,217,11646,0,138454,0.7,0.0
1773644486.091,94177,22479,59604,77192,217,11877,0,138454,0.7,0.0
1773644486.312,94177,23030,58789,77181,217,12141,0,138454,0.7,0.0
1773644486.512,94177,23562,58024,77147,217,12374,0,138454,0.7,0.0
1773644486.713,94177,24092,57256,77111,217,12612,0,138454,0.7,0.0
1773644486.913,94177,24580,56528,77101,217,12852,0,138454,0.7,0.0
1773644487.114,94177,25085,55792,77077,217,13082,0,138454,0.7,0.0
1773644487.335,94177,25665,54969,77027,217,13326,0,138454,0.6,0.0
1773644487.536,94177,26196,54222,76999,217,13542,0,138454,0.6,0.0
1773644487.736,94177,26730,53480,76978,217,13750,0,138454,0.6,0.0
1773644487.937,94177,27264,52733,76949,217,13963,0,138454,0.6,0.0
1773644488.138,94177,27787,52012,76936,217,14161,0,138454,0.6,0.0
1773644488.359,94177,28371,51195,76891,217,14394,0,138454,0.7,0.0
1773644488.559,94177,28883,50455,76849,217,14621,0,138454,0.7,0.0
1773644488.760,94177,29361,49724,76806,217,14874,0,138454,0.7,0.0
1773644488.960,94177,29743,49158,76766,217,15059,0,138454,0.7,0.0
1773644489.161,94177,29887,49005,76640,217,15068,0,138454,0.7,0.0
1773644489.381,94177,30069,48811,76481,217,15079,0,138454,0.7,0.0
1773644489.581,94177,30211,48664,76349,217,15085,0,138454,0.7,0.0
1773644489.782,94177,30345,48522,76231,217,15093,0,138454,0.7,0.0
1773644489.982,94177,30474,48377,76122,217,15109,0,138454,0.7,0.0
1773644490.183,94177,30612,48225,76002,217,15122,0,138454,0.7,0.0
1773644490.408,94177,30783,48027,75886,217,15150,0,138454,0.7,0.0
1773644490.608,94177,31257,47321,75854,217,15381,0,138454,0.7,0.0
1773644490.809,94177,31746,46660,75846,217,15554,0,138454,0.7,0.0
1773644491.010,94177,32275,45972,75814,217,15713,0,138454,0.7,0.0
1773644491.210,94177,32763,45351,75806,217,15846,0,138454,0.7,0.0
1773644491.430,94177,33004,45036,75803,217,15919,0,138454,0.7,0.0
1773644491.631,94177,33024,45006,75782,217,15930,0,138454,0.7,0.0
1773644491.831,94177,33026,45004,75781,217,15930,0,138454,0.7,0.0
1773644492.032,94177,33026,45004,75781,217,15930,0,138454,0.7,0.0
1773644492.232,94177,33027,45003,75780,217,15930,0,138454,0.7,0.0
1773644492.448,94177,33035,44995,75771,217,15930,0,138454,0.8,0.0
1773644492.648,94177,33035,44995,75771,217,15930,0,138454,0.8,0.0
1773644492.849,94177,33040,44990,75767,217,15930,0,138454,0.8,0.0
1773644493.050,94177,33040,44990,75767,217,15930,0,138454,0.8,0.0
1773644493.250,94177,33040,44990,75766,217,15930,0,138454,0.8,0.0
1773644493.465,94177,33044,44986,75763,217,15930,0,138454,0.3,0.0
1773644493.665,94177,33044,44986,75763,217,15930,0,138454,0.3,0.0
1773644493.866,94177,33044,44986,75762,217,15930,0,138454,0.3,0.0
1773644494.066,94177,33044,44986,75762,217,15930,0,138454,0.3,0.0
1773644494.267,94177,33045,44985,75762,217,15930,0,138454,0.3,0.0
1773644494.482,94177,33061,44969,75746,217,15930,0,138454,0.3,0.0
1773644494.683,94177,33063,44967,75744,217,15930,0,138454,0.3,0.0
1773644494.883,94177,33063,44967,75744,217,15930,0,138454,0.3,0.0
1773644495.084,94177,33071,44959,75735,217,15930,0,138454,0.3,0.0
1773644495.285,94177,33071,44959,75735,217,15930,0,138454,0.3,0.0
1773644495.507,94177,33076,44954,75731,217,15930,0,138454,0.3,0.0
1773644495.707,94177,33076,44954,75731,217,15930,0,138454,0.4,0.0
1773644495.908,94177,33076,44954,75731,217,15930,0,138454,0.4,0.0
1773644496.108,94177,33076,44954,75731,217,15930,0,138454,0.4,0.0
1773644496.309,94177,33079,44898,75727,217,15982,0,138454,0.4,0.0
1773644496.526,94177,33084,44840,75723,217,16036,0,138454,0.4,0.0
1773644496.726,94177,33162,44761,75644,217,16036,0,138454,0.4,0.0
1773644496.927,94177,33160,44757,75646,217,16042,0,138454,7.8,0.0
1773644497.127,94177,33113,44250,75693,217,16597,0,138454,0.3,0.0
1773644497.329,94177,33160,41726,75647,217,19074,0,138454,0.3,0.0
1773644497.573,94177,33428,38742,75377,217,21789,0,138454,0.1,0.3
1773644497.773,94177,33485,36082,75321,217,24393,0,138454,0.3,0.0
1773644497.975,94177,33554,33379,75252,217,27027,0,138454,0.3,0.0
1773644498.176,94177,33596,30721,75210,217,29643,0,138454,0.3,0.0
1773644498.377,94177,33632,30360,75190,217,29967,0,138454,0.3,0.0
1773644498.595,94177,33660,30332,75187,217,29967,0,138454,0.3,0.0
1773644498.795,94177,33684,30308,75185,217,29967,0,138454,0.3,0.0
1773644498.996,94177,33709,30284,75183,217,29967,0,138454,0.3,0.0
1773644499.197,94177,33732,30260,75181,217,29967,0,138454,0.3,0.0
1773644499.397,94177,33755,30237,75180,217,29967,0,138454,0.4,0.0
1773644499.618,94177,33809,30183,75151,217,29967,0,138454,0.4,0.0
1773644499.818,94177,33832,30160,75150,217,29967,0,138454,0.4,0.0
1773644500.019,94177,33856,30136,75148,217,29967,0,138454,0.4,0.0
1773644500.219,94177,33880,30113,75148,217,29967,0,138454,0.4,0.0
1773644500.420,94177,33903,30089,75146,217,29967,0,138454,0.4,0.0
1773644500.641,94177,33930,30063,75144,217,29967,0,138454,0.4,0.0
1773644500.842,94177,33953,30039,75143,217,29967,0,138454,0.4,0.0
1773644501.042,94177,33977,30015,75142,217,29967,0,138454,0.4,0.0
1773644501.243,94177,34001,29992,75140,217,29967,0,138454,0.4,0.0
1773644501.443,94177,34024,29968,75139,217,29967,0,138454,0.4,0.0
1773644501.660,94177,34050,29943,75137,217,29967,0,138454,0.4,0.0
1773644501.860,94177,34073,29919,75136,217,29967,0,138454,0.4,0.0
1773644502.061,94177,34097,29895,75134,217,29967,0,138454,0.4,0.0
1773644502.261,94177,34120,29872,75133,217,29967,0,138454,0.4,0.0
1773644502.462,94177,34143,29849,75131,217,29967,0,138454,0.4,0.0
1773644502.682,94177,34170,29822,75128,217,29967,0,138454,0.4,0.0
1773644502.882,94177,34194,29798,75127,217,29967,0,138454,0.4,0.0
1773644503.083,94177,34219,29774,75124,217,29967,0,138454,0.4,0.0
1773644503.283,94177,34242,29750,75122,217,29967,0,138454,0.4,0.0
1773644503.484,94177,34267,29725,75119,217,29967,0,138454,0.4,0.0
1773644503.700,94177,34299,29693,75111,217,29967,0,138454,0.6,0.0
1773644503.901,94177,34323,29669,75109,217,29967,0,138454,0.6,0.0
1773644504.101,94177,34345,29647,75108,217,29967,0,138454,0.6,0.0
1773644504.302,94177,34369,29624,75106,217,29967,0,138454,0.6,0.0
1773644504.502,94177,34392,29600,75105,217,29967,0,138454,0.6,0.0
1773644504.719,94177,34417,29575,75103,217,29967,0,138454,0.6,0.0
1773644504.919,94177,34440,29553,75102,217,29967,0,138454,0.6,0.0
1773644505.120,94177,34463,29530,75100,217,29967,0,138454,0.6,0.0
1773644505.320,94177,34486,29506,75099,217,29967,0,138454,0.6,0.0
1773644505.521,94177,34509,29484,75097,217,29967,0,138454,0.6,0.0
1773644505.745,94177,34534,29458,75095,217,29967,0,138454,0.6,0.0
1773644505.946,94177,34557,29435,75093,217,29967,0,138454,0.6,0.0
1773644506.146,94177,34580,29412,75092,217,29967,0,138454,0.6,0.0
1773644506.347,94177,34602,29390,75091,217,29967,0,138454,0.6,0.0
1773644506.547,94177,34626,29367,75089,217,29967,0,138454,0.6,0.0
1773644506.766,94177,34650,29342,75088,217,29967,0,138454,0.6,0.0
1773644506.967,94177,34673,29320,75087,217,29967,0,138454,0.6,0.0
1773644507.167,94177,34695,29297,75085,217,29967,0,138454,0.6,0.0
1773644507.368,94177,34719,29274,75083,217,29967,0,138454,0.6,0.0
1773644507.568,94177,34741,29251,75082,217,29967,0,138454,0.6,0.0
1773644507.786,94177,34773,29219,75060,217,29968,0,138454,0.6,0.0
1773644507.986,94177,34777,29213,75057,217,29971,0,138454,2.7,0.0
1773644508.187,94177,34783,29196,75051,217,29981,0,138454,12.4,0.0
1773644508.387,94177,34994,28978,74841,217,29988,0,138454,20.1,0.0
1773644508.587,94177,35396,28566,74440,217,29997,0,138454,28.4,0.0
1773644508.804,94177,35896,28056,73942,217,30008,0,138454,38.8,0.0
1773644509.005,94177,36179,27767,73660,217,30014,0,138454,45.4,0.0
1773644509.205,94177,36179,27763,73660,217,30018,0,138454,49.1,0.0
1773644509.406,94177,36212,27729,73627,217,30018,0,138454,49.7,0.0
1773644509.607,94177,36449,27486,73391,217,30024,0,138454,55.9,0.0
1773644509.825,94177,36526,27403,73315,217,30031,0,138454,62.4,0.0
1773644510.025,94177,36619,27306,73222,217,30035,0,138454,66.2,0.0
1773644510.226,94177,36604,27316,73238,217,30040,0,138454,71.3,0.0
1773644510.426,94177,36688,27229,73154,217,30043,0,138454,74.5,0.0
1773644510.627,94177,36688,27229,73154,217,30043,0,138454,74.6,0.0
1773644510.856,94177,36688,27228,73154,217,30043,0,138454,74.6,0.0
1773644511.056,94177,36689,27228,73153,217,30043,0,138454,74.6,0.0
1773644511.257,94177,36689,27227,73153,217,30043,0,138454,74.6,0.0
1773644511.458,94177,36689,27227,73153,217,30043,0,138454,73.9,0.0
1773644511.658,94177,36689,27227,73153,217,30043,0,138454,74.0,0.0
1773644511.879,94177,36689,27227,73153,217,30043,0,138454,73.9,0.0
1773644512.080,94177,36689,27227,73153,217,30043,0,138454,73.9,0.0
1773644512.280,94177,36689,27227,73153,217,30043,0,138454,73.9,0.0
1773644512.481,94177,36689,27227,73153,217,30043,0,138454,73.9,0.0
1773644512.682,94177,36681,27235,73161,217,30043,0,138454,73.9,0.0
1773644512.903,94177,36681,27235,73161,217,30043,0,138454,73.9,0.0
1773644513.104,94177,36681,27235,73161,217,30043,0,138454,73.9,0.0
1773644513.304,94177,36681,27235,73161,217,30043,0,138454,73.9,0.0
1773644513.505,94177,36800,27115,73042,217,30044,0,138454,74.8,0.0
1773644513.705,94177,36726,27188,73116,217,30045,0,138454,76.0,0.0
1773644513.929,94177,36880,27021,72963,217,30059,0,138454,89.5,0.0
1773644514.130,94177,36946,26950,72899,217,30064,0,138454,94.5,0.0
1773644514.331,94177,36876,27014,72969,217,30070,0,138454,100.4,0.0
1773644514.531,94177,36995,26889,72851,217,30075,0,138454,106.1,0.0
1773644514.732,94177,37033,26850,72813,217,30076,0,138454,107.0,0.0
1773644514.954,94177,37105,26766,72742,217,30088,0,138454,118.9,0.0
1773644515.154,94177,37005,26863,72843,217,30092,0,138454,123.0,0.0
1773644515.355,94177,36898,26965,72951,217,30097,0,138454,127.4,0.0
1773644515.555,94177,36859,26996,72991,217,30105,0,138454,135.9,0.0
1773644515.756,94177,36904,26939,72947,217,30117,0,138454,148.1,0.0
1773644515.979,94177,36937,26894,72916,217,30129,0,138454,159.7,0.0
1773644516.180,94177,37024,26792,72832,217,30144,0,138454,174.4,0.0
1773644516.381,94177,37166,26640,72690,217,30154,0,138454,184.4,0.0
1773644516.581,94177,37105,26692,72753,217,30163,0,138454,193.9,0.0
1773644516.782,94177,37204,26588,72655,217,30168,0,138454,199.2,0.0
1773644517.001,94177,37391,26389,72469,217,30180,0,138454,210.8,0.0
1773644517.201,94177,37571,26196,72291,217,30193,0,138454,223.5,0.0
1773644517.402,94177,37644,26107,72218,217,30209,0,138454,239.5,0.0
1773644517.602,94177,37452,26290,72413,217,30218,0,138454,249.1,0.0
1773644517.803,94177,37657,26078,72208,217,30225,0,138454,255.9,0.0
1773644518.024,94177,37725,26004,72141,217,30231,0,138454,262.3,0.0
1773644518.225,94177,37862,25854,72006,217,30243,0,138454,274.2,0.0
1773644518.425,94177,37938,25774,71930,217,30247,0,138454,278.2,0.0
1773644518.626,94177,38061,25642,71809,217,30258,0,138454,288.4,0.0
1773644518.826,94177,38034,25661,71836,217,30265,0,138454,296.0,0.0
1773644519.050,94177,38325,25351,71548,217,30284,0,138454,314.6,0.0
1773644519.250,94177,38413,25249,71461,217,30297,0,138454,327.7,0.0
1773644519.451,94177,38474,25175,71402,217,30310,0,138454,341.3,0.0
1773644519.651,94177,38578,25059,71299,217,30323,0,138454,353.5,0.0
1773644519.852,94177,38368,25259,71511,217,30333,0,138454,364.2,0.0
1773644520.072,94177,38331,25278,71550,217,30350,0,138454,381.2,0.0
1773644520.273,94177,38403,25194,71479,217,30363,0,138454,393.7,0.0
1773644520.473,94177,38566,25019,71317,217,30374,0,138454,405.3,0.0
1773644520.674,94177,38665,24906,71221,217,30389,0,138454,420.1,0.0
1773644520.875,94177,38736,24828,71150,217,30395,0,138454,426.2,0.0
1773644521.100,94177,38874,24679,71013,217,30406,0,138454,437.1,0.0
1773644521.300,94177,38747,24799,71142,217,30414,0,138454,444.6,0.0
1773644521.501,94177,38910,24627,70979,217,30423,0,138454,453.4,0.0
1773644521.702,94177,38718,24809,71173,217,30433,0,138454,463.6,0.0
1773644521.902,94177,38700,24813,71192,217,30447,0,138454,478.2,0.0
1773644522.125,94177,38659,24844,71235,217,30457,0,138454,488.2,0.0
1773644522.325,94177,38553,24940,71341,217,30467,0,138454,497.6,0.0
