timestamp,pid,name,cpu_pct,rss_mb,io_read_mbs,io_write_mbs,threads
1773644465.627,8700,xearthlayer,38.9,20,103.75,0.00,4
1773644465.627,9796,python3[X-Plane],0.0,14,0.00,0.00,1
1773644466.649,8700,xearthlayer,41.1,20,103.29,0.00,4
1773644466.649,9796,python3[X-Plane],0.0,14,0.00,0.00,1
1773644467.670,8700,xearthlayer,42.1,20,102.85,0.00,4
1773644467.670,9796,python3[X-Plane],0.0,14,0.00,0.00,1
1773644468.693,8700,xearthlayer,41.1,20,102.27,0.00,4
1773644468.693,9796,python3[X-Plane],0.0,14,0.00,0.00,1
1773644469.716,8700,xearthlayer,41.0,20,100.17,0.00,4
1773644469.716,9796,python3[X-Plane],0.0,14,0.00,0.00,1
1773644470.744,8700,xearthlayer,39.9,20,101.69,0.00,4
1773644470.744,9796,python3[X-Plane],0.0,14,0.00,0.00,1
1773644471.765,8700,xearthlayer,43.1,20,98.39,0.00,4
1773644471.765,9796,python3[X-Plane],0.0,14,0.00,0.00,1
1773644472.787,8700,xearthlayer,40.1,20,99.36,0.00,4
1773644472.787,9796,python3[X-Plane],0.0,14,0.00,0.00,1
1773644473.808,8700,xearthlayer,43.1,20,94.23,0.00,4
1773644473.808,9796,python3[X-Plane],0.0,14,0.00,0.00,1
1773644474.831,8700,xearthlayer,42.0,20,102.33,0.00,4
1773644474.831,9796,python3[X-Plane],0.0,14,0.00,0.00,1
1773644475.859,8700,xearthlayer,64.2,20,56.01,0.00,4
1773644475.859,9796,python3[X-Plane],0.0,14,0.00,0.00,1
1773644476.881,8700,xearthlayer,100.8,20,0.00,0.00,4
1773644476.881,9796,python3[X-Plane],0.0,14,0.00,0.00,1
1773644477.902,8700,xearthlayer,99.9,20,0.00,0.00,4
1773644477.902,9796,python3[X-Plane],0.0,14,0.00,0.00,1
1773644478.924,8700,xearthlayer,99.8,20,0.00,0.00,4
1773644478.924,9796,python3[X-Plane],0.0,14,0.00,0.00,1
1773644479.947,8700,xearthlayer,101.7,20,0.00,0.00,4
1773644479.947,9796,python3[X-Plane],0.0,14,0.00,0.00,1
1773644480.974,8700,xearthlayer,160.7,68,274.45,0.00,37
1773644480.974,9796,python3[X-Plane],0.0,14,0.00,0.00,1
1773644481.996,8700,xearthlayer,678.0,347,1198.24,0.00,37
1773644481.996,9796,python3[X-Plane],0.0,14,0.00,0.00,1
1773644483.019,8700,xearthlayer,672.4,668,997.58,0.00,37
1773644483.019,9796,python3[X-Plane],0.0,14,0.00,0.00,1
1773644484.041,8700,xearthlayer,839.3,688,1249.41,0.00,37
1773644484.041,9796,python3[X-Plane],0.0,14,0.00,0.00,1
1773644485.065,8700,xearthlayer,648.5,909,903.18,0.00,37
