timestamp,cpu_some10,cpu_some60,mem_some10,mem_some60,mem_full10,mem_full60,io_some10,io_some60,io_full10,io_full60
1773644464.599,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644465.627,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644466.649,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644467.670,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644468.693,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644469.716,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644470.744,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644471.765,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644472.787,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644473.808,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644474.831,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644475.859,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644476.881,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644477.902,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644478.924,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644479.947,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644480.974,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644481.996,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644483.019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644484.041,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644485.065,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644486.091,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644487.114,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644488.138,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644489.161,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644490.183,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644491.210,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644492.232,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644493.250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644494.267,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644495.285,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644496.309,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644497.329,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644498.377,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644499.397,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644500.420,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644501.443,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644502.462,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644503.484,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644504.502,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644505.521,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644506.547,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644507.568,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644508.587,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644509.607,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644510.627,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644511.658,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644512.682,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644513.705,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644514.732,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644515.756,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644516.782,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644517.803,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644518.826,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644519.852,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644520.875,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644521.902,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644522.927,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644523.951,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644524.976,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644525.998,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644527.028,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644528.050,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644529.075,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644530.097,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644531.117,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644532.144,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644533.167,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644534.190,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644535.217,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644536.238,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644537.272,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644538.295,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644539.321,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644540.344,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644541.369,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644542.400,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644543.421,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644544.442,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644545.467,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644546.492,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644547.523,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644548.546,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644549.569,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644550.592,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644551.616,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644552.643,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644553.665,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644554.690,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644555.715,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644556.741,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644557.774,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644558.797,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644559.820,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644560.844,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644561.868,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644562.899,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644563.924,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644564.947,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644565.977,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644566.999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644568.027,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644569.048,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644570.066,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644571.086,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644572.104,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644573.130,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644574.151,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644575.170,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644576.194,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644577.216,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644578.242,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
