WARNING: BPFTRACE_MAP_KEYS_MAX is deprecated. Use BPFTRACE_MAX_MAP_KEYS instead.
Attaching 2 probes...
08:02:45 pid=187 comm=kworker/u65:0 fence_wait_ms=6
08:02:47 pid=187 comm=kworker/u65:0 fence_wait_ms=6
08:02:47 pid=162 comm=kworker/2:1 fence_wait_ms=6
08:02:47 pid=187 comm=kworker/u65:0 fence_wait_ms=6
08:02:50 pid=414 comm=kworker/u65:1 fence_wait_ms=6
08:02:51 pid=521 comm=kworker/6:2 fence_wait_ms=6
08:02:51 pid=414 comm=kworker/u65:1 fence_wait_ms=6
08:02:52 pid=173 comm=kworker/13:1 fence_wait_ms=6
08:02:53 pid=414 comm=kworker/u65:1 fence_wait_ms=6
08:02:54 pid=414 comm=kworker/u65:1 fence_wait_ms=6
08:02:56 pid=414 comm=kworker/u65:1 fence_wait_ms=6
08:02:57 pid=2429 comm=kworker/u65:2 fence_wait_ms=6
08:02:57 pid=2429 comm=kworker/u65:2 fence_wait_ms=6
08:02:58 pid=2429 comm=kworker/u65:2 fence_wait_ms=6
08:02:59 pid=13515 comm=kworker/1:3 fence_wait_ms=6
08:02:59 pid=2429 comm=kworker/u65:2 fence_wait_ms=7
08:03:00 pid=2429 comm=kworker/u65:2 fence_wait_ms=6
08:03:00 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:03 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:04 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:04 pid=226 comm=kworker/2:2 fence_wait_ms=6
08:03:04 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:04 pid=226 comm=kworker/2:2 fence_wait_ms=6
08:03:04 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:04 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:06 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:07 pid=2429 comm=kworker/u65:2 fence_wait_ms=6
08:03:09 pid=2429 comm=kworker/u65:2 fence_wait_ms=6
08:03:09 pid=2429 comm=kworker/u65:2 fence_wait_ms=6
08:03:10 pid=13547 comm=kworker/0:6 fence_wait_ms=6
08:03:10 pid=2429 comm=kworker/u65:2 fence_wait_ms=6
08:03:10 pid=226 comm=kworker/2:2 fence_wait_ms=6
08:03:10 pid=13533 comm=kworker/4:4 fence_wait_ms=6
08:03:11 pid=13549 comm=kworker/0:7 fence_wait_ms=6
08:03:11 pid=2429 comm=kworker/u65:2 fence_wait_ms=6
08:03:14 pid=2429 comm=kworker/u65:2 fence_wait_ms=6
08:03:14 pid=2429 comm=kworker/u65:2 fence_wait_ms=6
08:03:15 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:15 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:22 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:23 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:23 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:23 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:24 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:26 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:26 pid=226 comm=kworker/2:2 fence_wait_ms=6
08:03:29 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:30 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:30 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:30 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:31 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:31 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:31 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:34 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:34 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:34 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:34 pid=334 comm=kworker/1:2 fence_wait_ms=6
08:03:34 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:35 pid=13549 comm=kworker/0:7 fence_wait_ms=6
08:03:35 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:35 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:35 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:36 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:38 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:39 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:39 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:41 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:44 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:45 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:45 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:46 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:48 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:49 pid=2908 comm=kworker/1:0 fence_wait_ms=6
08:03:49 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:49 pid=13549 comm=kworker/0:7 fence_wait_ms=6
08:03:49 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:49 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:50 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:51 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:03:52 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:04:00 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:04:00 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:06:28 pid=174 comm=kworker/15:1 fence_wait_ms=18
08:06:28 pid=13279 comm=kworker/8:0 fence_wait_ms=6
08:06:28 pid=11872 comm=kworker/10:2 fence_wait_ms=6
08:06:28 pid=165 comm=kworker/5:1 fence_wait_ms=6
08:06:28 pid=521 comm=kworker/6:2 fence_wait_ms=6
08:06:32 pid=2282 comm=kworker/2:0 fence_wait_ms=23
08:06:32 pid=13093 comm=kworker/9:2 fence_wait_ms=24
08:06:32 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:06:32 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:06:32 pid=2282 comm=kworker/2:0 fence_wait_ms=6
08:06:32 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:06:32 pid=13516 comm=kworker/u65:5 fence_wait_ms=7
08:06:33 pid=13093 comm=kworker/9:2 fence_wait_ms=6
08:06:33 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:06:33 pid=13093 comm=kworker/9:2 fence_wait_ms=6
08:06:33 pid=2282 comm=kworker/2:0 fence_wait_ms=6
08:06:33 pid=172 comm=kworker/11:1 fence_wait_ms=6
08:06:33 pid=11583 comm=kworker/3:3 fence_wait_ms=6
08:06:34 pid=11872 comm=kworker/10:2 fence_wait_ms=24
08:06:34 pid=2907 comm=kworker/7:0 fence_wait_ms=23
08:06:34 pid=2678 comm=kworker/14:2 fence_wait_ms=25
08:06:35 pid=2907 comm=kworker/7:0 fence_wait_ms=6
08:06:35 pid=521 comm=kworker/6:2 fence_wait_ms=25
08:06:35 pid=11872 comm=kworker/10:2 fence_wait_ms=6
08:06:36 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:06:36 pid=14396 comm=kworker/13:0 fence_wait_ms=6
08:06:36 pid=14396 comm=kworker/13:0 fence_wait_ms=6
08:06:36 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:06:37 pid=521 comm=kworker/6:2 fence_wait_ms=6
08:06:37 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
08:06:37 pid=334 comm=kworker/1:2 fence_wait_ms=25
08:06:37 pid=2282 comm=kworker/2:0 fence_wait_ms=6
08:06:37 pid=2282 comm=kworker/2:0 fence_wait_ms=6
08:06:40 pid=13093 comm=kworker/9:2 fence_wait_ms=25
08:06:40 pid=2907 comm=kworker/7:0 fence_wait_ms=6
08:06:40 pid=171 comm=kworker/12:1 fence_wait_ms=6
08:06:41 pid=172 comm=kworker/11:1 fence_wait_ms=6
08:06:41 pid=13516 comm=kworker/u65:5 fence_wait_ms=6
