timestamp,mem_used_mib,mem_total_mib,mem_free_mib,temp_c,gpu_util_pct,mem_util_pct,gpu_clock_mhz,mem_clock_mhz,power_w,pcie_tx_kbs,pcie_rx_kbs,throttle_reasons,perf_state
1773644464.599,1581, 24564, 22492, 36, 4, 35, 210, 405, 20.77, P8, 0, 0, 0
1773644465.627,1581, 24564, 22492, 36, 4, 32, 210, 405, 20.76, P8, 0, 0, 0
1773644466.649,1581, 24564, 22492, 36, 2, 28, 210, 405, 20.55, P8, 0, 0, 0
1773644467.670,1581, 24564, 22492, 36, 4, 27, 210, 405, 20.73, P8, 0, 0, 0
1773644468.693,1581, 24564, 22492, 36, 2, 37, 210, 405, 21.03, P8, 0, 0, 0
1773644469.716,1581, 24564, 22492, 36, 4, 28, 210, 405, 20.93, P8, 0, 0, 0
1773644470.744,1581, 24564, 22492, 36, 4, 30, 210, 405, 20.72, P8, 0, 0, 0
1773644471.765,1581, 24564, 22492, 36, 4, 30, 210, 405, 20.44, P8, 0, 0, 0
1773644472.787,1581, 24564, 22492, 36, 4, 32, 210, 405, 20.42, P8, 0, 0, 0
1773644473.808,1581, 24564, 22492, 36, 3, 27, 210, 405, 20.44, P8, 0, 0, 0
1773644474.831,1581, 24564, 22492, 37, 5, 31, 210, 405, 20.69, P8, 0, 0, 0
1773644475.859,1581, 24564, 22492, 37, 4, 31, 210, 405, 20.67, P8, 0, 0, 0
1773644476.881,1581, 24564, 22492, 37, 4, 33, 210, 405, 20.61, P8, 0, 0, 0
1773644477.902,1581, 24564, 22492, 37, 4, 30, 210, 405, 20.53, P8, 0, 0, 0
1773644478.924,1581, 24564, 22492, 37, 4, 34, 210, 405, 20.38, P8, 0, 0, 0
1773644479.947,1581, 24564, 22492, 37, 4, 33, 210, 405, 20.57, P8, 0, 0, 0
1773644480.974,1581, 24564, 22492, 37, 6, 30, 210, 405, 20.55, P8, 0, 0, 0
1773644481.996,1581, 24564, 22492, 37, 4, 34, 210, 405, 20.75, P8, 0, 0, 0
1773644483.019,1581, 24564, 22492, 37, 4, 26, 210, 405, 20.34, P8, 0, 0, 0
1773644484.041,1581, 24564, 22492, 37, 5, 31, 210, 405, 20.48, P8, 0, 0, 0
1773644485.065,1581, 24564, 22492, 37, 5, 34, 210, 405, 20.65, P8, 0, 0, 0
1773644486.091,1581, 24564, 22492, 37, 5, 33, 210, 405, 20.78, P8, 0, 0, 0
1773644487.114,1581, 24564, 22492, 37, 2, 31, 210, 405, 20.50, P8, 0, 0, 0
1773644488.138,1581, 24564, 22492, 37, 4, 32, 210, 405, 20.57, P8, 0, 0, 0
1773644489.161,1581, 24564, 22492, 37, 4, 31, 210, 405, 20.28, P8, 0, 0, 0
1773644490.183,1581, 24564, 22492, 37, 4, 32, 210, 405, 20.36, P8, 0, 0, 0
1773644491.210,1581, 24564, 22492, 37, 2, 27, 210, 405, 20.44, P8, 0, 0, 0
1773644492.232,1596, 24564, 22476, 38, 3, 15, 2565, 10501, 51.99, P0, 0, 0, 0
1773644493.250,1596, 24564, 22476, 38, 0, 1, 2565, 10501, 66.83, P0, 0, 0, 0
1773644494.267,1596, 24564, 22476, 39, 0, 1, 2565, 10501, 67.36, P0, 0, 0, 0
1773644495.285,1596, 24564, 22476, 38, 0, 1, 450, 810, 49.59, P5, 0, 0, 0
1773644496.309,1596, 24564, 22476, 37, 2, 11, 285, 810, 34.05, P5, 0, 0, 0
1773644497.329,1581, 24564, 22492, 37, 3, 12, 210, 810, 28.82, P8, 0, 0, 0
1773644498.377,1581, 24564, 22492, 37, 4, 35, 210, 405, 20.54, P8, 0, 0, 0
1773644499.397,1581, 24564, 22492, 37, 3, 29, 210, 405, 20.24, P8, 0, 0, 0
1773644500.420,1581, 24564, 22492, 37, 0, 25, 210, 405, 19.33, P8, 0, 0, 0
1773644501.443,1581, 24564, 22492, 37, 0, 29, 210, 405, 19.11, P8, 0, 0, 0
1773644502.462,1581, 24564, 22492, 37, 0, 28, 210, 405, 18.94, P8, 0, 0, 0
1773644503.484,1581, 24564, 22492, 37, 1, 25, 210, 405, 19.33, P8, 0, 0, 0
1773644504.502,1581, 24564, 22492, 37, 0, 30, 210, 405, 19.36, P8, 0, 0, 0
1773644505.521,1581, 24564, 22492, 37, 0, 23, 210, 405, 20.05, P8, 0, 0, 0
1773644506.547,1581, 24564, 22492, 37, 2, 33, 210, 405, 20.34, P8, 0, 0, 0
1773644507.568,1581, 24564, 22492, 37, 0, 33, 210, 405, 20.45, P8, 0, 0, 0
1773644508.587,1581, 24564, 22492, 37, 0, 39, 210, 405, 20.04, P8, 0, 0, 0
1773644509.607,1581, 24564, 22492, 37, 0, 37, 210, 405, 20.17, P8, 0, 0, 0
1773644510.627,1581, 24564, 22492, 37, 0, 29, 210, 405, 19.81, P8, 0, 0, 0
1773644511.658,1581, 24564, 22492, 37, 0, 39, 210, 405, 20.11, P8, 0, 0, 0
1773644512.682,1581, 24564, 22492, 37, 0, 39, 210, 405, 20.43, P8, 0, 0, 0
1773644513.705,1581, 24564, 22492, 37, 0, 45, 210, 405, 20.36, P8, 0, 0, 0
1773644514.732,1581, 24564, 22492, 37, 2, 35, 210, 405, 20.22, P8, 0, 0, 0
1773644515.756,1581, 24564, 22492, 37, 0, 41, 210, 405, 20.53, P8, 0, 0, 0
1773644516.782,1581, 24564, 22492, 37, 3, 42, 210, 405, 20.46, P8, 0, 0, 0
1773644517.803,1581, 24564, 22492, 37, 9, 31, 210, 405, 20.38, P8, 0, 0, 0
1773644518.826,1581, 24564, 22492, 37, 2, 33, 210, 405, 20.59, P8, 0, 0, 0
1773644519.852,1581, 24564, 22492, 37, 0, 27, 210, 405, 19.90, P8, 0, 0, 0
1773644520.875,1581, 24564, 22492, 37, 0, 25, 210, 405, 19.93, P8, 0, 0, 0
1773644521.902,1581, 24564, 22492, 37, 0, 32, 210, 405, 19.85, P8, 0, 0, 0
1773644522.927,1581, 24564, 22492, 37, 0, 30, 210, 405, 20.24, P8, 0, 0, 0
1773644523.951,1581, 24564, 22492, 37, 0, 34, 210, 405, 20.76, P8, 0, 0, 0
1773644524.976,1581, 24564, 22492, 37, 0, 36, 210, 405, 20.69, P8, 0, 0, 0
1773644525.998,1581, 24564, 22492, 37, 0, 29, 210, 405, 19.86, P8, 0, 0, 0
1773644527.028,1581, 24564, 22492, 37, 0, 27, 210, 405, 19.64, P8, 0, 0, 0
1773644528.050,1581, 24564, 22492, 37, 0, 26, 210, 405, 19.41, P8, 0, 0, 0
1773644529.075,1581, 24564, 22492, 37, 0, 25, 210, 405, 19.40, P8, 0, 0, 0
1773644530.097,1581, 24564, 22492, 37, 0, 27, 210, 405, 19.29, P8, 0, 0, 0
1773644531.117,1581, 24564, 22492, 37, 0, 28, 210, 405, 19.22, P8, 0, 0, 0
1773644532.144,1581, 24564, 22492, 37, 0, 26, 210, 405, 19.42, P8, 0, 0, 0
1773644533.167,1581, 24564, 22492, 37, 0, 19, 210, 405, 19.64, P8, 0, 0, 0
1773644534.190,1581, 24564, 22492, 37, 3, 33, 210, 405, 19.94, P8, 0, 0, 0
1773644535.217,1581, 24564, 22492, 37, 0, 28, 210, 405, 19.91, P8, 0, 0, 0
1773644536.238,1581, 24564, 22492, 37, 0, 29, 210, 405, 20.22, P8, 0, 0, 0
1773644537.272,1581, 24564, 22492, 37, 0, 26, 210, 405, 20.04, P8, 0, 0, 0
1773644538.295,1581, 24564, 22492, 37, 0, 33, 210, 405, 20.07, P8, 0, 0, 0
1773644539.321,1581, 24564, 22492, 37, 2, 33, 210, 405, 20.54, P8, 0, 0, 0
1773644540.344,1581, 24564, 22492, 37, 6, 37, 210, 405, 19.85, P8, 0, 0, 0
1773644541.369,1581, 24564, 22492, 37, 2, 33, 210, 405, 19.59, P8, 0, 0, 0
1773644542.400,1581, 24564, 22492, 37, 0, 26, 210, 405, 19.56, P8, 0, 0, 0
1773644543.421,1581, 24564, 22492, 37, 0, 25, 210, 405, 19.19, P8, 0, 0, 0
1773644544.442,1581, 24564, 22492, 37, 0, 28, 210, 405, 19.40, P8, 0, 0, 0
1773644545.467,1581, 24564, 22492, 37, 0, 30, 210, 405, 19.44, P8, 0, 0, 0
1773644546.492,1581, 24564, 22492, 37, 2, 27, 210, 405, 19.57, P8, 0, 0, 0
1773644547.523,1581, 24564, 22491, 37, 0, 24, 210, 405, 19.68, P8, 0, 0, 0
1773644548.546,1581, 24564, 22491, 37, 0, 28, 210, 405, 20.09, P8, 0, 0, 0
1773644549.569,1581, 24564, 22491, 37, 0, 28, 210, 405, 19.78, P8, 0, 0, 0
1773644550.592,1581, 24564, 22491, 37, 0, 28, 210, 405, 20.19, P8, 0, 0, 0
1773644551.616,1581, 24564, 22491, 37, 0, 31, 210, 405, 20.31, P8, 0, 0, 0
