timestamp,rel_s,fps,frame_time_ms,cpu_time_ms,gpu_time_ms,lat,lon,elev_m,agl_m,gs_kts,ias_kts,sim_time_s,paused
1773644968.804,4.10,19.9,50.25,48.54,1.71,-37.671200,144.846359,134.7,-0.1,1.0,0.3,0.3,0
1773644969.010,4.31,49.3,20.28,18.57,1.71,-37.671200,144.846359,134.7,-0.1,0.2,0.7,0.5,0
1773644969.255,4.56,19.9,50.25,48.54,1.71,-37.671200,144.846359,134.7,-0.1,0.2,1.3,0.7,0
1773644969.465,4.77,37.8,26.42,0.00,935.82,-37.671200,144.846359,134.7,-0.1,0.2,1.8,0.9,0
1773644969.705,5.00,21.5,46.51,0.00,935.82,-37.671200,144.846359,134.7,-0.1,0.1,2.2,1.2,0
1773644969.936,5.24,29.5,33.93,0.00,935.82,-37.671200,144.846359,134.7,-0.1,0.1,2.5,1.4,0
1773644970.145,5.44,29.4,33.98,0.00,935.82,-37.671200,144.846359,134.7,-0.1,0.0,2.7,1.6,0
1773644970.368,5.67,29.3,34.18,0.00,38.80,-37.671200,144.846359,134.7,-0.1,0.0,2.9,1.8,0
1773644970.572,5.87,36.2,27.61,0.00,38.80,-37.671200,144.846359,134.7,-0.1,0.0,2.9,2.0,0
1773644970.797,6.10,30.0,33.34,0.00,38.80,-37.671200,144.846359,134.7,-0.1,0.0,3.0,2.3,0
1773644971.008,6.31,34.4,29.10,0.00,38.80,-37.671200,144.846359,134.7,-0.1,0.0,3.0,2.5,0
1773644971.234,6.53,24.7,40.44,1.64,38.80,-37.671200,144.846359,134.7,-0.1,0.0,3.0,2.7,0
1773644971.466,6.77,30.5,32.77,7.30,25.47,-37.671200,144.846359,134.7,-0.1,0.0,3.1,2.9,0
1773644971.667,6.97,29.4,34.06,8.59,25.47,-37.671200,144.846359,134.7,-0.1,0.0,3.1,3.1,0
1773644971.899,7.20,29.1,34.33,8.87,25.47,-37.671200,144.846359,134.7,-0.1,0.0,3.1,3.4,0
1773644972.130,7.43,31.0,32.21,6.74,25.47,-37.671200,144.846359,134.7,-0.1,0.0,3.1,3.6,0
1773644972.336,7.64,29.7,33.66,6.53,27.13,-37.671200,144.846359,134.7,-0.1,0.0,3.0,3.8,0
1773644972.554,7.85,33.7,29.65,2.52,27.13,-37.671200,144.846359,134.7,-0.1,0.0,3.0,4.0,0
1773644972.765,8.07,21.0,47.70,20.56,27.13,-37.671200,144.846359,134.7,-0.1,0.0,3.0,4.2,0
1773644972.979,8.28,31.7,31.57,4.44,27.13,-37.671200,144.846359,134.7,-0.1,0.0,3.0,4.4,0
1773644973.180,8.48,32.3,30.98,3.85,27.13,-37.671200,144.846359,134.7,-0.1,0.0,3.0,4.6,0
1773644973.394,8.69,35.4,28.27,3.28,24.98,-37.671200,144.846359,134.7,-0.1,0.0,3.0,4.8,0
1773644973.602,8.90,35.2,28.41,3.42,24.98,-37.671200,144.846359,134.7,-0.1,0.0,3.0,5.1,0
1773644973.831,9.13,31.6,31.67,6.68,24.98,-37.671200,144.846359,134.7,-0.1,0.0,3.0,5.3,0
1773644974.065,9.36,29.7,33.62,8.64,24.98,-37.671200,144.846359,134.7,-0.1,0.0,3.0,5.5,0
1773644974.279,9.58,34.0,29.45,4.46,24.98,-37.671200,144.846359,134.7,-0.1,0.0,2.9,5.7,0
1773644975.119,10.42,38.1,26.26,0.00,92.29,-37.671200,144.846359,134.7,-0.1,0.0,2.9,6.0,0
1773644975.346,10.65,39.6,25.23,0.00,92.29,-37.671200,144.846359,134.7,-0.1,0.0,2.9,6.2,0
1773644975.556,10.86,41.1,24.31,10.32,13.99,-37.671200,144.846359,134.7,-0.1,0.0,2.8,6.4,0
1773644975.765,11.07,23.4,42.80,28.81,13.99,-37.671200,144.846359,134.7,-0.1,0.0,2.8,6.6,0
1773644975.965,11.27,29.7,33.66,19.68,13.99,-37.671200,144.846359,134.7,-0.1,0.0,2.7,6.8,0
1773644976.194,11.49,35.3,28.32,14.33,13.99,-37.671200,144.846359,134.7,-0.1,0.0,2.6,7.0,0
1773644976.393,11.69,35.6,28.13,14.14,13.99,-37.671200,144.846359,134.7,-0.1,0.0,2.5,7.2,0
1773644976.598,11.90,30.8,32.49,8.20,24.29,-37.671200,144.846359,134.7,-0.1,0.0,2.3,7.4,0
1773644976.851,12.15,19.9,50.25,25.96,24.29,-37.671200,144.846359,134.7,-0.1,0.0,2.1,7.7,0
1773644977.076,12.38,33.7,29.64,5.35,24.29,-37.671200,144.846359,134.7,-0.1,0.0,2.0,7.9,0
1773644977.307,12.61,34.1,29.30,5.01,24.29,-37.671200,144.846359,134.7,-0.1,0.0,1.9,8.1,0
1773644977.546,12.85,35.6,28.11,0.00,31.12,-37.671200,144.846359,134.7,-0.1,0.0,1.8,8.3,0
1773644977.755,13.05,42.0,23.81,0.00,31.12,-37.671200,144.846359,134.7,-0.1,0.0,1.8,8.5,0
1773644977.976,13.28,27.9,35.88,4.76,31.12,-37.671200,144.846359,134.7,-0.1,0.0,1.9,8.8,0
1773644978.200,13.50,23.6,42.36,11.25,31.12,-37.671200,144.846359,134.7,-0.1,0.0,1.9,9.0,0
1773644978.425,13.73,34.0,29.40,0.00,31.12,-37.671200,144.846359,134.7,-0.1,0.0,1.9,9.2,0
1773644978.641,13.94,26.3,38.06,12.29,25.77,-37.671200,144.846359,134.7,-0.1,0.0,1.9,9.4,0
1773644978.855,14.15,33.9,29.51,3.74,25.77,-37.671200,144.846359,134.7,-0.1,0.0,1.8,9.6,0
1773644979.059,14.36,34.0,29.43,3.66,25.77,-37.671200,144.846359,134.7,-0.1,0.0,1.7,9.8,0
1773644979.269,14.57,32.5,30.78,5.01,25.77,-37.671200,144.846359,134.7,-0.1,0.0,1.7,10.0,0
1773644979.478,14.78,33.9,29.53,3.54,25.99,-37.671200,144.846359,134.7,-0.1,0.0,1.6,10.2,0
1773644979.694,14.99,33.1,30.22,4.23,25.99,-37.671200,144.846359,134.7,-0.1,0.0,1.6,10.5,0
1773644979.906,15.21,30.0,33.33,7.34,25.99,-37.671200,144.846359,134.7,-0.1,0.0,1.5,10.7,0
1773644980.118,15.42,32.2,31.08,5.08,25.99,-37.671200,144.846359,134.7,-0.1,0.0,1.5,10.9,0
1773644980.340,15.64,19.9,50.25,24.26,25.99,-37.671200,144.846359,134.7,-0.1,0.0,1.4,11.1,0
1773644980.547,15.85,32.6,30.65,4.42,26.23,-37.671200,144.846359,134.7,-0.1,0.0,1.2,11.3,0
1773644980.762,16.06,27.2,36.78,10.55,26.23,-37.671200,144.846359,134.7,-0.1,0.0,1.1,11.5,0
1773644980.969,16.27,34.3,29.16,2.93,26.23,-37.671200,144.846359,134.7,-0.1,0.0,1.0,11.8,0
1773644981.190,16.49,35.6,28.09,1.86,26.23,-37.671200,144.846359,134.7,-0.1,0.0,0.9,12.0,0
1773644981.426,16.73,20.5,48.75,22.52,26.23,-37.671200,144.846359,134.7,-0.1,0.0,0.9,12.2,0
1773644981.647,16.95,42.8,23.38,0.00,24.99,-37.671200,144.846359,134.7,-0.1,0.0,0.8,12.4,0
1773644981.876,17.18,29.3,34.08,9.09,24.99,-37.671200,144.846359,134.7,-0.1,0.0,0.8,12.7,0
1773644982.094,17.39,19.9,50.25,25.26,24.99,-37.671200,144.846359,134.7,-0.1,0.0,0.7,12.9,0
1773644982.303,17.60,40.3,24.84,0.00,24.99,-37.671200,144.846359,134.7,-0.1,0.0,0.7,13.1,0
1773644982.505,17.80,32.1,31.13,6.14,24.99,-37.671200,144.846359,134.7,-0.1,0.0,0.6,13.3,0
1773644982.713,18.01,46.3,21.60,0.00,26.69,-37.671200,144.846359,134.7,-0.1,0.0,0.6,13.5,0
