timestamp,device,r_per_s,w_per_s,rMB_per_s,wMB_per_s,avg_r_lat_ms,avg_w_lat_ms,io_util_pct,ios_in_progress
1774178704.786,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178704.786,nvme0n1,20.0,0.0,0.08,0.00,0.00,0.00,0.0,0
1774178704.786,nvme2n1,3094.0,439.9,48.21,2.15,0.09,0.02,29.5,0
1774178704.786,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178704.986,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178704.986,nvme0n1,174.5,0.0,0.68,0.00,0.06,0.00,1.0,0
1774178704.986,nvme2n1,1615.7,758.0,24.54,4.97,0.09,0.03,17.0,0
1774178704.986,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178705.187,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178705.187,nvme0n1,394.2,0.0,1.54,0.00,0.04,0.00,1.5,0
1774178705.187,nvme2n1,793.4,588.8,11.01,3.63,0.09,0.03,9.0,0
1774178705.187,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178705.387,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178705.387,nvme0n1,39.9,0.0,0.16,0.00,0.00,0.00,0.5,0
1774178705.387,nvme2n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178705.387,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178705.588,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178705.588,nvme0n1,74.9,0.0,0.29,0.00,0.27,0.00,1.5,0
1774178705.588,nvme2n1,5.0,0.0,0.03,0.00,0.00,0.00,0.0,0
1774178705.588,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178705.822,nvme1n1,162.2,0.0,13.34,0.00,0.34,0.00,5.5,0
1774178705.822,nvme0n1,264.6,0.0,13.24,0.00,0.24,0.00,6.4,0
1774178705.822,nvme2n1,1724.0,243.2,66.16,2.57,0.25,0.02,44.4,0
1774178705.822,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178706.023,nvme1n1,64.8,0.0,7.26,0.00,0.31,0.00,2.5,0
1774178706.023,nvme0n1,144.6,0.0,7.79,0.00,0.21,0.00,3.0,0
1774178706.023,nvme2n1,603.2,189.4,26.94,3.78,0.17,0.03,11.0,0
1774178706.023,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178706.223,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178706.223,nvme0n1,2219.1,0.0,8.67,0.00,0.03,0.00,7.5,0
1774178706.223,nvme2n1,718.1,553.5,11.31,4.69,0.10,0.03,8.5,0
1774178706.223,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178706.424,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178706.424,nvme0n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178706.424,nvme2n1,284.2,383.9,1.99,2.61,0.07,0.03,3.0,0
1774178706.424,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178706.624,nvme1n1,339.2,0.0,27.82,0.00,0.32,0.00,10.5,0
1774178706.624,nvme0n1,503.8,0.0,28.45,0.00,0.25,0.00,12.5,0
1774178706.624,nvme2n1,887.9,49.9,36.11,0.62,0.19,0.00,16.5,0
1774178706.624,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178706.847,nvme1n1,251.3,0.0,23.00,0.00,0.30,0.00,8.1,0
1774178706.847,nvme0n1,421.8,0.0,25.59,0.00,0.23,0.00,9.9,0
1774178706.847,nvme2n1,475.6,0.0,26.31,0.00,0.25,0.00,12.1,0
1774178706.847,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178707.047,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178707.047,nvme0n1,59.9,0.0,0.88,0.00,0.08,0.00,0.5,0
1774178707.047,nvme2n1,94.8,1990.3,1.57,11.47,0.11,0.03,6.0,0
1774178707.047,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178707.248,nvme1n1,319.2,0.0,20.01,0.00,0.44,0.00,13.5,0
1774178707.248,nvme0n1,349.1,0.0,20.73,0.00,0.39,0.00,13.5,0
1774178707.248,nvme2n1,438.8,932.5,22.46,10.05,0.32,0.03,17.5,0
1774178707.248,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178707.448,nvme1n1,7143.0,0.0,491.08,0.00,0.44,0.00,100.0,0
1774178707.448,nvme0n1,7287.7,0.0,493.40,0.00,0.44,0.00,100.0,0
1774178707.448,nvme2n1,7656.8,0.0,500.53,0.00,0.50,0.00,100.0,0
1774178707.448,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178707.649,nvme1n1,10229.8,0.0,686.51,0.00,0.37,0.00,100.0,0
1774178707.649,nvme0n1,10484.1,1141.6,690.44,20.53,0.39,8.65,100.0,0
1774178707.649,nvme2n1,14626.8,69.8,747.33,2.06,0.35,0.00,100.0,0
1774178707.649,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178707.891,nvme1n1,6287.2,0.0,427.07,0.00,0.37,0.00,100.0,0
1774178707.891,nvme0n1,6494.0,289.5,430.16,10.76,0.38,28.21,100.0,0
1774178707.891,nvme2n1,7222.0,8.3,456.21,0.05,0.40,0.00,100.0,0
1774178707.891,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178708.091,nvme1n1,10115.2,0.0,688.76,0.00,0.37,0.00,100.0,0
1774178708.091,nvme0n1,10613.8,0.0,694.15,0.00,0.38,0.00,100.0,0
1774178708.091,nvme2n1,12523.2,5.0,817.63,0.12,0.43,0.00,100.0,0
1774178708.091,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178708.292,nvme1n1,7605.5,0.0,534.12,0.00,0.40,0.00,100.0,0
1774178708.292,nvme0n1,7949.6,0.0,538.11,0.00,0.38,0.00,100.0,0
1774178708.292,nvme2n1,10323.5,0.0,709.18,0.00,0.43,0.00,100.0,0
1774178708.292,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178708.492,nvme1n1,11743.7,0.0,809.29,0.00,0.36,0.00,100.0,0
1774178708.492,nvme0n1,12037.9,0.0,815.62,0.00,0.39,0.00,100.0,0
1774178708.492,nvme2n1,12037.9,109.7,814.34,0.86,0.43,0.05,100.0,0
1774178708.492,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178708.693,nvme1n1,9231.1,0.0,635.91,0.00,0.35,0.00,100.0,0
1774178708.693,nvme0n1,9640.0,0.0,640.22,0.00,0.39,0.00,100.0,0
1774178708.693,nvme2n1,9645.0,0.0,640.70,0.00,0.44,0.00,100.0,0
1774178708.693,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178708.921,nvme1n1,9282.5,0.0,641.14,0.00,0.39,0.00,100.0,0
1774178708.921,nvme0n1,9655.5,0.0,645.03,0.00,0.40,0.00,100.0,0
1774178708.921,nvme2n1,9624.8,254.6,646.00,4.66,0.45,0.02,100.0,0
1774178708.921,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178709.121,nvme1n1,6677.4,0.0,459.24,0.00,0.39,0.00,100.0,0
1774178709.121,nvme0n1,6847.0,0.0,462.18,0.00,0.42,0.00,100.0,0
1774178709.121,nvme2n1,6886.9,19.9,463.61,0.08,0.46,0.25,100.0,0
1774178709.121,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178709.322,nvme1n1,20759.3,0.0,1438.58,0.00,0.68,0.00,100.0,0
1774178709.322,nvme0n1,24259.9,7834.0,1453.37,724.40,0.57,58.45,100.0,0
1774178709.322,nvme2n1,21746.6,638.3,1443.85,26.96,1.02,0.09,100.0,0
1774178709.322,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178709.523,nvme1n1,48576.4,0.0,3318.73,0.00,0.85,0.00,100.0,0
1774178709.523,nvme0n1,54246.1,9645.5,3365.49,995.87,0.71,123.98,100.0,0
1774178709.523,nvme2n1,50459.7,2336.6,3350.72,244.75,1.54,0.39,100.0,0
1774178709.523,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178709.723,nvme1n1,47901.8,0.0,3253.64,0.00,0.89,0.00,100.0,0
1774178709.723,nvme0n1,58042.6,9253.3,3303.87,1002.13,0.66,160.30,100.0,0
1774178709.723,nvme2n1,50813.4,4133.1,3303.13,256.41,1.41,0.94,100.0,0
1774178709.723,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178709.951,nvme1n1,44970.6,0.0,3104.55,0.00,0.97,0.00,100.0,0
1774178709.951,nvme0n1,55797.4,6297.7,3159.73,614.29,0.61,106.54,100.0,0
1774178709.951,nvme2n1,46730.4,4774.9,3132.40,53.53,1.52,0.05,100.0,0
1774178709.951,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178710.152,nvme1n1,19907.1,0.0,1381.95,0.00,0.97,0.00,100.0,0
1774178710.152,nvme0n1,61639.9,0.0,1547.87,0.00,0.22,0.00,100.0,0
1774178710.152,nvme2n1,21810.7,1529.8,1434.31,6.64,1.63,0.03,100.0,0
1774178710.152,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178710.352,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178710.352,nvme0n1,13723.3,16660.5,53.61,662.45,0.06,385.72,100.0,0
1774178710.352,nvme2n1,718.1,39.9,6.28,0.16,0.07,0.00,5.0,0
1774178710.352,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178710.553,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178710.553,nvme0n1,9392.4,9402.4,36.69,874.01,0.06,609.16,100.0,0
1774178710.553,nvme2n1,653.1,244.3,7.55,16.05,0.09,0.04,7.0,0
1774178710.553,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178710.753,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178710.753,nvme0n1,7165.0,5394.9,27.99,535.36,0.05,766.74,100.0,0
1774178710.753,nvme2n1,99.7,0.0,0.41,0.00,0.05,0.00,0.5,0
1774178710.753,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178710.986,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178710.986,nvme0n1,6014.8,154.9,23.50,2.49,0.04,0.42,31.4,0
1774178710.986,nvme2n1,167.8,292.6,3.68,5.16,0.10,0.28,9.9,0
1774178710.986,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178711.186,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178711.186,nvme0n1,7480.0,0.0,29.22,0.00,0.04,0.00,31.4,0
1774178711.186,nvme2n1,264.3,2637.9,6.82,42.01,0.11,0.02,9.5,0
1774178711.186,sda,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
1774178711.387,nvme1n1,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0
