timestamp,total_mb,used_mb,free_mb,available_mb,buffers_mb,cached_mb,swap_used_mb,swap_free_mb,dirty_mb,writeback_mb
1774178704.786,94177,45912,6642,45190,31,41592,8794,113276,6.0,0.0
1774178704.986,94177,45912,6642,45190,31,41592,8794,113276,6.0,0.0
1774178705.187,94177,45912,6642,45189,31,41592,8793,113277,6.0,0.0
1774178705.387,94177,45914,6640,45188,31,41592,8793,113277,6.0,0.0
1774178705.588,94177,45916,6638,45186,31,41592,8793,113277,6.0,0.0
1774178705.822,94177,45948,6596,45153,31,41602,8793,113277,6.0,0.0
1774178706.023,94177,45975,6565,45127,31,41606,8793,113277,6.0,0.0
1774178706.223,94177,45984,6555,45118,31,41606,8791,113279,6.0,0.0
1774178706.424,94177,45989,6551,45113,31,41606,8791,113279,6.0,0.0
1774178706.624,94177,46000,6523,45102,31,41623,8791,113279,6.0,0.0
1774178706.847,94177,46018,6488,45083,31,41641,8791,113279,6.0,0.0
1774178707.047,94177,46014,6487,45085,31,41645,8791,113279,6.0,0.0
1774178707.248,94177,46002,6484,45098,31,41660,8791,113279,6.0,0.0
1774178707.448,94177,45928,6260,45173,31,41958,8791,113279,6.1,0.0
1774178707.649,94177,45862,7439,45240,31,40845,8796,113274,6.1,0.4
1774178707.891,94177,45816,8554,45286,31,39777,8798,113272,6.1,0.0
1774178708.091,94177,45840,8117,45262,31,40189,8798,113272,6.1,0.0
1774178708.292,94177,45847,7783,45255,31,40515,8798,113272,6.1,0.0
1774178708.492,94177,45856,7285,45249,31,41005,8798,113272,6.1,0.0
1774178708.693,94177,45866,6894,45239,31,41386,8798,113272,6.1,0.0
1774178708.921,94177,45849,6470,45254,31,41827,8798,113272,6.1,0.0
1774178709.121,94177,45915,6127,45191,31,42104,8798,113272,6.1,0.0
1774178709.322,94177,45734,5868,45375,31,42544,8945,113125,6.1,1.3
1774178709.523,94177,45541,4040,45571,31,44565,9146,112924,6.1,2.2
1774178709.723,94177,45358,2281,45761,31,46507,9347,112723,6.1,2.6
1774178709.951,94177,45110,1914,45942,21,47132,9484,112586,6.2,0.6
1774178710.152,94177,45130,4899,45924,21,44127,9477,112593,6.2,0.2
1774178710.352,94177,45011,5363,46043,21,43782,9608,112462,6.2,1.3
1774178710.553,94177,44845,5530,46209,21,43782,9783,112287,6.2,2.2
1774178710.753,94177,44647,5728,46310,21,43782,9886,112184,6.2,0.9
1774178710.986,94177,44297,6077,46314,21,43782,9884,112186,5.6,0.0
1774178711.186,94177,44062,6313,46313,21,43782,9881,112189,5.6,0.0
1774178711.387,94177,43831,6543,46314,21,43782,9878,112192,5.7,0.0
1774178711.587,94177,43604,6770,46317,21,43782,9876,112194,5.7,0.0
1774178711.788,94177,43326,7047,46319,21,43782,9873,112197,5.7,0.0
1774178712.012,94177,43015,7359,46324,21,43782,9870,112200,5.7,0.0
1774178712.213,94177,42713,7661,46329,21,43782,9869,112201,5.7,0.0
1774178712.414,94177,42397,7977,46338,21,43782,9868,112202,5.7,0.0
1774178712.614,94177,42092,8282,46345,21,43782,9867,112203,5.8,0.0
1774178712.815,94177,41779,8595,46354,21,43782,9867,112203,5.8,0.0
1774178713.039,94177,41801,8573,46023,21,43782,9866,112204,5.8,0.0
1774178713.240,94177,41473,8785,46127,21,43898,9886,112184,5.8,0.4
1774178713.440,94177,41253,8951,46154,21,43953,9923,112147,5.8,0.6
1774178713.641,94177,41080,10530,46144,21,42546,9925,112145,5.8,0.0
1774178713.842,94177,40826,10892,46195,21,42438,9978,112092,5.8,1.7
1774178714.066,94177,40670,11048,46182,21,42439,9978,112092,5.8,0.0
1774178714.266,94177,40684,11034,46168,21,42439,9978,112092,5.8,0.0
1774178714.467,94177,40687,11031,46165,21,42438,9978,112092,5.9,0.0
1774178714.667,94177,40688,11030,46165,21,42438,9978,112092,6.0,0.0
1774178714.868,94177,40688,11030,46165,21,42438,9978,112092,6.0,0.0
1774178715.090,94177,40707,11011,46146,21,42438,9978,112092,6.0,0.0
1774178715.291,94177,40711,11007,46142,21,42438,9977,112093,6.0,0.0
1774178715.491,94177,40712,11006,46141,21,42438,9977,112093,6.0,0.0
1774178715.692,94177,40713,11005,46140,21,42438,9977,112093,0.4,0.0
1774178715.893,94177,40715,11003,46137,21,42438,9977,112093,0.4,0.0
1774178716.121,94177,40736,10982,46117,21,42438,9976,112094,0.4,0.0
1774178716.322,94177,40746,10972,46107,21,42438,9976,112094,0.3,0.0
1774178716.522,94177,40758,10960,46095,21,42438,9975,112095,0.4,0.0
1774178716.723,94177,40758,10960,46095,21,42438,9975,112095,0.4,0.0
1774178716.923,94177,40758,10960,46094,21,42438,9974,112096,0.4,0.0
1774178717.145,94177,40779,10939,46074,21,42438,9974,112096,0.6,0.0
1774178717.346,94177,40779,10938,46073,21,42438,9973,112097,0.6,0.0
1774178717.546,94177,40780,10938,46073,21,42438,9973,112097,0.6,0.0
1774178717.747,94177,40780,10938,46073,21,42438,9972,112098,0.6,0.0
1774178717.947,94177,40780,10938,46073,21,42438,9972,112098,0.6,0.0
1774178718.170,94177,40808,10910,46045,21,42438,9972,112098,0.6,0.0
1774178718.371,94177,40816,10901,46036,21,42439,9972,112098,0.8,0.0
1774178718.572,94177,40833,10884,46019,21,42439,9971,112099,0.8,0.0
1774178718.772,94177,40834,10883,46019,21,42439,9971,112099,0.8,0.0
1774178718.973,94177,40834,10883,46018,21,42439,9964,112106,0.8,0.0
1774178719.194,94177,40855,10862,45998,21,42439,9945,112125,0.8,0.0
1774178719.395,94177,40942,10775,45910,21,42439,9931,112139,0.8,0.0
1774178719.595,94177,41054,10658,45798,21,42444,9923,112147,0.8,0.0
1774178719.796,94177,41280,10411,45573,21,42465,9923,112147,0.8,0.0
1774178719.996,94177,41280,10411,45573,21,42465,9923,112147,0.8,0.0
1774178720.219,94177,41289,10402,45564,21,42465,9923,112147,0.9,0.0
1774178720.419,94177,41291,10400,45562,21,42466,9923,112147,0.9,0.0
1774178720.620,94177,41291,10400,45562,21,42466,9923,112147,0.9,0.0
1774178720.820,94177,41338,10353,45514,21,42466,9923,112147,0.9,0.0
1774178721.021,94177,41339,10352,45514,21,42466,9923,112147,0.9,0.0
1774178721.254,94177,41354,10336,45498,21,42466,9923,112147,0.9,0.0
1774178721.455,94177,41357,10333,45496,21,42466,9923,112147,0.9,0.0
1774178721.655,94177,41365,10325,45488,21,42466,9923,112147,0.9,0.0
1774178721.856,94177,41366,10324,45486,21,42466,9923,112147,0.9,0.0
1774178722.056,94177,41449,10206,45401,21,42501,9923,112147,0.9,0.0
1774178722.279,94177,41471,10156,45378,21,42529,9923,112147,0.9,0.0
1774178722.479,94177,41471,10153,45381,21,42532,9922,112148,0.9,0.0
1774178722.680,94177,41468,10135,45384,21,42553,9922,112148,0.9,0.0
1774178722.880,94177,41445,9944,45405,21,42767,9922,112148,0.9,0.0
1774178723.081,94177,41417,9635,45433,21,43103,9922,112148,0.9,0.0
1774178723.307,94177,41378,9140,45473,21,43639,9922,112148,1.0,0.0
1774178723.507,94177,41385,8721,45466,21,44050,9922,112148,1.0,0.0
1774178723.709,94177,41383,8370,45468,21,44402,9921,112149,1.0,0.0
1774178723.909,94177,41426,7963,45426,21,44766,9921,112149,1.0,0.0
1774178724.110,94177,41435,7609,45416,21,45112,9921,112149,1.0,0.0
1774178724.337,94177,41447,7212,45405,21,45497,9921,112149,1.0,0.0
1774178724.539,94177,41448,6835,45403,21,45873,9921,112149,1.0,0.0
1774178724.740,94177,41443,6423,45408,21,46290,9921,112149,1.0,0.0
1774178724.940,94177,41456,6783,45396,21,45917,9961,112109,1.0,0.4
1774178725.142,94177,41205,6628,45432,21,46323,9972,112098,1.0,0.4
1774178725.375,94177,40954,6387,45486,21,46815,10025,112045,1.0,3.5
1774178725.575,94177,40739,5760,45487,21,47658,10025,112045,1.0,3.5
1774178725.776,94177,40588,4700,45540,21,48868,10074,111996,1.0,1.2
1774178725.977,94177,40368,3130,45566,21,50658,10074,111996,1.0,1.2
1774178726.178,94177,40213,5026,45563,21,48918,10087,111983,1.0,1.0
1774178726.412,94177,39915,5325,45591,21,48916,10127,111943,1.0,3.1
1774178726.612,94177,39665,5575,45615,21,48916,10181,111889,1.0,0.1
1774178726.813,94177,39410,6679,45675,21,48067,10224,111846,1.0,0.5
1774178727.013,94177,39097,6992,45697,21,48067,10240,111830,1.0,0.1
1774178727.214,94177,38898,8028,45747,21,47230,10294,111776,1.0,0.5
1774178727.438,94177,38657,9096,45761,21,46403,10317,111753,1.1,0.7
1774178727.639,94177,38424,9329,45794,21,46403,10346,111724,1.1,0.1
1774178727.839,94177,38206,10360,45850,21,45590,10401,111669,1.1,0.4
1774178728.040,94177,37967,11210,45808,21,44979,10402,111668,1.1,0.4
1774178728.240,94177,38102,11131,45673,21,44923,10402,111668,1.1,0.0
1774178728.466,94177,38207,10744,45566,21,45205,10401,111669,1.1,0.0
1774178728.666,94177,38229,10619,45544,21,45308,10401,111669,1.1,0.0
1774178728.867,94177,38262,10455,45512,21,45440,10401,111669,1.1,0.0
1774178729.068,94177,38245,10335,45528,21,45576,10401,111669,1.1,0.0
1774178729.268,94177,38445,9974,45327,21,45737,10401,111669,1.1,0.0
1774178729.514,94177,38532,9764,45243,21,45861,10401,111669,1.1,0.0
1774178729.715,94177,38522,9436,45252,21,46198,10400,111670,1.1,0.0
1774178729.915,94177,38532,9326,45242,21,46298,10398,111672,1.1,0.0
1774178730.116,94177,38533,9289,45240,21,46333,10394,111676,1.1,0.0
1774178730.316,94177,38534,9289,45241,21,46333,10394,111676,1.1,0.0
1774178730.538,94177,38536,9287,45239,21,46333,10394,111676,1.1,0.0
1774178730.739,94177,38537,9286,45237,21,46333,10394,111676,1.1,0.0
1774178730.939,94177,38543,9277,45231,21,46335,10394,111676,1.1,0.0
1774178731.139,94177,38543,9277,45231,21,46335,10394,111676,1.1,0.0
1774178731.340,94177,38543,9277,45231,21,46335,10394,111676,1.1,0.0
1774178731.567,94177,38561,9259,45214,21,46336,10394,111676,1.2,0.0
1774178731.768,94177,38561,9259,45213,21,46336,10394,111676,1.2,0.0
1774178731.968,94177,38562,9258,45213,21,46336,10394,111676,1.2,0.0
1774178732.169,94177,38562,9258,45213,21,46336,10394,111676,1.2,0.0
1774178732.369,94177,38562,9258,45212,21,46336,10394,111676,1.2,0.0
1774178732.593,94177,38564,9256,45211,21,46336,10394,111676,1.2,0.0
1774178732.793,94177,38564,9256,45211,21,46336,10394,111676,1.2,0.0
1774178732.994,94177,38564,9256,45211,21,46336,10394,111676,1.2,0.0
1774178733.194,94177,38572,9248,45202,21,46336,10394,111676,1.2,0.0
1774178733.395,94177,38629,9190,45145,21,46337,10394,111676,1.2,0.0
1774178733.620,94177,38634,9046,45139,21,46476,10394,111676,1.2,0.0
1774178733.820,94177,39084,8563,44688,21,46510,10382,111688,1.2,0.0
1774178734.021,94177,39174,8464,44597,21,46519,10376,111694,1.2,0.0
1774178734.221,94177,39237,8402,44536,21,46518,10376,111694,1.2,0.0
1774178734.422,94177,39308,8329,44466,21,46518,10375,111695,1.4,0.0
1774178734.648,94177,39349,8288,44425,21,46518,10375,111695,1.4,0.0
1774178734.848,94177,39368,8270,44407,21,46518,10375,111695,1.4,0.0
1774178735.050,94177,39403,8234,44371,21,46518,10375,111695,1.4,0.0
1774178735.251,94177,39441,8197,44334,21,46518,10375,111695,1.4,0.0
1774178735.452,94177,39458,8180,44317,21,46519,10375,111695,1.5,0.0
1774178735.695,94177,39482,8155,44292,21,46519,10375,111695,1.5,0.0
1774178735.896,94177,39486,8151,44289,21,46519,10375,111695,1.5,0.0
1774178736.098,94177,39487,8150,44287,21,46519,10375,111695,1.5,0.0
1774178736.298,94177,39496,8141,44278,21,46519,10375,111695,1.3,0.2
1774178736.499,94177,39746,7890,44028,21,46519,10374,111696,1.3,0.0
1774178736.753,94177,39753,7883,44021,21,46519,10374,111696,1.3,0.0
1774178736.953,94177,39749,7876,44024,21,46531,10374,111696,1.8,0.0
