timestamp,pid,name,cpu_pct,rss_mb,swap_mb,io_read_mbs,io_write_mbs,threads
1774178706.624,737,Web Content[firefox],0.0,24,13,0.00,0.00,26
1774178706.624,1730,gamescope-wl,0.0,110,47,0.00,0.00,14
1774178706.624,1770,gamescopereaper,0.0,3,0,0.00,0.00,1
1774178706.624,1772,Main Thread[X-Plane],703.3,10958,2166,48.41,0.00,82
1774178706.624,1774,handler[X-Plane],0.0,8,2,0.00,0.00,3
1774178706.624,1873,kwin_wayland_wr,0.0,14,2,0.00,0.00,2
1774178706.624,1886,kwin_wayland,1.0,355,44,0.00,0.00,13
1774178706.624,1927,cefclient[X-Plane],0.0,77,18,0.00,0.00,1
1774178706.624,1928,cefclient[X-Plane],0.0,75,20,0.00,0.00,1
1774178706.624,1946,cefclient[X-Plane],0.0,104,54,0.00,0.00,8
1774178706.624,2026,plasmashell,0.0,431,275,0.00,0.00,12
1774178706.624,2362,cefclient[X-Plane],0.0,87,20,0.00,0.00,8
1774178706.624,3945,kioworker[plasmashell],0.0,23,4,0.00,0.00,3
1774178706.624,4498,easyeffects,0.0,250,0,0.00,0.00,12
1774178706.624,4880,qemu-system-x86,181.4,4275,3,0.00,0.00,60
1774178706.624,6048,python3[X-Plane],0.0,14,0,0.00,0.00,1
1774178706.624,28522,xearthlayer,0.0,8632,2258,0.00,0.00,38
1774178706.624,31479,firefox-bin,0.0,365,356,0.01,0.00,107
1774178706.624,31485,crashhelper[firefox],0.0,2,0,0.00,0.00,2
1774178706.624,31555,forkserver[firefox],0.0,14,7,0.00,0.00,1
1774178706.624,31557,Socket Process[firefox],0.0,13,8,0.00,0.00,6
1774178706.624,31574,Privileged Cont[firefox],0.0,29,32,0.00,0.00,28
1774178706.624,31583,RDD Process[firefox],0.0,16,11,0.00,0.00,5
1774178706.624,31649,WebExtensions[firefox],0.0,50,26,0.00,0.00,27
1774178706.624,31685,Isolated Web Co[firefox],0.0,55,71,0.00,0.00,29
1774178706.624,31746,Utility Process[firefox],0.0,16,12,0.00,0.00,5
1774178706.624,31784,Isolated Web Co[firefox],0.0,61,97,0.00,0.00,35
1774178706.624,31791,Web Content[firefox],0.0,24,13,0.00,0.00,26
1774178706.624,31833,Web Content[firefox],0.0,24,13,0.00,0.00,26
1774178707.649,737,Web Content[firefox],0.0,24,13,0.00,0.00,26
1774178707.649,1730,gamescope-wl,1.0,110,47,0.00,0.00,14
1774178707.649,1770,gamescopereaper,0.0,3,0,0.00,0.00,1
1774178707.649,1772,Main Thread[X-Plane],1146.4,10975,2166,762.35,0.00,82
1774178707.649,1774,handler[X-Plane],0.0,8,2,0.00,0.00,3
