timestamp,cpu_some10,cpu_some60,mem_some10,mem_some60,mem_full10,mem_full60,io_some10,io_some60,io_full10,io_full60
1774178705.588,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178706.624,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178707.649,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178708.693,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178709.723,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178710.753,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178711.788,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178712.815,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178713.842,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178714.868,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178715.893,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178716.923,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178717.947,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178718.973,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178719.996,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178721.021,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178722.056,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178723.081,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178724.110,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178725.142,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178726.178,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178727.214,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178728.240,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178729.268,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178730.316,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178731.340,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178732.369,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178733.395,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178734.422,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178735.452,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178736.499,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178737.556,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178738.587,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178739.627,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178740.654,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178741.697,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178742.723,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178743.756,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178744.776,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178745.797,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178746.817,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178747.841,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178748.860,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178749.880,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178750.926,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774178751.967,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
