WARNING: BPFTRACE_MAP_KEYS_MAX is deprecated. Use BPFTRACE_MAX_MAP_KEYS instead.
Attaching 2 probes...
13:15:37 pid=5216 comm=kworker/u65:1 fence_wait_ms=8
13:15:37 pid=5242 comm=kworker/u65:5 fence_wait_ms=8
13:15:39 pid=5216 comm=kworker/u65:1 fence_wait_ms=6
13:15:43 pid=4381 comm=kworker/14:0 fence_wait_ms=23
13:15:43 pid=170 comm=kworker/10:1 fence_wait_ms=23
13:15:43 pid=5216 comm=kworker/u65:1 fence_wait_ms=6
13:15:44 pid=5242 comm=kworker/u65:5 fence_wait_ms=8
13:15:47 pid=5216 comm=kworker/u65:1 fence_wait_ms=8
13:15:47 pid=5242 comm=kworker/u65:5 fence_wait_ms=8
13:15:48 pid=4384 comm=kworker/11:0 fence_wait_ms=23
13:15:49 pid=5216 comm=kworker/u65:1 fence_wait_ms=9
13:15:51 pid=11119 comm=kworker/5:0 fence_wait_ms=23
13:15:51 pid=5216 comm=kworker/u65:1 fence_wait_ms=6
13:15:51 pid=5242 comm=kworker/u65:5 fence_wait_ms=8
13:15:52 pid=229 comm=kworker/0:2 fence_wait_ms=6
13:15:52 pid=5242 comm=kworker/u65:5 fence_wait_ms=6
13:15:52 pid=5216 comm=kworker/u65:1 fence_wait_ms=7
13:15:55 pid=5262 comm=kworker/7:3 fence_wait_ms=23
13:15:55 pid=5242 comm=kworker/u65:5 fence_wait_ms=8
13:15:57 pid=12402 comm=kworker/2:2 fence_wait_ms=23
13:15:57 pid=5242 comm=kworker/u65:5 fence_wait_ms=6
13:15:57 pid=5216 comm=kworker/u65:1 fence_wait_ms=9
13:15:57 pid=5242 comm=kworker/u65:5 fence_wait_ms=8
13:15:58 pid=5242 comm=kworker/u65:5 fence_wait_ms=6
13:15:58 pid=12561 comm=kworker/8:0 fence_wait_ms=23
13:15:58 pid=5242 comm=kworker/u65:5 fence_wait_ms=6
13:15:59 pid=4381 comm=kworker/14:0 fence_wait_ms=6
13:15:59 pid=5242 comm=kworker/u65:5 fence_wait_ms=7
