WARNING: BPFTRACE_MAP_KEYS_MAX is deprecated. Use BPFTRACE_MAX_MAP_KEYS instead.
Attaching 4 probes...
12:47:48 KSWAPD_WAKE nid=0 order=0
12:47:48 KSWAPD_WAKE nid=0 order=0
12:47:48 KSWAPD_SLEEP nid=0
13:10:57 KSWAPD_WAKE nid=0 order=0
13:10:57 KSWAPD_WAKE nid=0 order=0
13:10:58 KSWAPD_SLEEP nid=0
13:15:46 KSWAPD_WAKE nid=0 order=0
13:15:46 KSWAPD_WAKE nid=0 order=0
13:15:46 KSWAPD_SLEEP nid=0
13:15:55 KSWAPD_WAKE nid=0 order=5
13:15:56 KSWAPD_WAKE nid=0 order=0
13:15:56 KSWAPD_WAKE nid=0 order=0
13:15:56 KSWAPD_SLEEP nid=0
13:16:23 KSWAPD_WAKE nid=0 order=0
13:16:23 KSWAPD_WAKE nid=0 order=0
13:16:24 KSWAPD_WAKE nid=0 order=0
13:16:24 KSWAPD_SLEEP nid=0
13:16:28 KSWAPD_WAKE nid=0 order=0
13:16:28 KSWAPD_WAKE nid=0 order=2
13:16:28 KSWAPD_WAKE nid=0 order=3
13:16:29 KSWAPD_WAKE nid=0 order=0
13:16:29 KSWAPD_WAKE nid=0 order=0
13:16:29 KSWAPD_WAKE nid=0 order=0
13:16:29 KSWAPD_WAKE nid=0 order=0
13:16:30 KSWAPD_SLEEP nid=0
13:16:37 KSWAPD_WAKE nid=0 order=0
13:16:37 KSWAPD_WAKE nid=0 order=0
13:16:37 KSWAPD_WAKE nid=0 order=0
13:16:37 KSWAPD_SLEEP nid=0
13:16:56 KSWAPD_WAKE nid=0 order=0
13:16:56 KSWAPD_SLEEP nid=0
13:16:57 KSWAPD_WAKE nid=0 order=0
13:16:58 KSWAPD_WAKE nid=0 order=4
13:16:59 KSWAPD_WAKE nid=0 order=4
13:16:59 KSWAPD_WAKE nid=0 order=0
13:17:00 KSWAPD_SLEEP nid=0
13:17:27 KSWAPD_WAKE nid=0 order=0
13:17:27 KSWAPD_WAKE nid=0 order=2
13:17:27 KSWAPD_WAKE nid=0 order=0
13:17:28 KSWAPD_WAKE nid=0 order=0
13:17:28 KSWAPD_WAKE nid=0 order=0
13:17:28 KSWAPD_WAKE nid=0 order=0
13:17:28 KSWAPD_WAKE nid=0 order=0
13:17:28 KSWAPD_WAKE nid=0 order=0
13:17:28 KSWAPD_WAKE nid=0 order=0
13:17:28 KSWAPD_WAKE nid=0 order=0
13:17:29 KSWAPD_WAKE nid=0 order=0
13:17:29 KSWAPD_WAKE nid=0 order=0
13:17:29 KSWAPD_WAKE nid=0 order=0
13:17:29 KSWAPD_WAKE nid=0 order=0
13:17:29 KSWAPD_WAKE nid=0 order=0
13:17:29 KSWAPD_WAKE nid=0 order=0
13:17:29 KSWAPD_WAKE nid=0 order=0
13:17:29 KSWAPD_WAKE nid=0 order=0
13:17:29 KSWAPD_WAKE nid=0 order=0
13:17:30 KSWAPD_WAKE nid=0 order=0
13:17:30 KSWAPD_WAKE nid=0 order=0
13:17:30 KSWAPD_WAKE nid=0 order=0
13:17:30 KSWAPD_WAKE nid=0 order=0
13:17:30 KSWAPD_WAKE nid=0 order=0
13:17:30 KSWAPD_WAKE nid=0 order=0
13:17:30 KSWAPD_WAKE nid=0 order=0
13:17:30 KSWAPD_WAKE nid=0 order=0
