timestamp,ctxt_s,pgfault_s,pgmajfault_s,pgscan_kswapd_s,pgscan_direct_s,pgsteal_kswapd_s,pgsteal_direct_s,allocstall_s,compact_stall_s,tlb_shootdown_s,nr_dirty,nr_writeback,pswpin_s,pswpout_s,wset_refault_anon_s,wset_refault_file_s,thp_fault_fallback_s
1774178705.588,40377,11769,150,0,0,0,0,0.0,0.0,0,1544,0,146,0,151,2,0
1774178706.624,37639,25920,555,0,0,0,0,0.0,0.0,0,1547,0,500,0,522,227,0
1774178707.649,234723,49997,2784,527354,0,525062,0,0.0,0.0,0,1549,111,10,1223,36,715,0
1774178708.693,75879,22410,975,200737,0,200064,0,0.0,0.0,0,1557,0,84,446,75,15,0
1774178709.723,226767,20186,5378,470818,0,254745,0,0.0,0.0,0,1571,455,3380,142408,3132,349,0
1774178710.753,759948,28183,17017,1856939,78702,1524341,18899,333.9,0.0,0,1583,126,16101,131349,16026,118,0
1774178711.788,53086,16333,7006,0,0,0,0,0.0,0.0,0,1451,2,7005,0,6980,6,0
1774178712.815,45836,11819,3171,0,0,0,0,0.0,0.0,0,1494,2,3169,0,3531,53,0
1774178713.842,74580,38925,11549,454124,0,411696,0,0.0,0.0,0,1496,444,11323,29671,10912,684,0
1774178714.868,39379,11284,2189,351,0,300,0,0.0,0.0,0,1528,1,2182,1,2606,82,0
1774178715.893,32326,9503,913,0,0,0,0,0.0,0.0,0,91,0,911,0,889,1,0
1774178716.923,43089,17121,5963,0,0,0,0,0.0,0.0,0,98,0,5951,0,6021,13,0
1774178717.947,25261,9706,1067,0,0,0,0,0.0,0.0,0,147,0,1067,0,934,17,0
1774178718.973,38584,25775,3741,0,0,0,0,0.0,0.0,0,209,0,3730,0,3561,184,0
1774178719.996,58421,122460,11700,0,0,0,0,0.0,0.0,0,212,0,11680,0,11774,276,0
1774178721.021,32125,19889,9,0,0,0,0,0.0,0.0,0,229,0,9,0,245,113,0
1774178722.056,38527,43672,208,0,0,0,0,0.0,0.0,0,229,0,171,0,101,1981,0
1774178723.081,258986,41472,4174,0,0,0,0,0.0,0.0,0,233,0,1383,0,1103,714,0
1774178724.110,82481,21336,1152,0,0,0,0,0.0,0.0,0,247,0,178,0,443,43,0
1774178725.142,81893,25599,1089,235090,0,216106,0,0.0,0.0,0,252,111,110,12671,134,0,0
1774178726.178,486828,26695,3189,725809,0,675394,0,0.0,0.0,0,258,813,1418,33225,1391,3,0
1774178727.214,293885,25984,179,524084,0,465156,0,0.0,0.0,0,270,125,162,45984,265,49,0
1774178728.240,34306,47313,350,670499,0,636471,0,0.0,0.0,0,273,0,137,26475,137,899,0
1774178729.268,53667,116906,1980,0,0,0,0,0.0,0.0,0,291,0,917,0,991,2475,0
1774178730.316,65771,35205,2330,0,0,0,0,0.0,0.0,0,294,0,1835,0,1838,27,0
1774178731.340,25961,9458,25,0,0,0,0,0.0,0.0,0,299,0,21,0,21,658,0
1774178732.369,28199,9836,9,0,0,0,0,0.0,0.0,0,302,0,9,0,9,0,0
1774178733.395,36519,34446,382,0,0,0,0,0.0,0.0,0,306,0,357,0,343,185,0
1774178734.422,65919,212206,8700,0,0,0,0,0.0,0.0,0,349,0,8370,0,8302,25623,0
1774178735.452,29241,56575,204,0,0,0,0,0.0,0.0,0,373,0,195,0,298,87,0
1774178736.499,28185,16447,328,0,0,0,0,0.0,0.0,0,344,0,328,0,111,52,0
1774178737.556,27498,11702,818,0,0,0,0,0.0,0.0,0,929,0,635,0,807,923,0
1774178738.587,27885,22435,162,0,0,0,0,0.0,0.0,0,358,0,154,0,221,496,0
1774178739.627,46148,44874,7315,0,0,0,0,0.0,0.0,0,377,0,6763,0,6612,13256,0
