timestamp,mem_used_mib,mem_total_mib,mem_free_mib,temp_c,gpu_util_pct,mem_util_pct,gpu_clock_mhz,mem_clock_mhz,power_w,pcie_tx_kbs,pcie_rx_kbs,throttle_reasons,perf_state
1774178705.588,7189, 24564, 16884, 41, 3, 26, 210, 405, 22.00, P8, 0, 0, 0
1774178706.624,7189, 24564, 16884, 41, 2, 25, 210, 405, 22.18, P8, 0, 0, 0
1774178707.649,7189, 24564, 16884, 41, 5, 27, 210, 405, 22.74, P8, 0, 0, 0
1774178708.693,7445, 24564, 16627, 41, 1, 31, 210, 405, 22.26, P8, 0, 0, 0
1774178709.723,7445, 24564, 16627, 41, 10, 27, 210, 405, 22.58, P8, 0, 0, 0
1774178710.753,7447, 24564, 16625, 41, 2, 23, 210, 405, 22.69, P8, 0, 0, 0
1774178711.788,7447, 24564, 16625, 41, 4, 30, 210, 405, 21.87, P8, 0, 0, 0
1774178712.815,7447, 24564, 16625, 41, 4, 22, 210, 405, 21.81, P8, 0, 0, 0
1774178713.842,7447, 24564, 16625, 41, 8, 25, 210, 405, 22.15, P8, 0, 0, 0
1774178714.868,7447, 24564, 16625, 41, 2, 28, 210, 405, 22.31, P8, 0, 0, 0
1774178715.893,7447, 24564, 16625, 41, 2, 28, 210, 405, 22.45, P8, 0, 0, 0
1774178716.923,7447, 24564, 16625, 41, 4, 22, 210, 405, 22.54, P8, 0, 0, 0
1774178717.947,7447, 24564, 16625, 41, 2, 25, 210, 405, 22.27, P8, 0, 0, 0
1774178718.973,7447, 24564, 16625, 41, 4, 23, 210, 405, 22.10, P8, 0, 0, 0
1774178719.996,7447, 24564, 16625, 41, 4, 24, 210, 405, 22.28, P8, 0, 0, 0
1774178721.021,7447, 24564, 16625, 41, 2, 22, 210, 405, 21.95, P8, 0, 0, 0
1774178722.056,7447, 24564, 16625, 41, 2, 22, 210, 405, 22.12, P8, 0, 0, 0
1774178723.081,7448, 24564, 16624, 41, 2, 25, 210, 405, 22.80, P8, 0, 0, 0
1774178724.110,7448, 24564, 16624, 41, 3, 23, 210, 405, 22.93, P8, 0, 0, 0
1774178725.142,7449, 24564, 16624, 41, 5, 29, 210, 405, 22.70, P8, 0, 0, 0
1774178726.178,7449, 24564, 16624, 41, 3, 26, 210, 405, 23.26, P8, 0, 0, 0
1774178727.214,7451, 24564, 16622, 41, 2, 27, 210, 405, 22.02, P8, 0, 0, 0
1774178728.240,7450, 24564, 16622, 41, 0, 22, 210, 405, 21.04, P8, 0, 0, 0
1774178729.268,7450, 24564, 16622, 41, 3, 22, 210, 405, 21.24, P8, 0, 0, 0
1774178730.316,7450, 24564, 16622, 41, 0, 19, 210, 405, 21.38, P8, 0, 0, 0
1774178731.340,7450, 24564, 16622, 41, 0, 25, 210, 405, 21.09, P8, 0, 0, 0
1774178732.369,7450, 24564, 16622, 41, 0, 26, 210, 405, 21.11, P8, 0, 0, 0
1774178733.395,7450, 24564, 16622, 41, 2, 25, 210, 405, 21.81, P8, 0, 0, 0
1774178734.422,8027, 24564, 16046, 42, 2, 1, 2565, 10251, 48.64, P2, 0, 0, 0
1774178735.452,8027, 24564, 16046, 42, 0, 1, 2565, 10251, 69.19, P2, 0, 0, 0
1774178736.499,8028, 24564, 16045, 42, 0, 1, 2565, 10251, 69.50, P2, 0, 0, 0
1774178737.556,8142, 24564, 15931, 43, 2, 1, 2565, 10251, 70.36, P2, 0, 0, 0
1774178738.587,8142, 24564, 15931, 43, 1, 1, 2565, 10251, 69.66, P2, 0, 0, 0
1774178739.627,7964, 24564, 16109, 43, 2, 1, 2565, 10251, 70.43, P2, 0, 0, 0
1774178740.654,8556, 24564, 15517, 43, 1, 1, 2565, 10251, 70.12, P2, 0, 0, 0
1774178741.697,8616, 24564, 15457, 43, 8, 2, 2565, 10251, 70.18, P2, 0, 0, 0
1774178742.723,8609, 24564, 15464, 43, 7, 3, 2565, 10251, 71.34, P2, 0, 0, 0
1774178743.756,8609, 24564, 15464, 43, 1, 1, 2565, 10251, 70.55, P2, 0, 0, 0
1774178744.776,8574, 24564, 15499, 43, 4, 1, 2565, 10251, 70.41, P2, 0, 0, 0
1774178745.797,8653, 24564, 15420, 43, 6, 3, 2565, 10251, 71.20, P2, 0, 0, 0
1774178746.817,8665, 24564, 15408, 43, 3, 1, 2565, 10251, 71.24, P2, 0, 0, 0
1774178747.841,8582, 24564, 15490, 43, 8, 2, 2565, 10251, 72.09, P2, 0, 0, 0
1774178748.860,9739, 24564, 14334, 43, 3, 1, 2565, 10251, 72.09, P2, 0, 0, 0
1774178749.880,9744, 24564, 14329, 43, 5, 2, 2565, 10251, 71.77, P2, 0, 0, 0
1774178750.926,9693, 24564, 14380, 43, 4, 2, 2565, 10251, 71.08, P2, 0, 0, 0
1774178751.967,9743, 24564, 14329, 43, 2, 1, 2565, 10251, 70.72, P2, 0, 0, 0
1774178753.013,9692, 24564, 14381, 43, 3, 1, 2565, 10251, 70.56, P2, 0, 0, 0
1774178754.036,9743, 24564, 14330, 43, 4, 1, 2565, 10251, 71.28, P2, 0, 0, 0
1774178755.069,9708, 24564, 14365, 43, 2, 1, 2565, 10251, 71.32, P2, 0, 0, 0
1774178756.114,9751, 24564, 14322, 43, 2, 1, 2565, 10251, 71.28, P2, 0, 0, 0
1774178757.135,9716, 24564, 14357, 43, 3, 1, 2565, 10251, 70.98, P2, 0, 0, 0
1774178758.164,10347, 24564, 13726, 46, 3, 1, 2565, 10251, 76.66, P2, 0, 0, 0
1774178759.182,10587, 24564, 13486, 44, 27, 2, 2565, 10251, 70.69, P2, 0, 0, 0
1774178760.201,10585, 24564, 13488, 43, 2, 1, 2565, 10251, 73.43, P2, 0, 0, 0
1774178761.223,11175, 24564, 12898, 50, 51, 25, 2730, 10251, 207.43, P2, 0, 0, 0
1774178762.242,11175, 24564, 12898, 52, 96, 54, 2730, 10251, 208.63, P2, 0, 0, 0
1774178763.268,11175, 24564, 12898, 51, 64, 36, 2730, 10251, 210.59, P2, 0, 0, 0
1774178764.288,11175, 24564, 12898, 52, 42, 25, 2730, 10251, 212.31, P2, 0, 0, 0
1774178765.308,11203, 24564, 12870, 51, 65, 37, 2730, 10251, 210.62, P2, 0, 0, 0
1774178766.328,11219, 24564, 12853, 46, 38, 24, 2730, 10251, 125.86, P2, 0, 0, 0
1774178767.349,10981, 24564, 13092, 54, 92, 54, 2730, 10251, 245.13, P2, 0, 0, 0
1774178768.403,11237, 24564, 12836, 55, 82, 48, 2730, 10251, 267.54, P2, 0, 0, 0
1774178769.424,11237, 24564, 12836, 56, 99, 57, 2730, 10251, 264.66, P2, 0, 0, 0
1774178770.445,11493, 24564, 12580, 53, 58, 36, 2730, 10251, 235.29, P2, 0, 0, 0
1774178771.466,11749, 24564, 12324, 54, 77, 46, 2730, 10251, 221.79, P2, 0, 0, 0
1774178772.485,11749, 24564, 12324, 54, 61, 36, 2730, 10251, 214.70, P2, 0, 0, 0
1774178773.513,11749, 24564, 12324, 54, 64, 38, 2730, 10251, 220.66, P2, 0, 0, 0
1774178774.534,11749, 24564, 12324, 54, 66, 39, 2730, 10251, 216.89, P2, 0, 0, 0
1774178775.552,12005, 24564, 12068, 54, 64, 38, 2730, 10251, 217.70, P2, 0, 0, 0
1774178776.574,12005, 24564, 12068, 54, 67, 39, 2730, 10251, 218.33, P2, 0, 0, 0
1774178777.594,12005, 24564, 12068, 54, 57, 33, 2730, 10251, 217.15, P2, 0, 0, 0
1774178778.619,12005, 24564, 12068, 54, 66, 39, 2730, 10251, 217.14, P2, 0, 0, 0
1774178779.639,12005, 24564, 12068, 55, 99, 56, 2730, 10251, 240.45, P2, 0, 0, 0
1774178780.660,12013, 24564, 12060, 53, 64, 38, 2730, 10251, 239.66, P2, 0, 0, 0
1774178781.679,12013, 24564, 12060, 54, 68, 40, 2730, 10251, 218.17, P2, 0, 0, 0
1774178782.700,12269, 24564, 11804, 51, 68, 40, 2730, 10251, 216.85, P2, 0, 0, 0
1774178783.723,12261, 24564, 11812, 55, 66, 39, 2730, 10251, 218.82, P2, 0, 0, 0
1774178784.743,12278, 24564, 11795, 53, 52, 31, 2730, 10251, 212.95, P2, 0, 0, 0
1774178785.762,12278, 24564, 11795, 54, 63, 37, 2730, 10251, 216.10, P2, 0, 0, 0
1774178786.781,12278, 24564, 11795, 53, 64, 38, 2730, 10251, 218.84, P2, 0, 0, 0
1774178787.800,12278, 24564, 11795, 53, 65, 37, 2730, 10251, 217.32, P2, 0, 0, 0
1774178788.825,12278, 24564, 11795, 53, 64, 37, 2730, 10251, 217.09, P2, 0, 0, 0
1774178789.844,12534, 24564, 11538, 53, 62, 37, 2730, 10251, 217.81, P2, 0, 0, 0
