timestamp,rel_offset_s,category,message
1774178804.777,100.2,ERROR,"E/OBJ: The object Custom Data/CSL/X-CSL/E145/E145fan.obj has unbalanced anim begins."
1774178812.676,108.1,ERROR,"E/OBJ: The object Custom Data/CSL/X-CSL/A21N/A21NCFMfan.obj has unbalanced anim begins."
1774178813.277,108.7,ERROR,"E/OBJ: The object Custom Data/CSL/X-CSL/A20N/A20NPWfan.obj has unbalanced anim begins."
1774178816.577,112.0,ERROR,"E/OBJ: The object Custom Data/CSL/X-CSL/A20N/A20NCFMfan.obj has unbalanced anim begins."
1774178984.929,280.3,ERROR,"E/JOY: UNCALIBRATED AXIS DETECTED: Winwing WINCTRL URSA MINOR 32 Throttle Metal L (VID:16536PID:47392) Axis #0, assigned"
1774178984.929,280.3,ERROR,"E/JOY: CALIBRATION OVERRIDE: Winwing WINCTRL URSA MINOR 32 Throttle Metal L (VID:16536PID:47392) Axis #0 forced to be tr"
1774178984.929,280.3,ERROR,"E/JOY: UNCALIBRATED AXIS DETECTED: Winwing WINCTRL URSA MINOR 32 Throttle Metal L (VID:16536PID:47392) Axis #1, assigned"
1774178984.929,280.3,ERROR,"E/JOY: CALIBRATION OVERRIDE: Winwing WINCTRL URSA MINOR 32 Throttle Metal L (VID:16536PID:47392) Axis #1 forced to be tr"
1774178984.929,280.3,ERROR,"E/JOY: UNCALIBRATED AXIS DETECTED: Winwing WINCTRL URSA MINOR 32 Throttle Metal L (VID:16536PID:47392) Axis #2, assigned"
1774178984.929,280.3,ERROR,"E/JOY: CALIBRATION OVERRIDE: Winwing WINCTRL URSA MINOR 32 Throttle Metal L (VID:16536PID:47392) Axis #2 forced to be tr"
1774178984.929,280.3,ERROR,"E/JOY: UNCALIBRATED AXIS DETECTED: Winwing WINCTRL URSA MINOR 32 Throttle Metal L (VID:16536PID:47392) Axis #5, assigned"
1774178984.929,280.3,ERROR,"E/JOY: CALIBRATION OVERRIDE: Winwing WINCTRL URSA MINOR 32 Throttle Metal L (VID:16536PID:47392) Axis #5 forced to be tr"
1774178985.214,280.6,ERROR,"E/JOY: UNCALIBRATED AXIS DETECTED: Winwing WINCTRL 32 FCU + 32 EFIS L (VID:16536PID:48157) Axis #0, assigned to joy_use_"
1774178985.214,280.6,ERROR,"E/JOY: UNCALIBRATED AXIS DETECTED: Winwing WINCTRL 32 FCU + 32 EFIS L (VID:16536PID:48157) Axis #1, assigned to joy_use_"
1774178985.214,280.6,ERROR,"E/JOY: UNCALIBRATED AXIS DETECTED: Winwing WINCTRL 32 FCU + 32 EFIS L (VID:16536PID:48157) Axis #2, assigned to joy_use_"
1774178985.214,280.6,ERROR,"E/JOY: UNCALIBRATED AXIS DETECTED: Winwing WINCTRL 32 FCU + 32 EFIS L (VID:16536PID:48157) Axis #3, assigned to joy_use_"
1774178985.214,280.6,ERROR,"E/JOY: UNCALIBRATED AXIS DETECTED: Winwing WINCTRL 32 FCU + 32 EFIS L (VID:16536PID:48157) Axis #4, assigned to joy_use_"
