timestamp,rel_s,fps,frame_time_ms,cpu_time_ms,gpu_time_ms,lat,lon,elev_m,agl_m,gs_kts,ias_kts,sim_time_s,paused
1774178760.329,3.66,32.3,30.91,0.00,985.48,47.453255,8.559381,429.8,-0.1,0.5,0.8,0.3,0
1774178760.533,3.86,43.5,22.99,0.00,985.48,47.453255,8.559381,429.8,-0.1,0.1,2.0,0.5,0
1774178760.759,4.09,30.0,33.31,0.00,985.48,47.453255,8.559381,429.8,-0.1,0.1,3.4,0.7,0
1774178760.959,4.29,29.9,33.45,0.00,985.48,47.453259,8.559381,429.8,-0.1,0.1,4.5,0.9,0
1774178761.209,4.54,19.9,50.25,0.00,985.48,47.453259,8.559381,429.8,-0.1,0.1,5.6,1.1,0
1774178761.426,4.76,29.9,33.47,0.00,117.10,47.453259,8.559381,429.8,-0.1,0.1,6.4,1.3,0
1774178761.658,4.99,30.0,33.32,0.00,117.10,47.453259,8.559381,429.8,-0.1,0.0,7.1,1.6,0
1774178761.892,5.22,29.7,33.67,0.00,117.10,47.453259,8.559381,429.8,-0.1,0.0,7.6,1.8,0
1774178762.126,5.45,29.9,33.47,0.00,117.10,47.453259,8.559381,429.8,-0.1,0.0,8.0,2.0,0
1774178762.326,5.65,30.4,32.85,12.58,20.27,47.453259,8.559381,429.8,-0.1,0.0,8.3,2.2,0
1774178762.561,5.89,29.8,33.51,13.25,20.27,47.453259,8.559381,429.8,-0.1,0.0,8.5,2.5,0
1774178762.760,6.09,28.8,34.76,14.49,20.27,47.453259,8.559381,429.8,-0.1,0.0,8.7,2.7,0
1774178762.993,6.32,30.0,33.30,13.03,20.27,47.453259,8.559381,429.8,-0.1,0.0,8.8,2.9,0
1774178763.193,6.52,30.4,32.84,12.58,20.27,47.453259,8.559381,429.8,-0.1,0.0,8.9,3.1,0
1774178763.427,6.76,30.1,33.25,12.20,21.05,47.453259,8.559381,429.8,-0.1,0.0,9.0,3.3,0
1774178763.659,6.99,29.9,33.48,12.43,21.05,47.453259,8.559381,429.8,-0.1,0.0,9.1,3.6,0
1774178763.893,7.22,29.9,33.39,12.35,21.05,47.453259,8.559381,429.8,-0.1,0.0,9.2,3.8,0
1774178764.094,7.42,30.1,33.22,12.17,21.05,47.453259,8.559381,429.8,-0.1,0.0,9.3,4.0,0
1774178764.326,7.65,29.5,33.87,14.87,19.00,47.453259,8.559381,429.8,-0.1,0.0,9.3,4.2,0
1774178764.559,7.89,29.9,33.40,14.40,19.00,47.453259,8.559381,429.8,-0.1,0.0,9.4,4.5,0
1774178764.759,8.09,29.9,33.43,14.43,19.00,47.453259,8.559381,429.8,-0.1,0.0,9.4,4.7,0
1774178764.992,8.32,30.0,33.28,14.28,19.00,47.453259,8.559381,429.8,-0.1,0.0,9.4,4.9,0
1774178765.192,8.52,29.6,33.81,14.80,19.00,47.453259,8.559381,429.8,-0.1,0.0,9.4,5.1,0
1774178766.136,9.46,23.3,42.90,0.00,70.53,47.453259,8.559381,429.8,-0.1,0.0,9.4,5.3,0
1774178766.350,9.68,31.9,31.39,21.76,9.63,47.453259,8.559381,429.8,-0.1,0.0,9.4,5.5,0
1774178766.570,9.90,39.8,25.12,15.48,9.63,47.453259,8.559381,429.8,-0.1,0.0,9.4,5.7,0
1774178766.786,10.11,37.9,26.40,16.77,9.63,47.453259,8.559381,429.8,-0.1,0.0,9.3,5.9,0
1774178767.005,10.33,33.7,29.70,20.07,9.63,47.453259,8.559381,429.8,-0.1,0.0,9.1,6.2,0
1774178767.211,10.54,44.6,22.44,12.80,9.63,47.453259,8.559381,429.8,-0.1,0.0,8.9,6.4,0
1774178767.431,10.76,50.2,19.92,3.14,16.79,47.453259,8.559381,429.8,-0.1,0.0,8.7,6.6,0
1774178767.647,10.98,43.0,23.24,6.46,16.79,47.453259,8.559381,429.8,-0.1,0.0,8.3,6.8,0
1774178767.864,11.19,48.1,20.80,4.01,16.79,47.453259,8.559381,429.8,-0.1,0.0,7.6,7.0,0
1774178768.072,11.40,23.8,42.00,25.21,16.79,47.453259,8.559381,429.8,-0.1,0.0,6.5,7.2,0
1774178768.274,11.60,45.5,21.97,5.18,16.79,47.453259,8.559381,429.8,-0.1,0.0,5.3,7.4,0
1774178768.496,11.82,45.2,22.13,3.76,18.37,47.453259,8.559381,429.8,-0.1,0.0,4.0,7.6,0
1774178768.726,12.05,29.9,33.47,15.09,18.37,47.453259,8.559381,429.8,-0.1,0.0,3.0,7.9,0
1774178768.925,12.25,47.4,21.09,2.72,18.37,47.453259,8.559381,429.8,-0.1,0.0,2.3,8.1,0
1774178769.140,12.47,49.1,20.35,1.97,18.37,47.453259,8.559381,429.8,-0.1,0.0,1.8,8.3,0
1774178769.345,12.67,45.7,21.86,5.91,15.95,47.453259,8.559381,429.8,-0.1,0.0,1.6,8.5,0
1774178769.559,12.89,33.3,29.99,14.03,15.95,47.453259,8.559381,429.8,-0.1,0.0,1.9,8.7,0
1774178769.760,13.09,30.1,33.24,17.29,15.95,47.453259,8.559381,429.8,-0.1,0.0,2.6,8.9,0
1774178769.992,13.32,30.1,33.28,17.32,15.95,47.453259,8.559381,429.8,-0.1,0.0,3.0,9.1,0
1774178770.226,13.55,29.6,33.73,17.78,15.95,47.453259,8.559381,429.8,-0.1,0.0,2.7,9.4,0
1774178770.427,13.76,28.4,35.22,16.76,18.46,47.453259,8.559381,429.8,-0.1,0.0,2.1,9.6,0
1774178770.659,13.99,29.5,33.85,15.39,18.46,47.453259,8.559381,429.8,-0.1,0.0,1.4,9.8,0
1774178770.901,14.23,24.5,40.75,22.28,18.46,47.453259,8.559381,429.8,-0.1,0.0,0.9,10.0,0
