Subscribing to 13 datarefs at 5 Hz...
  [ 0] frame_time_s              = sim/operation/misc/frame_rate_period
  [ 1] gpu_time_s                = sim/time/gpu_time_per_frame_sec_approx
  [ 2] framerate_period_s        = sim/time/framerate_period
  [ 3] lat                       = sim/flightmodel/position/latitude
  [ 4] lon                       = sim/flightmodel/position/longitude
  [ 5] elev_m                    = sim/flightmodel/position/elevation
  [ 6] agl_m                     = sim/flightmodel/position/y_agl
  [ 7] gs_ms                     = sim/flightmodel/position/groundspeed
  [ 8] ias_ms                    = sim/flightmodel/position/indicated_airspeed
  [ 9] tas_ms                    = sim/flightmodel/position/true_airspeed
  [10] sim_time_s                = sim/time/total_running_time_sec
  [11] paused                    = sim/time/paused
  [12] sim_speed                 = sim/time/sim_speed
  No response (attempt 1), retrying in 2s...
  No response (attempt 2), retrying in 2s...
  No response (attempt 3), retrying in 2s...
  No response (attempt 4), retrying in 3s...
  No response (attempt 5), retrying in 4s...
  No response (attempt 6), retrying in 4s...
  No response (attempt 7), retrying in 4s...
  No response (attempt 8), retrying in 5s...
Connected — receiving data from X-Plane (attempt 9)

Recording at 5 Hz to monitoring/run_ae/xplane_telemetry.csv
Max duration: 7200s. Press Ctrl+C to stop.

[    3.0s] FPS=32.3  CPU=0.00ms  GPU=985.48ms  Lat=47.453255  GS=0.5kts  (1 samples)
[   13.6s] FPS=28.4  CPU=16.76ms  GPU=18.46ms  Lat=47.453259  GS=0.0kts  (44 samples)
[   23.7s] FPS=30.3  CPU=12.64ms  GPU=20.35ms  Lat=47.453259  GS=0.0kts  (90 samples)
[   33.9s] FPS=30.0  CPU=14.33ms  GPU=18.97ms  Lat=47.453259  GS=0.0kts  (136 samples)
[   43.9s] FPS=30.4  CPU=14.02ms  GPU=18.87ms  Lat=47.453259  GS=0.0kts  (182 samples)
[   54.0s] FPS=29.5  CPU=15.56ms  GPU=18.30ms  Lat=47.453259  GS=0.0kts  (228 samples)
[   64.1s] FPS=30.5  CPU=13.27ms  GPU=19.55ms  Lat=47.453259  GS=0.0kts  (274 samples)
[   74.2s] FPS=30.7  CPU=11.72ms  GPU=20.83ms  Lat=47.453259  GS=0.0kts  (320 samples)
[   84.2s] FPS=28.6  CPU=15.21ms  GPU=19.77ms  Lat=47.453259  GS=0.0kts  (366 samples)
[   94.4s] FPS=39.3  CPU=7.83ms  GPU=17.62ms  Lat=47.453259  GS=0.0kts  (411 samples)
[  104.6s] FPS=30.6  CPU=12.47ms  GPU=20.22ms  Lat=47.453259  GS=0.0kts  (458 samples)
[  114.8s] FPS=30.1  CPU=13.72ms  GPU=19.49ms  Lat=47.453259  GS=0.0kts  (505 samples)
[  124.9s] FPS=28.6  CPU=15.76ms  GPU=19.22ms  Lat=47.453259  GS=0.0kts  (552 samples)
[  135.0s] FPS=29.9  CPU=13.60ms  GPU=19.80ms  Lat=47.453259  GS=0.0kts  (597 samples)
[  145.1s] FPS=29.6  CPU=13.89ms  GPU=19.91ms  Lat=47.453259  GS=0.0kts  (643 samples)
[  155.3s] FPS=29.6  CPU=13.78ms  GPU=19.96ms  Lat=47.453259  GS=0.0kts  (689 samples)
[  165.5s] FPS=30.2  CPU=13.97ms  GPU=19.10ms  Lat=47.453259  GS=0.0kts  (735 samples)
[  175.5s] FPS=30.4  CPU=13.38ms  GPU=19.55ms  Lat=47.453259  GS=0.0kts  (780 samples)
[  185.5s] FPS=29.1  CPU=15.01ms  GPU=19.32ms  Lat=47.453259  GS=0.0kts  (826 samples)
[  195.7s] FPS=29.8  CPU=14.41ms  GPU=19.14ms  Lat=47.453259  GS=0.0kts  (872 samples)
